cluster,gene,scores,log2FC,pval,pval_adj,frac_expressing_in_cluster,frac_expressing_other
0,Calcrl,46.209263,6.5233827,0.0,0.0,0.949438202247191,0.056497629189102304
0,Cdh5,46.108635,6.601932,0.0,0.0,0.9438202247191011,0.05183637386482359
0,Ramp2,45.358303,6.670745,0.0,0.0,0.9292134831460674,0.04838061560716869
0,Ctla2a,45.35286,6.621796,0.0,0.0,0.9303370786516854,0.0474965844249779
0,Cldn5,45.187424,6.744806,0.0,0.0,0.9269662921348315,0.04725548501165314
0,Ptprb,44.784435,6.808556,0.0,0.0,0.9146067415730337,0.049586112673792496
0,Pecam1,44.330296,6.230339,0.0,0.0,0.9101123595505618,0.04878244796270996
0,Tspan7,44.018383,6.3102837,0.0,0.0,0.902247191011236,0.05850679096680865
0,Egfl7,43.70883,5.592193,0.0,0.0,0.9056179775280899,0.10415494655629672
0,Epas1,43.683483,3.5204456,0.0,0.0,0.9797752808988764,0.5418307482118461
0,Tmem100,43.65101,6.635595,0.0,0.0,0.8932584269662921,0.03945993731415254
0,Hpgd,43.467342,6.168914,0.0,0.0,0.9011235955056179,0.09451097002330627
0,Cd93,43.40688,6.823736,0.0,0.0,0.8853932584269663,0.037209676123121434
0,Vim,43.319637,5.4214563,0.0,0.0,0.9146067415730337,0.0885638511612955
0,Itga1,43.12781,5.438375,0.0,0.0,0.8966292134831461,0.0993329582898015
0,Ace,42.833324,6.158119,0.0,0.0,0.8786516853932584,0.04613035441613759
0,Adgrf5,42.684742,2.7661393,0.0,0.0,0.9775280898876404,0.6654343807763401
0,Aqp1,42.47207,5.7583637,0.0,0.0,0.8797752808988764,0.060596319215623244
0,Flt1,42.417946,6.485184,0.0,0.0,0.8651685393258427,0.03656674435425541
0,Ehd4,42.40309,3.9225206,0.0,0.0,0.9292134831460674,0.35996142409386805
1,Scgb1a1,24.768114,8.43251,1.9783624455191722e-135,6.375866489419189e-131,0.8652694610778443,0.28379106085083466
1,Pigr,23.928217,4.61175,1.5579177335307447e-126,2.510428635811442e-122,0.8502994011976048,0.17785983537195169
1,Cldn10,23.789282,5.9877663,4.31184937949617e-125,4.632076060080086e-121,0.781437125748503,0.03746442034002616
1,Pglyrp1,23.461535,5.1751637,1.0080675425758753e-121,8.122000190533827e-118,0.8293413173652695,0.16578198322947918
1,Elapor1,22.326794,2.8843021,2.029771514011875e-110,1.3083095270714942e-106,0.8622754491017964,0.3087929840756981
1,Cyp2f2,21.67101,3.8566287,3.8521749089204276e-104,1.773541328066965e-100,0.9431137724550899,0.33179475344257253
1,Gabrp,21.394148,4.2427716,1.514693127682121e-101,6.101941264867425e-98,0.7425149700598802,0.060158473728748364
1,Cp,19.840834,3.529701,1.3224570311257983e-87,4.262014519912223e-84,0.7694610778443114,0.2027848296022771
1,Tent5c,19.747202,3.5640497,8.47883366567732e-87,2.4841441034313518e-83,0.7095808383233533,0.09893068697592122
1,Scgb3a2,19.393229,5.616185,8.803406599335444e-84,2.3643015656948557e-80,0.7005988023952096,0.1343949534579583
1,Lrrc26,18.870317,4.4069176,2.000945707841216e-79,4.9604983286389776e-76,0.6437125748502994,0.044695745826602046
1,Hp,18.745522,2.9526134,2.1059960310253689e-78,4.8480028634204e-75,0.8592814371257484,0.5362720209246865
1,Trf,18.496475,2.717375,2.2042475175688324e-76,4.439905562263021e-73,0.8413173652694611,0.35810446957458264
1,Plpp3,18.366863,2.965221,2.419978204354554e-75,4.587709268819916e-72,0.7305389221556886,0.17116701284714209
1,B430010I23Rik,18.21857,3.3000035,3.6762992996380955e-74,6.235777569933502e-71,0.7035928143712575,0.16270482344795753
1,AW112010,18.144295,3.3481648,1.4245046303274382e-73,2.2954467613096338e-70,0.7724550898203593,0.26463574121086236
1,Idh1,17.774513,2.0541975,1.1135846769383409e-70,1.6313003167440388e-67,0.8383233532934131,0.35364258789137626
1,Cd14,17.725721,2.345738,2.654854710100476e-70,3.72002859117905e-67,0.7904191616766467,0.28856065851219326
1,Lypd2,17.670105,3.3912907,7.12647044474161e-70,9.186875579725305e-67,0.7095808383233533,0.19286098930686976
