sample_id,tam,subcluster,n_scored,n_traced,pct_traced
EEM-scRNA-124,2,1,7,7,
EEM-scRNA-124,2,13,1,1,
EEM-scRNA-124,2,2,35,33,94.29
EEM-scRNA-124,2,3,2,2,
EEM-scRNA-124,2,9,2,2,
EEM-scRNA-179,2,1,7,4,
EEM-scRNA-179,2,12,2,2,
EEM-scRNA-179,2,13,2,1,
EEM-scRNA-179,2,2,241,171,70.95
EEM-scRNA-179,2,3,80,34,42.5
EEM-scRNA-179,2,8,21,10,
EEM-scRNA-179,2,9,16,13,
EEM-scRNA-125,7,2,61,49,80.33
EEM-scRNA-125,7,3,5,5,
EEM-scRNA-125,7,8,5,5,
EEM-scRNA-180,7,1,6,4,
EEM-scRNA-180,7,12,2,0,
EEM-scRNA-180,7,13,4,1,
EEM-scRNA-180,7,2,154,83,53.9
EEM-scRNA-180,7,3,191,39,20.42
EEM-scRNA-180,7,8,10,6,
EEM-scRNA-180,7,9,8,5,
EEM-scRNA-126,14,12,4,0,
EEM-scRNA-126,14,13,1,0,
EEM-scRNA-126,14,2,59,14,23.73
EEM-scRNA-126,14,3,15,8,
EEM-scRNA-126,14,8,8,1,
EEM-scRNA-126,14,9,2,0,
EEM-scRNA-181,14,11,1,1,
EEM-scRNA-181,14,12,5,4,
EEM-scRNA-181,14,13,3,0,
EEM-scRNA-181,14,2,89,23,25.84
EEM-scRNA-181,14,3,128,47,36.72
EEM-scRNA-181,14,8,5,3,
EEM-scRNA-181,14,9,10,1,
EEM-scRNA-127,21,12,1,1,
EEM-scRNA-127,21,13,1,1,
EEM-scRNA-127,21,2,71,32,45.07
EEM-scRNA-127,21,3,9,3,
EEM-scRNA-127,21,8,4,1,
EEM-scRNA-127,21,9,2,1,
EEM-scRNA-182,21,1,1,0,
EEM-scRNA-182,21,12,5,4,
EEM-scRNA-182,21,13,7,4,
EEM-scRNA-182,21,2,203,68,33.5
EEM-scRNA-182,21,3,90,42,46.67
EEM-scRNA-182,21,8,19,10,
EEM-scRNA-182,21,9,23,10,
