sample_id,day,tam,label,n_scored,n_traced,pct_traced,window,series
EEM-scRNA-158,0,-42,Neutrophil,66,18,27.27,-42 d before harvest (uninjured),baseline
EEM-scRNA-166,0,-3,Neutrophil,60,55,91.67,-3 d before harvest (uninjured),baseline
EEM-scRNA-113,6,2,Neutrophil,41,33,80.49,2 to 3 dpi,immediate
EEM-scRNA-162,6,2,Neutrophil,50,46,92.0,2 to 3 dpi,immediate
EEM-scRNA-116,11,7,Neutrophil,60,10,16.67,7 to 8 dpi,immediate
EEM-scRNA-167,11,7,Neutrophil,63,31,49.21,7 to 8 dpi,immediate
EEM-scRNA-117,19,14,Neutrophil,28,28,,14 to 15 dpi,immediate
EEM-scRNA-170,19,14,Neutrophil,82,82,100.0,14 to 15 dpi,immediate
EEM-scRNA-118,25,21,Neutrophil,25,25,,21 to 22 dpi,immediate
EEM-scRNA-172,25,21,Neutrophil,49,47,95.92,21 to 22 dpi,immediate
EEM-scRNA-124,42,2,Neutrophil,25,20,,2 to 3 dpi,common_42
EEM-scRNA-179,42,2,Neutrophil,54,11,20.37,2 to 3 dpi,common_42
EEM-scRNA-125,42,7,Neutrophil,46,21,45.65,7 to 8 dpi,common_42
EEM-scRNA-180,42,7,Neutrophil,43,13,30.23,7 to 8 dpi,common_42
EEM-scRNA-126,42,14,Neutrophil,60,17,28.33,14 to 15 dpi,common_42
EEM-scRNA-181,42,14,Neutrophil,29,11,,14 to 15 dpi,common_42
EEM-scRNA-127,42,21,Neutrophil,37,33,89.19,21 to 22 dpi,common_42
EEM-scRNA-182,42,21,Neutrophil,69,26,37.68,21 to 22 dpi,common_42
EEM-scRNA-236,90,2,Neutrophil,10,2,,2 to 3 dpi,later_90
EEM-scRNA-237,90,7,Neutrophil,43,3,6.98,7 to 8 dpi,later_90
EEM-scRNA-238,90,14,Neutrophil,32,11,34.38,14 to 15 dpi,later_90
EEM-scRNA-239,90,21,Neutrophil,85,15,17.65,21 to 22 dpi,later_90
EEM-scRNA-312,366,7,Neutrophil,19,1,,7 to 8 dpi,later_366
EEM-scRNA-310,366,14,Neutrophil,22,5,,14 to 15 dpi,later_366
EEM-scRNA-311,366,14,Neutrophil,28,5,,14 to 15 dpi,later_366
EEM-scRNA-158,0,-42,aMAC,146,57,39.04,-42 d before harvest (uninjured),baseline
