subcluster,n_cells,n_labelled,top_label,purity,label_entropy,entropy_flag,n_animals,max_animal_fraction,dominant_animal
0,494,494,iMON,0.909,0.327,low,6,0.747,EEM-scRNA-162
1,716,716,iMON,0.81,0.637,HIGH,24,0.384,EEM-scRNA-167
2,1944,1944,aMAC,0.998,0.012,low,25,0.13,EEM-scRNA-179
3,1348,1347,aMAC,0.994,0.042,low,24,0.151,EEM-scRNA-180
4,1085,1085,Neutrophil,1.0,-0.0,low,25,0.069,EEM-scRNA-116
5,720,719,pMON,0.981,0.111,low,25,0.121,EEM-scRNA-170
6,994,994,cMON,0.947,0.27,low,25,0.239,EEM-scRNA-166
7,545,545,cDC2,0.659,1.068,HIGH,25,0.099,EEM-scRNA-162
8,185,185,aMAC,0.995,0.034,low,23,0.135,EEM-scRNA-182
9,365,365,aMAC,0.507,1.101,HIGH,25,0.11,EEM-scRNA-167
10,747,747,iMAC,0.952,0.205,low,25,0.102,EEM-scRNA-180
11,319,319,cDC1,0.966,0.193,low,25,0.088,EEM-scRNA-239
12,168,160,aMAC,0.212,1.955,HIGH,24,0.119,EEM-scRNA-170
13,208,205,aMAC,0.288,1.941,HIGH,24,0.096,EEM-scRNA-182
14,82,82,cDC2,0.988,0.066,low,22,0.134,EEM-scRNA-162
15,77,77,Neutrophil,1.0,-0.0,low,21,0.208,EEM-scRNA-170
