sample_id,day,tam,lineage,n_scored,n_traced,pct_traced,phase,window,series
EEM-scRNA-158,0,-42,Endothelium,1735,34,1.96,baseline,tamoxifen 42 d before harvest (uninjured),baseline
EEM-scRNA-158,0,-42,Epithelium,423,25,5.91,baseline,tamoxifen 42 d before harvest (uninjured),baseline
EEM-scRNA-158,0,-42,Lymphoid,295,113,38.305,baseline,tamoxifen 42 d before harvest (uninjured),baseline
EEM-scRNA-158,0,-42,Mesenchyme,1002,40,3.992,baseline,tamoxifen 42 d before harvest (uninjured),baseline
EEM-scRNA-158,0,-42,Myeloid,449,131,29.176,baseline,tamoxifen 42 d before harvest (uninjured),baseline
EEM-scRNA-166,0,-3,Endothelium,2104,31,1.473,baseline,tamoxifen 3 d before harvest (uninjured),baseline
EEM-scRNA-166,0,-3,Epithelium,221,13,5.882,baseline,tamoxifen 3 d before harvest (uninjured),baseline
EEM-scRNA-166,0,-3,Lymphoid,309,78,25.243,baseline,tamoxifen 3 d before harvest (uninjured),baseline
EEM-scRNA-166,0,-3,Mesenchyme,1187,38,3.201,baseline,tamoxifen 3 d before harvest (uninjured),baseline
EEM-scRNA-166,0,-3,Myeloid,560,458,81.786,baseline,tamoxifen 3 d before harvest (uninjured),baseline
EEM-scRNA-113,6,2,Endothelium,956,49,5.126,active repair,tamoxifen 2 dpi,immediate_window
EEM-scRNA-113,6,2,Epithelium,215,11,5.116,active repair,tamoxifen 2 dpi,immediate_window
EEM-scRNA-113,6,2,Lymphoid,82,31,37.805,active repair,tamoxifen 2 dpi,immediate_window
EEM-scRNA-113,6,2,Mesenchyme,593,41,6.914,active repair,tamoxifen 2 dpi,immediate_window
EEM-scRNA-113,6,2,Myeloid,179,145,81.006,active repair,tamoxifen 2 dpi,immediate_window
EEM-scRNA-162,6,2,Endothelium,1724,71,4.118,active repair,tamoxifen 2 dpi,immediate_window
EEM-scRNA-162,6,2,Epithelium,214,22,10.28,active repair,tamoxifen 2 dpi,immediate_window
EEM-scRNA-162,6,2,Lymphoid,165,81,49.091,active repair,tamoxifen 2 dpi,immediate_window
EEM-scRNA-162,6,2,Mesenchyme,565,48,8.496,active repair,tamoxifen 2 dpi,immediate_window
EEM-scRNA-162,6,2,Myeloid,548,486,88.686,active repair,tamoxifen 2 dpi,immediate_window
EEM-scRNA-116,11,7,Endothelium,1639,68,4.149,active repair,tamoxifen 7 dpi,immediate_window
EEM-scRNA-116,11,7,Epithelium,157,31,19.745,active repair,tamoxifen 7 dpi,immediate_window
EEM-scRNA-116,11,7,Lymphoid,133,93,69.925,active repair,tamoxifen 7 dpi,immediate_window
EEM-scRNA-116,11,7,Mesenchyme,1203,141,11.721,active repair,tamoxifen 7 dpi,immediate_window
EEM-scRNA-116,11,7,Myeloid,230,113,49.13,active repair,tamoxifen 7 dpi,immediate_window
EEM-scRNA-167,11,7,Endothelium,1850,48,2.595,active repair,tamoxifen 7 dpi,immediate_window
EEM-scRNA-167,11,7,Epithelium,414,153,36.957,active repair,tamoxifen 7 dpi,immediate_window
EEM-scRNA-167,11,7,Lymphoid,423,167,39.48,active repair,tamoxifen 7 dpi,immediate_window
EEM-scRNA-167,11,7,Mesenchyme,967,105,10.858,active repair,tamoxifen 7 dpi,immediate_window
EEM-scRNA-167,11,7,Myeloid,632,287,45.411,active repair,tamoxifen 7 dpi,immediate_window
EEM-scRNA-117,19,14,Endothelium,2016,362,17.956,active repair,tamoxifen 14 dpi,immediate_window
EEM-scRNA-117,19,14,Epithelium,329,28,8.511,active repair,tamoxifen 14 dpi,immediate_window
EEM-scRNA-117,19,14,Lymphoid,120,31,25.833,active repair,tamoxifen 14 dpi,immediate_window
EEM-scRNA-117,19,14,Mesenchyme,1320,101,7.652,active repair,tamoxifen 14 dpi,immediate_window
EEM-scRNA-117,19,14,Myeloid,270,110,40.741,active repair,tamoxifen 14 dpi,immediate_window
EEM-scRNA-170,19,14,Endothelium,1719,178,10.355,active repair,tamoxifen 14 dpi,immediate_window
EEM-scRNA-170,19,14,Epithelium,315,25,7.937,active repair,tamoxifen 14 dpi,immediate_window
EEM-scRNA-170,19,14,Lymphoid,291,101,34.708,active repair,tamoxifen 14 dpi,immediate_window
EEM-scRNA-170,19,14,Mesenchyme,921,73,7.926,active repair,tamoxifen 14 dpi,immediate_window
EEM-scRNA-170,19,14,Myeloid,618,343,55.502,active repair,tamoxifen 14 dpi,immediate_window
EEM-scRNA-118,25,21,Endothelium,1974,143,7.244,active repair,tamoxifen 21 dpi,immediate_window
EEM-scRNA-118,25,21,Epithelium,258,34,13.178,active repair,tamoxifen 21 dpi,immediate_window
EEM-scRNA-118,25,21,Lymphoid,142,33,23.239,active repair,tamoxifen 21 dpi,immediate_window
EEM-scRNA-118,25,21,Mesenchyme,1005,120,11.94,active repair,tamoxifen 21 dpi,immediate_window
EEM-scRNA-118,25,21,Myeloid,198,137,69.192,active repair,tamoxifen 21 dpi,immediate_window
EEM-scRNA-172,25,21,Endothelium,1495,39,2.609,active repair,tamoxifen 21 dpi,immediate_window
EEM-scRNA-172,25,21,Epithelium,447,29,6.488,active repair,tamoxifen 21 dpi,immediate_window
EEM-scRNA-172,25,21,Lymphoid,421,99,23.515,active repair,tamoxifen 21 dpi,immediate_window
EEM-scRNA-172,25,21,Mesenchyme,986,38,3.854,active repair,tamoxifen 21 dpi,immediate_window
EEM-scRNA-172,25,21,Myeloid,423,204,48.227,active repair,tamoxifen 21 dpi,immediate_window
EEM-scRNA-124,42,2,Endothelium,1721,451,26.206,injury resolution,tamoxifen 2 dpi,later_harvest
EEM-scRNA-124,42,2,Epithelium,157,82,52.229,injury resolution,tamoxifen 2 dpi,later_harvest
EEM-scRNA-124,42,2,Lymphoid,71,47,66.197,injury resolution,tamoxifen 2 dpi,later_harvest
EEM-scRNA-124,42,2,Mesenchyme,790,423,53.544,injury resolution,tamoxifen 2 dpi,later_harvest
EEM-scRNA-124,42,2,Myeloid,138,116,84.058,injury resolution,tamoxifen 2 dpi,later_harvest
EEM-scRNA-179,42,2,Endothelium,2381,33,1.386,injury resolution,tamoxifen 2 dpi,later_harvest
EEM-scRNA-179,42,2,Epithelium,220,31,14.091,injury resolution,tamoxifen 2 dpi,later_harvest
EEM-scRNA-179,42,2,Lymphoid,186,71,38.172,injury resolution,tamoxifen 2 dpi,later_harvest
EEM-scRNA-179,42,2,Mesenchyme,1183,63,5.325,injury resolution,tamoxifen 2 dpi,later_harvest
EEM-scRNA-179,42,2,Myeloid,692,326,47.11,injury resolution,tamoxifen 2 dpi,later_harvest
EEM-scRNA-125,42,7,Endothelium,1706,217,12.72,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-125,42,7,Epithelium,333,174,52.252,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-125,42,7,Lymphoid,121,64,52.893,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-125,42,7,Mesenchyme,1384,452,32.659,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-125,42,7,Myeloid,196,128,65.306,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-180,42,7,Endothelium,2767,564,20.383,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-180,42,7,Epithelium,111,40,36.036,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-180,42,7,Lymphoid,131,54,41.221,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-180,42,7,Mesenchyme,776,104,13.402,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-180,42,7,Myeloid,652,250,38.344,injury resolution,tamoxifen 7 dpi,later_harvest
EEM-scRNA-126,42,14,Endothelium,1897,396,20.875,injury resolution,tamoxifen 14 dpi,later_harvest
EEM-scRNA-126,42,14,Epithelium,527,110,20.873,injury resolution,tamoxifen 14 dpi,later_harvest
