cluster,genes
0,"Iigp1, Gbp4, Gm12250"
1,"Cd93, Hpgd, Epas1"
2,"Hmgb2, H2az1, Mki67"
3,"Cxcl12, Emcn, Col4a1"
4,"Scgb1a1, Sftpc, Rn18s"
5,"Tyrobp, Ctss, Fcer1g"
6,"Cd79a, Igkc, Cd74"
7,"Kdr, Pitpnc1, Jcad"
8,"Vwf, Tm4sf1, Adgrg6"
9,"Prss23, Samd5, Lyve1"
10,"Sftpd, Sftpb, Sftpa1"
11,"S100g, Cxcl15, Chil3"
12,"Mgp, Inmt, Gpx3"
13,"Ptprc, Cd52, Rac2"
14,"Limch1, Npnt, Plxdc2"
15,"Dcn, Clec3b, Col1a2"
16,"Ager, Hopx, Cldn18"
17,"Ctsd, Ccl6, Clec7a"
18,"Ccdc153, Sec14l3, Dynlrb2"
19,"Cyp2f2, Fxyd3, Krt19"
20,"Ccl21a, Mmrn1, Flt4"
21,"Car4, Emp2, Kitl"
22,"Gucy1a1, Gucy1b1, Postn"
23,"Igha, Lyz2, Scgb3a2"
24,"Il1b, Srgn, S100a9"
25,"Hhip, Mustn1, Aspn"
26,"C3, Upk3b, Igfbp5"
27,"Nrgn, Pf4, Ywhah"
28,"Lilr4b, Ccl4, Ccl3"
