accession,study,species,unit,arms_and_units,arms_at_or_above_floor,smallest_arm,raw_counts_on_disk,contrast,asked_by,verdict,why,source
GSE262927,Niethamer et al. 2025,mouse,animal,"0 dpi: 2; 6 dpi: 2; 11 dpi: 2; 19 dpi: 2; 25 dpi: 2; 42 dpi: 8; 90 dpi: 4; 366 dpi: 3; active repair (6 to 25 dpi): 8; injury resolution (42, 90 dpi): 12; long-term (366 dpi): 3",6,2,True,"phase against phase within a compartment (myeloid, capillary, alveolar epithelium); days with three or more animals: 42 dpi, 90 dpi, 366 dpi","A3; proposals W1, S1",plausible,the only mouse deposit with animal-level replication; baseline (2 animals) stays a reference band; the two-animal active-repair days enter only as a pooled phase,tables/cell_metadata.csv (annotated cohort)
GSE136831,Adams et al. 2020,human,donor,COPD donors: 18; Control donors: 28; IPF donors: 32,3,18,True,"IPF against control within a compartment (AT2 and transitional epithelium, fibroblasts, macrophages)","A2 (C48, C49); A3 in human fibrosis",plausible,the largest donor-replicated contrast in reach; per-donor cell floor of trial E6 (50) applies,deposited metadata
GSE135893,Habermann et al. 2020,human,donor,Control donors: 10; ILD donors: 1; IPF donors: 12; NSIP donors: 3; Sarcoidosis donors: 2; cHP donors: 2,3,1,True,"IPF against control within a compartment, as the held-out replication of GSE136831","A2, A3; proposal V1 names held-out human validation",plausible,second fibrosis cohort; a gene set that clears in GSE136831 and not here is not established,deposited metadata
GSE131907,Kim et al. 2020,human,donor (paired),normal lung donors: 11; tumour lung donors: 11; paired: 10,3,10,True,tumour against paired normal lung within the epithelial compartment,A2 (C40),plausible,"paired design; the raw UMI matrix is on disk although trials E1 and E1b read the deposited log2 TPM, so a pseudobulk trial must stream the raw file",deposited annotation
GSE132771,Tsukui et al. 2020,mouse,animal,bleomycin: 2; untreated: 2,0,2,True,"bleomycin against untreated, collagen-producing cells",C42 (trial E4),not admissible,"two animals per arm: directions only, as E4 reported",trial E4 run record
GSE247505,England et al. 2025,mouse,library,4d_YFP: 2; 4d_RFP: 2; 2w_RFP: 2; 2w_YFP: 2; Confetti_YFP: 1; Confetti_RFP: 1,0,1,True,any timed or genotype arm against another,"A4 (C136, C149); trial C3",not admissible,"10 libraries in 6 arms, at most 2 per arm; pooling arms across time or colour would break the design that makes the deposit a time course",trial C3 run record
GSE145031,Choi et al. 2020,mouse,library,libraries per condition: 1,0,1,True,bleomycin against PBS by day,"A5, trials D0 to D7",not admissible,"one library per condition; no within-group replication, as the reality-check trial recorded",Thesis/gate1_02_choi_2020/trials/d0_data_reality_check/d0_run_record.json
GSE144468,Choi et al. 2020,mouse,library,libraries per condition: 1,0,1,True,IL-1beta against control organoids,"trials D5, D5b",not admissible,"one library per condition; no within-group replication, as the reality-check trial recorded",Thesis/gate1_02_choi_2020/trials/d0_data_reality_check/d0_run_record.json
GSE316241,"Cardoso, Lee et al. 2026",mouse,library,libraries per condition: 1,0,1,True,Red2Kras against Confetti,trials C0 to C2b,not admissible,"one library per condition; no within-group replication, as the reality-check trial recorded",Thesis/gate2_05_cardoso_2026/trials/c0_data_reality_check/c0_run_record.json
GSE316243,"Cardoso, Lee et al. 2026",mouse,library,libraries per condition: 1,0,1,True,genotype against genotype,trials C0 to C2b,not admissible,"one library per condition; no within-group replication, as the reality-check trial recorded",Thesis/gate2_05_cardoso_2026/trials/c0_data_reality_check/c0_run_record.json
GSE316244,"Cardoso, Lee et al. 2026",mouse,library,libraries per condition: 1,0,1,True,Areg-flox against control,trial C2,not admissible,"one library per condition; no within-group replication, as the reality-check trial recorded",Thesis/gate2_05_cardoso_2026/trials/c0_data_reality_check/c0_run_record.json
GSE310335,"Cardoso, Lee et al. 2026",human,library,libraries per condition: 1,0,1,True,KRAS G12D organoid against control,trial C0,not admissible,"one library per condition; no within-group replication, as the reality-check trial recorded",Thesis/gate2_05_cardoso_2026/trials/c0_data_reality_check/c0_run_record.json
GSE310539,Lynch et al. 2026,mouse,library,libraries per condition: 1,0,1,True,Sendai virus against PBS; AP-1 mutant against wildtype,"A1, A4; trials M0 to M4",not admissible,"one library per condition; no within-group replication, as the reality-check trial recorded",Thesis/gate1_02_choi_2020/datp_epigenetics/trials/m0_deposit_reality_check/m0_run_record.json
GSE247130,Hassan and Chen 2024,mouse,library,libraries per condition: 1,0,1,True,Cebpa mutant against control; stage against stage,"A1, A5; trials M0 to M4",not admissible,"one library per condition; no within-group replication, as the reality-check trial recorded",Thesis/gate1_02_choi_2020/datp_epigenetics/trials/m0_deposit_reality_check/m0_run_record.json
GSE178360,Kadur Lakshminarasimha Murthy et al. 2022,human,donor,healthy donors: 3,1,3,True,none; three healthy donors and no condition,the human series report,not admissible,no contrast exists in the deposit,Thesis/ungated_murthy_2022/GSE178360/README.md
GSE309751,Lynch et al. 2026,mouse,animal,mock and injured at 14 days: 3; 49 days: 2,1,2,False,"injured against mock at 14 and 49 days, bulk ATAC on sorted AT2","A1, deliverable 1",marginal,"assessed and not opened; bulk ATAC peak calls, not counts; two mice in the 49-day arms; peak presence at frozen loci is the admissible object, not a ranked GSEA","REFERENCES.md (assessed, not opened)"
