set,es,nes,p_perm,fdr,leading_edge,size
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.675324652823516,2.750388614672786,0.0,0.0,B2m;Lgals3bp;Eif4e3;Ifnar2;Ly6e;Oas2;Stat1;Oas3;Bst2;Rtp4;Ifi44;Ptpn6;Epsti1;Tap1;Psmb2;Ifit3;Zbp1;Irf9;Adar;Irf7;Psmb8;Psmb9;Ddx60;Helz2;Nlrc5;Rnf213;Cfb;Xaf1;Cmklr1;Arid5b;Psme1;Dhx58;Ifit2;Marchf1;Lap3;Il18bp;Fcgr1;Gbp3;Pnp;Cxcl9;Ifitm3;Tapbp;Cmpk2;Casp1;Psma2;Nmi;Parp12;Sp110;Cd38;Irf1;Psmb10;Samhd1;Rnf31;Usp18;Socs3;Ifi35;Gpr18;Isg15;Nampt;Parp14;Hif1a;Fgl2;Pla2g4a;Stat2;Ogfr;Cd274;Trafd1;Rsad2;Upp1;Socs1;Sod2;Tdrd7;Ifitm2;Herc6;Eif2ak2;Il15ra;Ifi30;Vamp8;Irf5;Ifih1;Cd69;Tnfaip6;Tnfsf10;Slamf7;Gch1;Trim21;Psma3;Isg20;Oasl1;Znfx1;Ccl5;Psme2;Il10ra;Itgb7;Pml;Batf2;Mx2;Rbck1;Irf8;Il4ra;Irf2;Casp3;Cd40;Sectm1a;Sri;Samd9l;C1s1;Ptpn1;Casp4;Ptgs2;Cd86;Cxcl10;Ptpn2;Nod1;Myd88;Ube2l6;Trim26;Lcp2;Icam1;Il15;Cxcl11;Mthfd2;Arl4a,179
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.7103903182047382,2.717765198778895,0.0,0.0,B2m;Lgals3bp;Ly6e;Lpar6;Bst2;Rtp4;Ifi44;Epsti1;Tap1;Ifit3;Irf9;Adar;Irf7;Psmb8;Psmb9;Ddx60;Helz2;Oas1a;Psme1;Dhx58;Ifit2;Lap3;Mov10;Gbp3;Ifitm1;Ifitm3;Cmpk2;Ccrl2;Casp1;Nmi;Parp12;Sp110;Irf1;Mvb12a;Csf1;Rnf31;Usp18;Ifi35;Isg15;Parp14;Trim12c;Stat2;Ogfr;Trafd1;Rsad2;Tdrd7;Ifitm2;Herc6;Eif2ak2;Ifi30;Parp9;Ifih1;Trim21;Psma3;Isg20;Oasl1;Psme2;Uba7;Batf2;Mx2;Il4ra;Irf2;Samd9l;C1s1;Cxcl10;Ube2l6;Trim26;Nub1;Il15;Sell;Cxcl11;Cnp;Casp8,91
HALLMARK_IL6_JAK_STAT3_SIGNALING,0.525436853682907,1.9662953646104022,0.0,0.0002858965054650217,Ifngr2;Il3ra;Il2rg;Stat1;Csf2ra;Irf9;Tnfrsf1b;Ltbr;Il10rb;Bak1;Cxcl9;Crlf2;Cd38;Irf1;Csf1;Ebi3;Socs3;Tnf;Stat2;Socs1;Il12rb1;Grb2;Il15ra;Hax1;Csf3r;Tnfrsf1a;Il4ra;Ifnar1;Ptpn1;Cxcl10;Ptpn2;Myd88;Jun;Cxcl11;Osmr;Map3k8;Ccr1;Hmox1;Il1b;Pim1;Fas;Stam2;Stat3,75
HALLMARK_COMPLEMENT,0.4428332317699963,1.797446625205958,0.0,0.0010721118954938314,Ctss;Ctsb;Mmp14;Ctsc;Pla2g7;Ctsh;Itgam;C3;Ctsl;Irf7;Cpq;Psmb9;Cfb;Sirt6;Lgmn;Lap3;Fcer1g;Lgals3;Casp1;Gngt2;Irf1;Rasgrp1;Sh2b3;F10;Atox1;Adam9;Pla2g4a;Col4a2;Prkcd;Rhog;Grb2;Rabif;Akap10;Was;Ccl5;C1qc;Psen1;Lamp2;Car2;Gng2;Irf2;Casp3;Lyn;C2;C1s1;Stx4a;Casp4;Msrb1;Ppp4c;Lcp2;C1qa;Gnb2;Kynu,151
HALLMARK_INFLAMMATORY_RESPONSE,0.43494862409127427,1.7766246872512816,0.0,0.0008576895163950651,Clec5a;Msr1;Tlr1;Ifngr2;Scarf1;Mmp14;Slc31a2;Slc31a1;Ly6e;Sema4d;P2rx4;Inhba;Bst2;Rtp4;Irf7;Met;Tnfrsf1b;Cmklr1;Rgs1;Ifitm1;Cxcl9;Tapbp;Ccrl2;Nod2;Nmi;C3ar1;Irf1;Rasgrp1;Csf1;Ebi3;Adora2b;Il7r;Nampt;Hif1a;Kcnj2;Rhog;P2rx7;Eif2ak2;Il15ra;Slc28a2;Cd69;Adrm1;Tnfaip6;Tnfsf10;Gch1;Ccl5;Il10ra;Csf3r;Psen1;Ptafr;Il4ra;Cd40;Sri;Mefv;Lyn;Ifnar1;Acvr2a;Pdpn;Cxcl10;Itga5;Lcp2;Emp3;Sphk1;Icam1;Il15;Sell;Cxcl11;Pvr;Osmr;Tnfsf15;Il1b,173
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.4281078813051774,1.7567856445926164,0.0,0.0012865342745925973,Ldhb;Atp6v0c;Cox8a;Ndufa7;Surf1;Timm17a;Fxn;Cox7a2;Phyh;Pdhx;Cox5b;Oxa1l;Gpi1;Ndufb3;Ndufa8;Tcirg1;Vdac2;Vdac3;Atp6v1d;Sdhb;Slc25a12;Sdhd;Bax;Echs1;Atp6v1g1;Cyc1;Cox11;Suclg1;Ndufa9;Ndufs4;Mrpl35;Ndufs3;Slc25a3;Mrps11;Timm8b;Ndufc2;Ndufb8;Fh1;Hsd17b10;Htra2;Atp6v1f;Mrps22;Grpel1;Iscu;Aco2;Cox15;Aifm1;Atp5pb;Ldha;Ndufs8;Idh3b;Ndufb7;Mtx2;Uqcrc1;Pmpca;Ndufv2;Cox7b;Atp1b1;Uqcr10;Got2;Mrps30;Cox17;Mrpl15;Ndufs6;Mdh2;Tomm22;Slc25a11;Slc25a5;Atp6v1h;Ndufc1;Cox6b1;Mtrf1;Vdac1;Uqcrq;Phb2;Ndufa1;Uqcrc2;Alas1;Uqcrb;Ndufs7;Casp7;Cox6c;Mrpl11;Ndufb5;Acaa2;Ndufa6;Rhot2;Cox10;Timm50;Ndufab1,179
HALLMARK_ALLOGRAFT_REJECTION,0.42782215319019035,1.7369606158260114,0.0,0.002205487327873024,Ctss;B2m;Tlr1;Ifngr2;Igsf6;Ifnar2;Il2rg;Stat1;Inhba;Ly86;Ptpn6;Tap1;Irf7;Tap2;Ccr5;Cxcl9;Tapbp;Gpr65;Ccr2;Csf1;Fcgr2b;Psmb10;Tnf;Hif1a;Ncf4;Capg;Spi1;Socs1;Il12rb1;Tpd52;Hcls1;Fgr;Elf4;Eif3d;Was;Ccl5;Eif4g3;Mrpl3;Irf8;Traf2;Il4ra;Cd40;Lyn;C2;Acvr2a;Bcl3;Cd86;Cd7;Csk;Lcp2;Icam1;Il15;Il2;Ccr1;Il1b;Ube2n;Rps19-ps6;Fas;Rpl9;Nos2;Rps3a1;Eif5a;Gzmb;Cd8b1;Akt1;Ccl7;Jak2;Ripk2;Il18rap;Ltb;Tlr3;Il16;Srgn;F2r;Prkcb;Bcl10,160
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.42315704428273104,1.700819729287225,0.0,0.0032163356864814935,Id2;Anpep;Fbn1;Mmp14;Ecm1;Inhba;Sat1;Eln;Thbs1;Gadd45a;Mmp2;Ppib;Itgav;Slc6a8;Sparc;Col4a1;Lamc1;Basp1;Vegfa;Tgfbi;Capg;Col4a2;Col5a1;Plod1;Pdgfrb;Col3a1;Tpm1;Postn;Vcan;Col6a2;Htra1;Ccn2;Ccn1;Timp3;Gadd45b;Col5a2;Lgals1;Jun;Itga5;Vegfc;Emp3;Il15;Pvr;Serpine2;Spp1;Fas;Sdc1;Sdc4;Itgb5;Col1a1;Col6a3,129
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.39357708235714306,1.6161878100915004,0.0,0.009529883515500721,Ifngr2;Id2;Plk2;Inhba;Tap1;Sat1;Ier3;Fut4;Panx1;Ifit2;Dusp1;Ccrl2;Gadd45a;Irf1;Csf1;Socs3;Tnf;Dram1;Vegfa;Il7r;Nampt;B4galt5;Sod2;Ackr3;Ier2;Il15ra;Ifih1;Cd69;Marcks;Tnfaip6;Dusp2;Gch1;Hes1;Litaf;Ccl5;Tubb2a;Ninj1;Cebpd;Fos;Tgif1;Junb;Tank;Spsb1;Slc2a6;Ccn1;Relb;Cflar;Bcl3;Gadd45b;Ptgs2;Cxcl10;Jun;Plau;Zfp36;Sphk1;Icam1;Cxcl11;Kynu;Btg3;Map3k8;Yrdc;Il1b;Bcl6;Mxd1;Sdc4;F3;Birc3;Nfkbie;Rcan1;Il1a;Nfe2l2;Dusp4;Tnip1;Nfkbia;Serpinb2;Dennd5a;Egr1;Ripk2;Ppp1r15a;Btg1;Rnf19b;Ptpre,185
HALLMARK_KRAS_SIGNALING_UP,0.4004928635286682,1.6005861418747487,0.0,0.010978425809856833,Ctss;Id2;Spry2;Cd37;Il2rg;Gpnmb;Lat2;Inhba;Glrx;Csf2ra;Psmb8;Cfb;Tnfrsf1b;Gypc;Cmklr1;Flt4;Kcnn4;Fcer1g;Etv5;C3ar1;Arg1;Gucy1a1;Il7r;Atg10;Ly96;Fbxo4;Il10ra;Spon1;Apod;Cbr4;Usp12;Irf8;Gng11;Car2;Map3k1;Mafb;Wdr33;Eng;Ptgs2;Cxcl10;F13a1;Plau;Abcb1a;Prelid3b;Spp1;Yrdc;Il1b;Scn1b;Birc3;Ptcd2;Adam8;Hsd11b1;Tspan13,142
