set,gene
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Apoe
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Atp6v0c
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,B2m
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,C1qb
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,C1qc
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,C3ar1
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Cstb
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Ctsb
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Ctsh
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Ctsl
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Ctss
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Ctsz
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Cxcl16
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Cyba
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Lgmn
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Ms4a6d
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Ms4a7
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Npc2
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Rps2
REPO_MYELOID_IMON_SUBCLUSTER_TOP20,Trem2
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Amd1
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Cdk19
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Col4a1
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Cxcl12
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Emcn
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Ntrk2
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Rpl13
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Rpl18a
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Rpl23
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Rps14
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Rps16
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Rps18
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Rps19
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Rps21
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Rps23
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Rps24
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Rps3
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Rps5
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Sparcl1
REPO_CAPILLARY_ICAP_SUBCLUSTER5_TOP20,Tpt1
