compartment,collection,set,size,discovery_nes,discovery_fdr,matched_p,held_out_nes,held_out_fdr,held_out_tested,replicates,proposed_status
AT2,hallmark,HALLMARK_COAGULATION,72,2.103492482709297,0.0036925917378259868,0.0,2.1627224959465967,0.0,True,True,Validated (held-out replication)
AT2,hallmark,HALLMARK_ANGIOGENESIS,22,2.0766131551622053,0.0018462958689129934,0.004,1.3844205022754392,0.03685612788632327,True,True,Validated (held-out replication)
AT2,hallmark,HALLMARK_MYOGENESIS,89,1.7102297558161463,0.028925301946303564,0.002,1.9162400083911049,0.00044404973357015993,True,True,Validated (held-out replication)
AT2,hallmark,HALLMARK_P53_PATHWAY,161,1.6790647604993283,0.02723286406646665,0.0,2.1272548553317305,0.0,True,True,Validated (held-out replication)
AT2,hallmark,HALLMARK_ANDROGEN_RESPONSE,90,1.6772478621458242,0.021786291253173322,0.002,1.41155843840157,0.028419182948490232,True,True,Validated (held-out replication)
AT2,hallmark,HALLMARK_ESTROGEN_RESPONSE_EARLY,143,1.6585534479164346,0.02061697053619509,0.002,1.305786372755626,0.06058811920268403,True,False,Not established
AT2,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,100,1.624384181654988,0.02611189871748376,0.006,2.619698990898998,0.0,True,True,Validated (held-out replication)
AT2,hallmark,HALLMARK_COMPLEMENT,133,1.5992855930528307,0.03000230786983614,0.006,1.511430825317968,0.015689757252812315,True,True,Validated (held-out replication)
AT2,hallmark,HALLMARK_ALLOGRAFT_REJECTION,96,1.5411581006415227,0.043285380926737956,0.004,1.7788242653680153,0.0017761989342806393,True,True,Validated (held-out replication)
fibroblasts,hallmark,HALLMARK_TNFA_SIGNALING_VIA_NFKB,183,-2.398547734023584,0.0,0.0,2.4837975143205915,0.0,True,False,Not established
fibroblasts,hallmark,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,45,-2.3691419576731243,0.0,0.0,-1.3196295867840875,0.09853372434017596,True,False,Not established
fibroblasts,hallmark,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,190,2.0950148834361215,0.0,0.0,1.6177028479841569,0.00403570042685293,True,True,Validated (held-out replication)
fibroblasts,hallmark,HALLMARK_INFLAMMATORY_RESPONSE,144,-1.9845844306233302,0.0011351909184726524,0.0,1.7360188269571484,0.0027939464493597207,True,False,Not established
fibroblasts,hallmark,HALLMARK_XENOBIOTIC_METABOLISM,147,-1.8760214081779614,0.0025541795665634673,0.01,-1.2161553662140352,0.10498533724340176,True,False,Not established
fibroblasts,hallmark,HALLMARK_APICAL_JUNCTION,155,1.734727485072723,0.005787781350482316,0.0,1.2244291700544698,0.12875436554132713,True,False,Not established
fibroblasts,gobp,GOBP_CYTOPLASMIC_TRANSLATION,151,-2.3048926688447744,0.004221860502519252,0.0,-2.342965087630847,0.0,True,True,Validated (held-out replication)
fibroblasts,gobp,GOBP_REGULATION_OF_MACROPHAGE_DERIVED_FOAM_CELL_DIFFERENTIATION,23,-2.2867642779934134,0.002814573668346168,0.0,-1.3720459851958788,0.17062567924235367,True,False,Not established
fibroblasts,gobp,GOBP_FOAM_CELL_DIFFERENTIATION,31,-2.2200355617036047,0.010789199061993642,0.002,-1.132343750549379,0.3701599130569787,True,False,Not established
fibroblasts,gobp,GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE,25,-2.1539211037954606,0.01759108542716355,0.0,1.9424269854639382,0.00568235628373899,True,False,Not established
fibroblasts,gobp,GOBP_REGULATION_OF_LIPID_STORAGE,40,-2.1359865060795777,0.01913910094475394,0.006,-0.993007534528695,0.5417637012886198,True,False,Not established
fibroblasts,gobp,GOBP_ESTABLISHMENT_OF_TISSUE_POLARITY,30,2.1326217368468274,0.0026820561997926225,0.0,-1.1800209357655194,0.3719531128706723,True,False,Not established
fibroblasts,gobp,GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM,52,2.0973701324839222,0.003129065566424726,0.0,0.9770107377737051,0.8171544022476877,True,False,Not established
