,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Il1a,337.680617,-1.840447,0.218493,-8.423353,0.0,0.0
Id2,517.448678,-1.37694,0.189281,-7.274582,0.0,0.0
Tnf,364.870095,-2.132727,0.294641,-7.238388,0.0,0.0
Nfkbid,249.626827,-1.404952,0.204337,-6.875662,0.0,0.0
Bhlhe41,378.284621,-1.206107,0.191006,-6.31451,0.0,1e-06
Nfkbiz,262.352995,-1.516848,0.247415,-6.130792,0.0,1e-06
Ccrl2,441.446765,-1.395252,0.22852,-6.105595,0.0,1e-06
Mmp19,1032.088898,1.075099,0.178197,6.03321,0.0,2e-06
Zfp36,2044.12022,-0.818894,0.145354,-5.633799,0.0,2e-05
S100a8,250.587006,-1.571448,0.292824,-5.366524,0.0,8.2e-05
Mycbp2,813.441005,0.695991,0.135691,5.129223,0.0,0.00027
Lasp1,298.346902,-0.893448,0.176711,-5.055977,0.0,0.000364
Scd1,102.032881,-2.037867,0.40509,-5.03065,0.0,0.000383
Gmfg,410.735501,0.974809,0.194778,5.004729,1e-06,0.000407
Bhlhe40,1111.474833,-0.848811,0.172181,-4.929757,1e-06,0.000559
Cybb,5284.561095,-0.705294,0.144572,-4.878508,1e-06,0.000681
Cd274,534.638685,-0.815844,0.168458,-4.843016,1e-06,0.000767
Wsb1,456.281495,-0.723397,0.150459,-4.807947,2e-06,0.000829
Tppp3,616.512553,0.929673,0.193473,4.805187,2e-06,0.000829
Rbm3,985.69557,-0.876391,0.183939,-4.764568,2e-06,0.000964
Nfkbia,1940.284121,-0.937922,0.197651,-4.745349,2e-06,0.00101
Crtc3,178.51961,1.043307,0.220673,4.727845,2e-06,0.001051
Banp,200.59727,1.502726,0.321892,4.668417,3e-06,0.001312
Marco,872.048597,-2.121935,0.454883,-4.664791,3e-06,0.001312
Slc39a1,275.403321,-0.78912,0.172209,-4.582348,5e-06,0.001874
Ier3,549.433895,-1.143543,0.251629,-4.544562,6e-06,0.002158
Kctd12,460.267907,-0.819972,0.181179,-4.525749,6e-06,0.00225
Gm37084,76.350226,-1.421525,0.314491,-4.520077,6e-06,0.00225
Emb,126.175552,1.297142,0.288504,4.496097,7e-06,0.002432
Gm4332,15.837261,-2.488184,0.563502,-4.415574,1e-05,0.003422
Xlr,75.025166,-1.754318,0.398905,-4.39784,1.1e-05,0.003594
Prickle2,59.480159,-1.55976,0.358925,-4.345642,1.4e-05,0.004423
Fabp1,634.971821,0.916678,0.212626,4.311218,1.6e-05,0.005014
Gm9843,31.1129,-1.887242,0.439218,-4.296819,1.7e-05,0.005193
Rps28,2916.839426,-0.694723,0.1645,-4.223239,2.4e-05,0.006925
Ncoa4,1119.487823,-0.55668,0.132087,-4.214509,2.5e-05,0.006925
Bin2,270.086891,0.744849,0.176775,4.213535,2.5e-05,0.006925
Vstm2a,80.672616,-1.645848,0.392405,-4.194258,2.7e-05,0.007321
Slc7a5,41.346296,1.779045,0.424692,4.189024,2.8e-05,0.007321
Pqlc3,371.846465,-0.694242,0.166571,-4.167838,3.1e-05,0.007741
Tpt1-ps3,22.214483,-2.656385,0.637798,-4.164932,3.1e-05,0.007741
Tnfaip3,683.081874,-0.857781,0.2063,-4.157924,3.2e-05,0.007793
Fbxo33,149.571353,-0.885947,0.213748,-4.144827,3.4e-05,0.00806
Smc4,370.978951,0.727814,0.176222,4.130095,3.6e-05,0.008399
Ankrd11,597.116262,0.700111,0.170049,4.11712,3.8e-05,0.008688
Ch25h,222.968292,-1.069336,0.263205,-4.062751,4.8e-05,0.010744
Csrnp1,265.898425,-0.769716,0.189702,-4.057502,5e-05,0.010755
Rasef,12.197442,-6.179051,1.526324,-4.048322,5.2e-05,0.010952
Gstm1,1181.2651,-0.65938,0.164281,-4.01374,6e-05,0.01243
Ier2,674.87562,-0.608251,0.152392,-3.991358,6.6e-05,0.01339
Mtdh,817.187784,0.550704,0.13901,3.961612,7.4e-05,0.014876
Gm10076,424.02109,-1.070358,0.271086,-3.948413,7.9e-05,0.015418
Gdf15,1477.827504,-1.03641,0.263473,-3.933653,8.4e-05,0.015609
Gm7536,20.638879,-2.068447,0.525948,-3.932794,8.4e-05,0.015609
Ide,155.954888,-0.994362,0.253025,-3.929897,8.5e-05,0.015609
Gm12840,92.076983,-1.638196,0.417199,-3.926657,8.6e-05,0.015609
Slc1a3,28.684943,-1.960877,0.499789,-3.92341,8.7e-05,0.015609
Sat1,1600.908529,-0.527114,0.135845,-3.88027,0.000104,0.018333
Sowahc,341.953537,-0.767889,0.198229,-3.873739,0.000107,0.018513
Cdv3,431.763465,0.620563,0.161082,3.852473,0.000117,0.019861
Mki67,146.731062,1.192856,0.310585,3.840681,0.000123,0.020498
Icam1,258.31369,-0.939828,0.245882,-3.822267,0.000132,0.021735
Mcoln3,245.661496,-0.824796,0.216123,-3.816319,0.000135,0.021912
Il10ra,172.424558,-0.831134,0.218313,-3.80708,0.000141,0.022391
Gm4149,16.754562,-2.266044,0.59742,-3.793048,0.000149,0.023291
Krt19,1164.292483,0.782313,0.206432,3.789687,0.000151,0.023291
Hddc3,13.286851,4.04664,1.070906,3.778708,0.000158,0.023978
Arl13b,172.64824,0.770356,0.205974,3.740068,0.000184,0.027571
Cmip,150.952482,0.893693,0.239775,3.727214,0.000194,0.028103
Pls3,14.602543,-2.236874,0.600189,-3.726948,0.000194,0.028103
Sqstm1,1053.95779,-0.56501,0.151705,-3.724389,0.000196,0.028103
Cpne5,280.576769,0.849547,0.228742,3.713991,0.000204,0.028877
Fmo2,22.73485,2.801634,0.757203,3.699979,0.000216,0.030101
C77080,203.009997,-0.919653,0.249032,-3.692915,0.000222,0.030531
Hmmr,33.999669,1.992621,0.540203,3.688656,0.000225,0.03057
Rnf10,214.104262,0.794659,0.2156,3.685805,0.000228,0.03057
Scd2,144.426855,-1.030519,0.280488,-3.674022,0.000239,0.0316
Kynu,103.897229,-1.067621,0.291307,-3.664938,0.000247,0.032324
Mt2,722.285811,-0.907991,0.248698,-3.650984,0.000261,0.033674
Rpl38,3522.121042,-0.592003,0.162565,-3.641651,0.000271,0.033674
Slc15a3,773.489896,0.721704,0.198321,3.63908,0.000274,0.033674
Dusp5,822.377591,-0.741121,0.203684,-3.638586,0.000274,0.033674
9530059O14Rik,28.038063,-2.284447,0.627858,-3.638477,0.000274,0.033674
Junb,4140.772947,-0.598376,0.164685,-3.633457,0.00028,0.033927
Myh9,1333.727802,0.643583,0.178476,3.605996,0.000311,0.037282
Wfdc10,93.583025,-1.449939,0.402495,-3.602379,0.000315,0.037365
Iqgap2,122.486395,0.910292,0.25374,3.587499,0.000334,0.039108
Insig1,193.745911,-0.744979,0.208695,-3.569695,0.000357,0.040839
Slc6a6,1572.956115,-0.435416,0.121983,-3.569494,0.000358,0.040839
Rab32,410.280304,-0.556322,0.15595,-3.567312,0.000361,0.040839
Mef2c,69.13505,1.082179,0.304193,3.557538,0.000374,0.041923
Sgk1,2947.790456,-0.461531,0.130245,-3.543572,0.000395,0.043462
Zfp207,328.762505,-0.582515,0.164444,-3.542323,0.000397,0.043462
Klk8,33.645094,2.15783,0.610487,3.534604,0.000408,0.044275
Pim1,1356.258261,-0.668731,0.18937,-3.531345,0.000413,0.044329
Cd53,1267.88782,-0.518806,0.147044,-3.528242,0.000418,0.044329
Trem2,322.576999,-0.678589,0.192455,-3.52597,0.000422,0.044329
Prkce,12.584988,-2.617236,0.745833,-3.509145,0.00045,0.046749
C130026I21Rik,29.540715,-1.816345,0.518816,-3.500942,0.000464,0.047724
Emilin1,118.595389,0.901477,0.258534,3.486879,0.000489,0.049803
