animal,day,arm,aMAC_cells,round,sex,genotype,kept,reason
EEM-scRNA-113,6,active,13,2021-10-21,F,Ki67Cre/Cre; ROSA26LSL-tdTm/+,False,Ki67Cre/Cre
EEM-scRNA-116,11,active,12,2021-10-21,M,Ki67Cre/Cre; ROSA26LSL-tdTm/+,False,Ki67Cre/Cre
EEM-scRNA-117,19,active,143,2021-10-21,M,Ki67Cre/+; ROSA26LSL-tdTm/+,True,
EEM-scRNA-118,25,active,47,2021-10-21,M,Ki67Cre/Cre; ROSA26LSL-tdTm/+,False,Ki67Cre/Cre
EEM-scRNA-124,42,resolution,49,2021-10-21,F,Ki67Cre/Cre; ROSA26LSL-tdTm/+,False,Ki67Cre/Cre
EEM-scRNA-125,42,resolution,78,2021-10-21,M,Ki67Cre/Cre; ROSA26LSL-tdTm/+,False,Ki67Cre/Cre
EEM-scRNA-126,42,resolution,102,2021-10-21,M,Ki67Cre/+; ROSA26LSL-tdTm/+,True,
EEM-scRNA-127,42,resolution,97,2021-10-21,M,Ki67Cre/Cre; ROSA26LSL-tdTm/+,False,Ki67Cre/Cre
EEM-scRNA-158,0,baseline,182,uninfected,F,Ki67Cre/+; ROSA26LSL-tdTm/+,False,baseline
EEM-scRNA-162,6,active,13,2022-07-06,M,Ki67Cre/+; ROSA26LSL-tdTm/+,False,below 50 cells
EEM-scRNA-166,0,baseline,149,uninfected,F,Ki67Cre/+; ROSA26LSL-tdTm/+,False,baseline
EEM-scRNA-167,11,active,102,2022-07-06,M,Ki67Cre/+; ROSA26LSL-tdTm/+,True,
EEM-scRNA-170,19,active,220,2022-07-06,F,Ki67Cre/+; ROSA26LSL-tdTm/+,True,
EEM-scRNA-172,25,active,182,2022-07-06,F,Ki67Cre/+; ROSA26LSL-tdTm/+,True,
EEM-scRNA-179,42,resolution,390,2022-07-06,M,Ki67Cre/+; ROSA26LSL-tdTm/+,True,
EEM-scRNA-180,42,resolution,396,2022-07-06,F,Ki67Cre/+; ROSA26LSL-tdTm/+,True,
EEM-scRNA-181,42,resolution,273,2022-07-06,F,Ki67Cre/+; ROSA26LSL-tdTm/+,True,
EEM-scRNA-182,42,resolution,391,2022-07-06,M,Ki67Cre/+; ROSA26LSL-tdTm/+,True,
EEM-scRNA-236,90,resolution,54,2022-12-06,M,Ki67Cre/Cre; ROSA26LSL-tdTm/+,False,Ki67Cre/Cre
EEM-scRNA-237,90,resolution,177,2022-12-06,M,Ki67Cre/+; ROSA26LSL-tdTm/+,True,
EEM-scRNA-238,90,resolution,130,2022-12-06,M,Ki67Cre/+; ROSA26LSL-tdTm/+,True,
EEM-scRNA-239,90,resolution,259,2022-12-06,M,Ki67Cre/+; ROSA26LSL-tdTm/+,True,
EEM-scRNA-310,366,longterm,130,2022-12-06,M,Ki67Cre/+; ROSA26LSL-tdTm/+,True,
EEM-scRNA-311,366,longterm,105,2022-12-06,F,Ki67Cre/+; ROSA26LSL-tdTm/+,True,
EEM-scRNA-312,366,longterm,123,2022-12-06,F,Ki67Cre/+; ROSA26LSL-tdTm/+,True,
