well,cell_set,cells,B_atac,null_mean,null_sd,null_pairs,split_control_ratio,split_control_z,krt8_krt18_ratio,reading,why
wildtype_PBS,AT2,5748,1146.0,1.0476,0.2404,262.0,1.296,1.03,1.318,not computable,"R7b, the split-locus control did not clear, so the design has no demonstrated sensitivity to co-accessibility at this depth"
wildtype_PBS,transitional,48,,,,,,,,not computable,"U1, fewer than 500 cells"
wildtype_SeV,AT2,4446,837.0,1.0049,0.2551,258.0,1.305,1.18,0.977,not computable,"R7b, the split-locus control did not clear, so the design has no demonstrated sensitivity to co-accessibility at this depth"
wildtype_SeV,transitional,284,,,,,,,,not computable,"U1, fewer than 500 cells"
AP1mut_PBS,AT2,10822,945.0,1.0424,0.1421,240.0,1.117,0.52,1.086,not computable,"R7b, the split-locus control did not clear, so the design has no demonstrated sensitivity to co-accessibility at this depth"
AP1mut_PBS,transitional,46,,,,,,,,not computable,"U1, fewer than 500 cells"
AP1mut_SeV,AT2,8042,1052.0,1.0441,0.1604,250.0,1.137,0.58,1.028,not computable,"R7b, the split-locus control did not clear, so the design has no demonstrated sensitivity to co-accessibility at this depth"
AP1mut_SeV,transitional,195,,,,,,,,not computable,"U1, fewer than 500 cells"
7wk_control,AT2,5799,2200.0,1.0264,0.1004,294.0,1.125,0.99,1.101,not computable,"R7b, the split-locus control did not clear, so the design has no demonstrated sensitivity to co-accessibility at this depth"
7wk_control,transitional,131,,,,,,,,not computable,"U1, fewer than 500 cells"
7wk_Cebpa_mutant,AT2,8281,2060.0,1.032,0.0832,294.0,1.177,1.75,1.249,not computable,"R7b, the split-locus control did not clear, so the design has no demonstrated sensitivity to co-accessibility at this depth"
7wk_Cebpa_mutant,transitional,344,,,,,,,,not computable,"U1, fewer than 500 cells"
SeV_control,AT2,8624,1939.0,1.0312,0.1178,272.0,1.179,1.25,1.115,not computable,"R7b, the split-locus control did not clear, so the design has no demonstrated sensitivity to co-accessibility at this depth"
SeV_control,transitional,121,,,,,,,,not computable,"U1, fewer than 500 cells"
SeV_Cebpa_mutant,AT2,7364,2964.0,1.0251,0.0849,295.0,1.199,2.05,1.214,not computable,"R7b, the split-locus control did not clear, so the design has no demonstrated sensitivity to co-accessibility at this depth"
SeV_Cebpa_mutant,transitional,773,5967.0,1.0086,0.0902,298.0,1.054,0.51,1.146,not computable,"R7b, the split-locus control did not clear, so the design has no demonstrated sensitivity to co-accessibility at this depth"
