deposit,well,injured,n_transitional,n_reference,reading,why
GSE310539,wildtype_PBS,False,3,5489,not computable,fewer than 100 transitional cells
GSE310539,wildtype_SeV,True,18,4559,not computable,fewer than 100 transitional cells
GSE310539,AP1mut_PBS,False,4,8130,not computable,fewer than 100 transitional cells
GSE310539,AP1mut_SeV,True,11,7433,not computable,fewer than 100 transitional cells
GSE247130,P9_control,False,35,10440,not computable,fewer than 100 transitional cells
GSE247130,P9_Cebpa_mutant,False,68,10184,not computable,fewer than 100 transitional cells
GSE247130,7wk_control,False,8,6475,not computable,fewer than 100 transitional cells
GSE247130,7wk_Cebpa_mutant,False,15,9001,not computable,fewer than 100 transitional cells
GSE247130,SeV_control,True,2,6339,not computable,fewer than 100 transitional cells
GSE247130,SeV_Cebpa_mutant,True,34,7773,not computable,fewer than 100 transitional cells
