deposit,file,suffix,well,cells,total_rna_counts,cpm10k_Cldn4,cpm10k_Fos,cpm10k_Cebpa,cpm10k_Sox9
GSE310539,totalaggr,1,wildtype_PBS,7340,38879858,0.0224,5.1199,0.8807,0.0139
GSE310539,totalaggr,2,wildtype_SeV,8093,57932184,0.2363,5.5108,0.7366,0.0649
GSE310539,totalaggr,3,AP1mut_PBS,13622,43681176,0.0227,1.3951,1.3553,0.0133
GSE310539,totalaggr,4,AP1mut_SeV,10794,52034333,0.1199,1.3708,1.1763,0.0234
GSE247130,P9,1,P9_mutant,12186,121903574,0.2422,11.0879,0.9642,0.318
GSE247130,P9,2,P9_control,11272,137528687,0.4044,9.7084,0.0664,2.2429
GSE247130,7wk,1,7wk_mutant,7589,56653751,0.0552,7.2521,0.646,0.0115
GSE247130,7wk,2,7wk_control,10838,78181340,0.086,6.5494,0.0592,0.0325
GSE247130,SeV,1,SeV_mutant,11773,55219121,0.0647,2.7002,0.2043,0.0246
GSE247130,SeV,2,SeV_control,10636,74679531,0.2728,2.1053,0.0455,0.0611
