set,gene,control,n_control,IL-1beta,n_IL-1beta,ratio_il1b_over_control
AT1_early,Lmo7,0.9900990099009909,202,0.9605734767025121,279,0.9701792114695366
AT1_early,Pdpn,0.871287128712872,202,0.8673835125448052,279,0.9955197132616507
AT1_early,Hopx,0.9504950495049512,202,0.8817204301075293,279,0.9276433691756291
AT1_late,Aqp5,1.0000000000000007,202,0.9964157706093225,279,0.9964157706093218
AT1_late,Vegfa,0.9851485148514859,202,0.8996415770609345,279,0.9132040128960233
AT1_late,Cav1,0.7970297029702976,202,0.4623655913978485,279,0.5801108662258716
AT1_late,Spock2,0.6831683168316837,202,0.27598566308243744,279,0.4039790140771907
DATP_figure7,Cldn4,0.21287128712871298,202,0.8028673835125465,279,3.7716095690589375
DATP_figure7,AW112010,0.17326732673267334,202,0.9247311827957018,279,5.337019969278048
DATP_figure7,Lhfp,0.2623762376237625,202,0.48745519713261537,279,1.8578481098261936
