gsm,sample_id,name,url,expected_bytes
GSM3716976,saline.947170,GSM3716976_saline.947170_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716976/suppl/GSM3716976_saline.947170_barcodes.tsv.gz,9649
GSM3716976,saline.947170,GSM3716976_saline.947170_genes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716976/suppl/GSM3716976_saline.947170_genes.tsv.gz,170059
GSM3716976,saline.947170,GSM3716976_saline.947170_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716976/suppl/GSM3716976_saline.947170_matrix.mtx.gz,11470518
GSM3716977,saline.947172,GSM3716977_saline.947172_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716977/suppl/GSM3716977_saline.947172_barcodes.tsv.gz,7298
GSM3716977,saline.947172,GSM3716977_saline.947172_genes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716977/suppl/GSM3716977_saline.947172_genes.tsv.gz,170059
GSM3716977,saline.947172,GSM3716977_saline.947172_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716977/suppl/GSM3716977_saline.947172_matrix.mtx.gz,6091784
GSM3716978,saline.955736,GSM3716978_saline.955736_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716978/suppl/GSM3716978_saline.955736_barcodes.tsv.gz,7039
GSM3716978,saline.955736,GSM3716978_saline.955736_genes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716978/suppl/GSM3716978_saline.955736_genes.tsv.gz,170059
GSM3716978,saline.955736,GSM3716978_saline.955736_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716978/suppl/GSM3716978_saline.955736_matrix.mtx.gz,8818238
GSM3716979,saline.955737,GSM3716979_saline.955737_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716979/suppl/GSM3716979_saline.955737_barcodes.tsv.gz,6448
GSM3716979,saline.955737,GSM3716979_saline.955737_genes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716979/suppl/GSM3716979_saline.955737_genes.tsv.gz,170059
GSM3716979,saline.955737,GSM3716979_saline.955737_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716979/suppl/GSM3716979_saline.955737_matrix.mtx.gz,8530824
GSM3716980,bleomycin.947173,GSM3716980_bleomycin.947173_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716980/suppl/GSM3716980_bleomycin.947173_barcodes.tsv.gz,7023
GSM3716980,bleomycin.947173,GSM3716980_bleomycin.947173_genes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716980/suppl/GSM3716980_bleomycin.947173_genes.tsv.gz,170062
GSM3716980,bleomycin.947173,GSM3716980_bleomycin.947173_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716980/suppl/GSM3716980_bleomycin.947173_matrix.mtx.gz,7982415
GSM3716981,bleomycin.947174,GSM3716981_bleomycin.947174_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716981/suppl/GSM3716981_bleomycin.947174_barcodes.tsv.gz,8170
GSM3716981,bleomycin.947174,GSM3716981_bleomycin.947174_genes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716981/suppl/GSM3716981_bleomycin.947174_genes.tsv.gz,170062
GSM3716981,bleomycin.947174,GSM3716981_bleomycin.947174_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716981/suppl/GSM3716981_bleomycin.947174_matrix.mtx.gz,9709758
GSM3716982,bleomycin.947176,GSM3716982_bleomycin.947176_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716982/suppl/GSM3716982_bleomycin.947176_barcodes.tsv.gz,8644
GSM3716982,bleomycin.947176,GSM3716982_bleomycin.947176_genes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716982/suppl/GSM3716982_bleomycin.947176_genes.tsv.gz,170062
GSM3716982,bleomycin.947176,GSM3716982_bleomycin.947176_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716982/suppl/GSM3716982_bleomycin.947176_matrix.mtx.gz,14099085
GSM3716983,bleomycin.955738,GSM3716983_bleomycin.955738_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716983/suppl/GSM3716983_bleomycin.955738_barcodes.tsv.gz,9138
GSM3716983,bleomycin.955738,GSM3716983_bleomycin.955738_genes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716983/suppl/GSM3716983_bleomycin.955738_genes.tsv.gz,170062
GSM3716983,bleomycin.955738,GSM3716983_bleomycin.955738_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3716nnn/GSM3716983/suppl/GSM3716983_bleomycin.955738_matrix.mtx.gz,15566169
