#Archive/File	Name	Time	Size	Type
Archive	GSE129605_RAW.tar	04/11/2019 13:04:55	118149120	TAR
File	GSM3716976_saline.947170_barcodes.tsv.gz	04/10/2019 14:11:45	9649	TSV
File	GSM3716976_saline.947170_genes.tsv.gz	04/10/2019 14:11:45	170059	TSV
File	GSM3716976_saline.947170_matrix.mtx.gz	04/10/2019 14:11:49	11470518	MTX
File	GSM3716977_saline.947172_barcodes.tsv.gz	04/10/2019 14:11:49	7298	TSV
File	GSM3716977_saline.947172_genes.tsv.gz	04/10/2019 14:11:49	170059	TSV
File	GSM3716977_saline.947172_matrix.mtx.gz	04/10/2019 14:11:51	6091784	MTX
File	GSM3716978_saline.955736_barcodes.tsv.gz	04/10/2019 14:11:51	7039	TSV
File	GSM3716978_saline.955736_genes.tsv.gz	04/10/2019 14:11:51	170059	TSV
File	GSM3716978_saline.955736_matrix.mtx.gz	04/10/2019 14:11:53	8818238	MTX
File	GSM3716979_saline.955737_barcodes.tsv.gz	04/10/2019 14:11:53	6448	TSV
File	GSM3716979_saline.955737_genes.tsv.gz	04/10/2019 14:11:54	170059	TSV
File	GSM3716979_saline.955737_matrix.mtx.gz	04/10/2019 14:11:56	8530824	MTX
File	GSM3716980_bleomycin.947173_barcodes.tsv.gz	04/10/2019 14:11:56	7023	TSV
File	GSM3716980_bleomycin.947173_genes.tsv.gz	04/10/2019 14:11:56	170062	TSV
File	GSM3716980_bleomycin.947173_matrix.mtx.gz	04/10/2019 14:11:58	7982415	MTX
File	GSM3716981_bleomycin.947174_barcodes.tsv.gz	04/10/2019 14:11:58	8170	TSV
File	GSM3716981_bleomycin.947174_genes.tsv.gz	04/10/2019 14:11:58	170062	TSV
File	GSM3716981_bleomycin.947174_matrix.mtx.gz	04/10/2019 14:12:01	9709758	MTX
File	GSM3716982_bleomycin.947176_barcodes.tsv.gz	04/10/2019 14:12:01	8644	TSV
File	GSM3716982_bleomycin.947176_genes.tsv.gz	04/10/2019 14:12:01	170062	TSV
File	GSM3716982_bleomycin.947176_matrix.mtx.gz	04/10/2019 14:12:05	14099085	MTX
File	GSM3716983_bleomycin.955738_barcodes.tsv.gz	04/10/2019 14:12:05	9138	TSV
File	GSM3716983_bleomycin.955738_genes.tsv.gz	04/10/2019 14:12:05	170062	TSV
File	GSM3716983_bleomycin.955738_matrix.mtx.gz	04/10/2019 14:12:09	15566169	MTX
File	GSM3716984_nintedanib.947177_barcodes.tsv.gz	04/10/2019 14:12:09	5640	TSV
File	GSM3716984_nintedanib.947177_genes.tsv.gz	04/10/2019 14:12:09	170063	TSV
File	GSM3716984_nintedanib.947177_matrix.mtx.gz	04/10/2019 14:12:11	7119988	MTX
File	GSM3716985_nintedanib.947178_barcodes.tsv.gz	04/10/2019 14:12:11	8979	TSV
File	GSM3716985_nintedanib.947178_genes.tsv.gz	04/10/2019 14:12:11	170063	TSV
File	GSM3716985_nintedanib.947178_matrix.mtx.gz	04/10/2019 14:12:14	12056921	MTX
File	GSM3716986_nintedanib.947179_barcodes.tsv.gz	04/10/2019 14:12:14	9867	TSV
File	GSM3716986_nintedanib.947179_genes.tsv.gz	04/10/2019 14:12:14	170063	TSV
File	GSM3716986_nintedanib.947179_matrix.mtx.gz	04/10/2019 14:12:18	14710143	MTX
