gsm,sample_id,deposited_numeric_id,arm,day,sex,strain,age_weeks,selected,unit_status
GSM3716976,saline.947170,947170,saline,11,male,C57BL/6,12-13,True,separately deposited sample; mouse mapping requires final provenance check
GSM3716977,saline.947172,947172,saline,11,male,C57BL/6,12-13,True,separately deposited sample; mouse mapping requires final provenance check
GSM3716978,saline.955736,955736,saline,11,male,C57BL/6,12-13,True,separately deposited sample; mouse mapping requires final provenance check
GSM3716979,saline.955737,955737,saline,11,male,C57BL/6,12-13,True,separately deposited sample; mouse mapping requires final provenance check
GSM3716980,bleomycin.947173,947173,bleomycin,11,male,C57BL/6,12-13,True,separately deposited sample; mouse mapping requires final provenance check
GSM3716981,bleomycin.947174,947174,bleomycin,11,male,C57BL/6,12-13,True,separately deposited sample; mouse mapping requires final provenance check
GSM3716982,bleomycin.947176,947176,bleomycin,11,male,C57BL/6,12-13,True,separately deposited sample; mouse mapping requires final provenance check
GSM3716983,bleomycin.955738,955738,bleomycin,11,male,C57BL/6,12-13,True,separately deposited sample; mouse mapping requires final provenance check
GSM3716984,nintedanib.947177,947177,nintedanib,11,male,C57BL/6,12-13,False,separately deposited sample; mouse mapping requires final provenance check
GSM3716985,nintedanib.947178,947178,nintedanib,11,male,C57BL/6,12-13,False,separately deposited sample; mouse mapping requires final provenance check
GSM3716986,nintedanib.947179,947179,nintedanib,11,male,C57BL/6,12-13,False,separately deposited sample; mouse mapping requires final provenance check
