threshold,estimand,numerator_gene,conditioning_expression,joint_n,denominator_n,fraction,n_cells
>0,Pdgfra_given_Wnt5a,Pdgfra,Wnt5a,28,31,0.9032258065,47
>0,Wnt5a_given_Pdgfra,Wnt5a,Pdgfra,28,40,0.7,47
>0,Axin2_given_any_Wnt,Axin2,any_Wnt,10,40,0.25,47
>0,Porcn_given_any_Wnt,Porcn,any_Wnt,7,40,0.175,47
>0,Wls_given_any_Wnt,Wls,any_Wnt,37,40,0.925,47
>=0.1,Pdgfra_given_Wnt5a,Pdgfra,Wnt5a,28,31,0.9032258065,47
>=0.1,Wnt5a_given_Pdgfra,Wnt5a,Pdgfra,28,39,0.7179487179,47
>=0.1,Axin2_given_any_Wnt,Axin2,any_Wnt,9,39,0.2307692308,47
>=0.1,Porcn_given_any_Wnt,Porcn,any_Wnt,7,39,0.1794871795,47
>=0.1,Wls_given_any_Wnt,Wls,any_Wnt,36,39,0.9230769231,47
>=1,Pdgfra_given_Wnt5a,Pdgfra,Wnt5a,21,26,0.8076923077,47
>=1,Wnt5a_given_Pdgfra,Wnt5a,Pdgfra,21,33,0.6363636364,47
>=1,Axin2_given_any_Wnt,Axin2,any_Wnt,5,35,0.1428571429,47
>=1,Porcn_given_any_Wnt,Porcn,any_Wnt,3,35,0.08571428571,47
>=1,Wls_given_any_Wnt,Wls,any_Wnt,29,35,0.8285714286,47
>=5,Pdgfra_given_Wnt5a,Pdgfra,Wnt5a,13,18,0.7222222222,47
>=5,Wnt5a_given_Pdgfra,Wnt5a,Pdgfra,13,26,0.5,47
>=5,Axin2_given_any_Wnt,Axin2,any_Wnt,2,26,0.07692307692,47
>=5,Porcn_given_any_Wnt,Porcn,any_Wnt,1,26,0.03846153846,47
>=5,Wls_given_any_Wnt,Wls,any_Wnt,17,26,0.6538461538,47
