threshold,gene,n_detected,n_cells,fraction,median_FPKM_all_cells,max_FPKM
>0,Col1a2,47,47,1,181.426,851.303
>0,Pdgfra,40,47,0.8510638298,8.11942,207.743
>0,Wnt1,0,47,0,0,0
>0,Wnt2,4,47,0.08510638298,0,46.2828
>0,Wnt2b,11,47,0.2340425532,0,68.5862
>0,Wnt3,0,47,0,0,0
>0,Wnt3a,0,47,0,0,0
>0,Wnt4,3,47,0.06382978723,0,21.5258
>0,Wnt5a,31,47,0.6595744681,1.83617,266.128
>0,Wnt5b,4,47,0.08510638298,0,3.23083
>0,Wnt6,2,47,0.04255319149,0,1.91117
>0,Wnt7a,0,47,0,0,0
>0,Wnt7b,3,47,0.06382978723,0,0.943632
>0,Wnt8a,0,47,0,0,0
>0,Wnt8b,0,47,0,0,0
>0,Wnt9a,9,47,0.1914893617,0,11.7374
>0,Wnt9b,0,47,0,0,0
>0,Wnt10a,0,47,0,0,0
>0,Wnt10b,1,47,0.02127659574,0,102.03
>0,Wnt11,9,47,0.1914893617,0,7.84595
>0,Wnt16,0,47,0,0,0
>0,Axin2,11,47,0.2340425532,0,18.1075
>0,Ppia,47,47,1,190.347,747.799
>0,Actb,47,47,1,2447.73,4698.23
>0,Ubc,47,47,1,354.474,1243.99
>0,Mgp,47,47,1,4577.52,32185.6
>0,Col1a1,47,47,1,44.5547,438.793
>0,Gapdh,45,47,0.9574468085,18.3595,109.211
>0,Porcn,10,47,0.2127659574,0,245.077
>0,Wls,41,47,0.8723404255,19.8371,365.756
>0,Epcam,4,47,0.08510638298,0,120.432
>0,Pecam1,0,47,0,0,0
>0,Ptprc,0,47,0,0,0
>0,Sftpc,47,47,1,11.2048,125.054
>0,Ager,0,47,0,0,0
>=0.1,Col1a2,47,47,1,181.426,851.303
>=0.1,Pdgfra,39,47,0.829787234,8.11942,207.743
>=0.1,Wnt1,0,47,0,0,0
>=0.1,Wnt2,4,47,0.08510638298,0,46.2828
>=0.1,Wnt2b,11,47,0.2340425532,0,68.5862
>=0.1,Wnt3,0,47,0,0,0
>=0.1,Wnt3a,0,47,0,0,0
>=0.1,Wnt4,2,47,0.04255319149,0,21.5258
>=0.1,Wnt5a,31,47,0.6595744681,1.83617,266.128
>=0.1,Wnt5b,4,47,0.08510638298,0,3.23083
>=0.1,Wnt6,2,47,0.04255319149,0,1.91117
>=0.1,Wnt7a,0,47,0,0,0
>=0.1,Wnt7b,3,47,0.06382978723,0,0.943632
>=0.1,Wnt8a,0,47,0,0,0
>=0.1,Wnt8b,0,47,0,0,0
>=0.1,Wnt9a,9,47,0.1914893617,0,11.7374
>=0.1,Wnt9b,0,47,0,0,0
>=0.1,Wnt10a,0,47,0,0,0
>=0.1,Wnt10b,1,47,0.02127659574,0,102.03
>=0.1,Wnt11,9,47,0.1914893617,0,7.84595
>=0.1,Wnt16,0,47,0,0,0
>=0.1,Axin2,11,47,0.2340425532,0,18.1075
>=0.1,Ppia,47,47,1,190.347,747.799
>=0.1,Actb,47,47,1,2447.73,4698.23
>=0.1,Ubc,47,47,1,354.474,1243.99
>=0.1,Mgp,47,47,1,4577.52,32185.6
>=0.1,Col1a1,47,47,1,44.5547,438.793
>=0.1,Gapdh,45,47,0.9574468085,18.3595,109.211
>=0.1,Porcn,10,47,0.2127659574,0,245.077
>=0.1,Wls,41,47,0.8723404255,19.8371,365.756
>=0.1,Epcam,4,47,0.08510638298,0,120.432
>=0.1,Pecam1,0,47,0,0,0
>=0.1,Ptprc,0,47,0,0,0
>=0.1,Sftpc,47,47,1,11.2048,125.054
>=0.1,Ager,0,47,0,0,0
>=1,Col1a2,47,47,1,181.426,851.303
>=1,Pdgfra,33,47,0.7021276596,8.11942,207.743
>=1,Wnt1,0,47,0,0,0
>=1,Wnt2,3,47,0.06382978723,0,46.2828
>=1,Wnt2b,9,47,0.1914893617,0,68.5862
>=1,Wnt3,0,47,0,0,0
>=1,Wnt3a,0,47,0,0,0
>=1,Wnt4,2,47,0.04255319149,0,21.5258
>=1,Wnt5a,26,47,0.5531914894,1.83617,266.128
>=1,Wnt5b,1,47,0.02127659574,0,3.23083
>=1,Wnt6,1,47,0.02127659574,0,1.91117
>=1,Wnt7a,0,47,0,0,0
>=1,Wnt7b,0,47,0,0,0.943632
>=1,Wnt8a,0,47,0,0,0
>=1,Wnt8b,0,47,0,0,0
>=1,Wnt9a,3,47,0.06382978723,0,11.7374
>=1,Wnt9b,0,47,0,0,0
>=1,Wnt10a,0,47,0,0,0
>=1,Wnt10b,1,47,0.02127659574,0,102.03
>=1,Wnt11,7,47,0.1489361702,0,7.84595
>=1,Wnt16,0,47,0,0,0
>=1,Axin2,6,47,0.1276595745,0,18.1075
>=1,Ppia,47,47,1,190.347,747.799
>=1,Actb,47,47,1,2447.73,4698.23
>=1,Ubc,47,47,1,354.474,1243.99
>=1,Mgp,47,47,1,4577.52,32185.6
>=1,Col1a1,47,47,1,44.5547,438.793
>=1,Gapdh,44,47,0.9361702128,18.3595,109.211
>=1,Porcn,5,47,0.1063829787,0,245.077
>=1,Wls,36,47,0.7659574468,19.8371,365.756
>=1,Epcam,4,47,0.08510638298,0,120.432
>=1,Pecam1,0,47,0,0,0
>=1,Ptprc,0,47,0,0,0
>=1,Sftpc,46,47,0.9787234043,11.2048,125.054
>=1,Ager,0,47,0,0,0
>=5,Col1a2,47,47,1,181.426,851.303
>=5,Pdgfra,26,47,0.5531914894,8.11942,207.743
>=5,Wnt1,0,47,0,0,0
>=5,Wnt2,2,47,0.04255319149,0,46.2828
>=5,Wnt2b,6,47,0.1276595745,0,68.5862
>=5,Wnt3,0,47,0,0,0
>=5,Wnt3a,0,47,0,0,0
>=5,Wnt4,1,47,0.02127659574,0,21.5258
>=5,Wnt5a,18,47,0.3829787234,1.83617,266.128
>=5,Wnt5b,0,47,0,0,3.23083
>=5,Wnt6,0,47,0,0,1.91117
>=5,Wnt7a,0,47,0,0,0
>=5,Wnt7b,0,47,0,0,0.943632
>=5,Wnt8a,0,47,0,0,0
>=5,Wnt8b,0,47,0,0,0
>=5,Wnt9a,1,47,0.02127659574,0,11.7374
>=5,Wnt9b,0,47,0,0,0
>=5,Wnt10a,0,47,0,0,0
>=5,Wnt10b,1,47,0.02127659574,0,102.03
>=5,Wnt11,2,47,0.04255319149,0,7.84595
>=5,Wnt16,0,47,0,0,0
>=5,Axin2,3,47,0.06382978723,0,18.1075
>=5,Ppia,47,47,1,190.347,747.799
>=5,Actb,47,47,1,2447.73,4698.23
>=5,Ubc,47,47,1,354.474,1243.99
>=5,Mgp,47,47,1,4577.52,32185.6
>=5,Col1a1,47,47,1,44.5547,438.793
>=5,Gapdh,39,47,0.829787234,18.3595,109.211
>=5,Porcn,2,47,0.04255319149,0,245.077
>=5,Wls,30,47,0.6382978723,19.8371,365.756
>=5,Epcam,3,47,0.06382978723,0,120.432
>=5,Pecam1,0,47,0,0,0
>=5,Ptprc,0,47,0,0,0
>=5,Sftpc,36,47,0.7659574468,11.2048,125.054
>=5,Ager,0,47,0,0,0
