accession,title,source_name,is_bulk,animal_id,characteristics
GSM2943007,1_L28_C83,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943008,1_L28_C60,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943009,1_L28_C19,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943010,1_L28_C73,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943011,1_L28_C40,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943012,1_L28_C01,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943013,1_L28_C55,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943014,1_L28_C58,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943015,1_L28_C15,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943016,1_L28_C81,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943017,1_L28_C72,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943018,1_L28_C54,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943019,1_L28_C87,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943020,1_L28_C10,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943021,1_L28_C18,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943022,1_L28_C63,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943023,1_L28_C36,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943024,1_L28_C68,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943025,1p_L28_C51,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943026,1_L28_C61,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943027,1p_L28_C13,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943028,1D_L28_C33,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943029,1_L28_C26,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943030,1_L28_C39,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943031,1_L28_C66,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943032,1_L28_C08,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943033,1_L28_C69,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943034,1_L28_C31,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943035,1pp_L28_C49,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943036,1_L28_C62,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943037,1_L28_C17,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943038,1pp_L28_C43,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943039,1pp_L28_C50,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943040,1p_L28_C03,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943041,1pp_L28_C25,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943042,1pp_L28_C79,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943043,1pp_L28_C65,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943044,1_L28_C64,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943045,1_L28_C14,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943046,1_L28_C82,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943047,1D_L28_C93,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943048,1_L28_C88,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943049,1_L28_C56,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943050,1_L28_C74,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943051,1_L28_C45,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943052,1_L28_C16,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943053,1_L28_C95,adult mouse lung_single cell,False,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
GSM2943054,PTC1_BTL28,adult mouse lung_bulk cells,True,not supplied,tissue: lung; developmental stage: adult; cell type: mesenchymal cells; strain: C57BL/6
