cell_type,tier,marker_for,reference,gene,note
AT0,1,Epithelial,Full atlas,FXYD3,
AT0,1,Epithelial,Full atlas,EPCAM,
AT0,1,Epithelial,Full atlas,ELF3,
AT0,2,Airway epithelium,Epithelial,IGFBP2,
AT0,2,Airway epithelium,Epithelial,SERPINF1,
AT0,2,Airway epithelium,Epithelial,TSPAN1,
AT0,3,AT0,Airway epithelium,SFTPB,
AT0,3,AT0,Airway epithelium,SCGB3A2,
AT0,3,AT0,Airway epithelium,SFTA2,
AT1,1,Epithelial,Full atlas,FXYD3,
AT1,1,Epithelial,Full atlas,EPCAM,
AT1,1,Epithelial,Full atlas,ELF3,
AT1,2,Alveolar epithelium,Epithelial,HOPX,
AT1,2,Alveolar epithelium,Epithelial,SFTA2,
AT1,2,Alveolar epithelium,Epithelial,SLC39A8,
AT1,3,AT1,Alveolar epithelium,CLIC5,
AT1,3,AT1,Alveolar epithelium,SPOCK2,
AT1,3,AT1,Alveolar epithelium,TIMP3,
AT2 proliferating,1,Epithelial,Full atlas,FXYD3,
AT2 proliferating,1,Epithelial,Full atlas,EPCAM,
AT2 proliferating,1,Epithelial,Full atlas,ELF3,
AT2 proliferating,2,Alveolar epithelium,Epithelial,HOPX,
AT2 proliferating,2,Alveolar epithelium,Epithelial,SFTA2,
AT2 proliferating,2,Alveolar epithelium,Epithelial,SLC39A8,
AT2 proliferating,3,AT2 proliferating,Alveolar epithelium,CENPW,
AT2 proliferating,3,AT2 proliferating,Alveolar epithelium,CDKN3,
AT2 proliferating,3,AT2 proliferating,Alveolar epithelium,BIRC5,
AT2,1,Epithelial,Full atlas,FXYD3,
AT2,1,Epithelial,Full atlas,EPCAM,
AT2,1,Epithelial,Full atlas,ELF3,
AT2,2,Alveolar epithelium,Epithelial,HOPX,
AT2,2,Alveolar epithelium,Epithelial,SFTA2,
AT2,2,Alveolar epithelium,Epithelial,SLC39A8,
AT2,3,AT2,Alveolar epithelium,MFSD2A,
AT2,3,AT2,Alveolar epithelium,C8orf4,
AT2,3,AT2,Alveolar epithelium,C11orf96,
Adventitial fibroblasts,1,Stroma,Full atlas,COL1A2,
Adventitial fibroblasts,1,Stroma,Full atlas,DCN,
Adventitial fibroblasts,1,Stroma,Full atlas,MFAP4,
Adventitial fibroblasts,2,Fibroblast lineage,Stroma,LUM,
Adventitial fibroblasts,2,Fibroblast lineage,Stroma,COL6A3,
Adventitial fibroblasts,2,Fibroblast lineage,Stroma,CFD,
Adventitial fibroblasts,3,Adventitial fibroblasts,Fibroblast lineage,MFAP5,
Adventitial fibroblasts,3,Adventitial fibroblasts,Fibroblast lineage,SCARA5,
Adventitial fibroblasts,3,Adventitial fibroblasts,Fibroblast lineage,PI16,
Alveolar Mph CCL3+,1,Immune,Full atlas,CD53,
Alveolar Mph CCL3+,1,Immune,Full atlas,PTPRC,
Alveolar Mph CCL3+,1,Immune,Full atlas,CORO1A,
Alveolar Mph CCL3+,2,Myeloid,Immune,FCER1G,
Alveolar Mph CCL3+,2,Myeloid,Immune,C1orf162,
Alveolar Mph CCL3+,2,Myeloid,Immune,CLEC7A,
Alveolar Mph CCL3+,3,Alveolar Mph CCL3+,Myeloid,CCL20,
Alveolar Mph CCL3+,3,Alveolar Mph CCL3+,Myeloid,FAM89A,
Alveolar Mph MT-positive,1,Immune,Full atlas,CD53,
Alveolar Mph MT-positive,1,Immune,Full atlas,PTPRC,
Alveolar Mph MT-positive,1,Immune,Full atlas,CORO1A,
Alveolar Mph MT-positive,2,Myeloid,Immune,FCER1G,
Alveolar Mph MT-positive,2,Myeloid,Immune,C1orf162,
Alveolar Mph MT-positive,2,Myeloid,Immune,CLEC7A,
Alveolar Mph MT-positive,3,"Alveolar Mph MT-positive (poss. lowly expressed, non-unique)",Myeloid,MT1M,"poss. lowly expressed, non-unique"
Alveolar Mph MT-positive,3,"Alveolar Mph MT-positive (poss. lowly expressed, non-unique)",Myeloid,CCL18,"poss. lowly expressed, non-unique"
Alveolar Mph MT-positive,3,"Alveolar Mph MT-positive (poss. lowly expressed, non-unique)",Myeloid,MT1E,"poss. lowly expressed, non-unique"
Alveolar Mph proliferating,1,Immune,Full atlas,CD53,
Alveolar Mph proliferating,1,Immune,Full atlas,PTPRC,
Alveolar Mph proliferating,1,Immune,Full atlas,CORO1A,
Alveolar Mph proliferating,2,Myeloid,Immune,FCER1G,
Alveolar Mph proliferating,2,Myeloid,Immune,C1orf162,
Alveolar Mph proliferating,2,Myeloid,Immune,CLEC7A,
Alveolar Mph proliferating,3,Alveolar Mph proliferating,Myeloid,TYMS,
