accession,gsm,title,organism,genotype,cell_type_sorted,tissue,instrument,alignment
GSE316241,GSM9447763,Expt1_Confetti_mesenchyme,Mus musculus,Sftpc-CreERT2; R26R-Confetti,Mesenchymal cells,Distal lung,Illumina NovaSeq X,"Alignment performed using 10x cellranger (v8.0.0). | Assembly: GRCm38 | Supplementary files format and content: mtx, tsv, csv files: raw count, barcodes and genes"
GSE316241,GSM9447764,Expt1_Red2Kras_mesenchyme,Mus musculus,Sftpc-CreERT2; Red2Kras,Mesenchymal cells,Distal lung,Illumina NovaSeq X,"Alignment performed using 10x cellranger (v8.0.0). | Assembly: GRCm38 | Supplementary files format and content: mtx, tsv, csv files: raw count, barcodes and genes"
GSE316243,GSM9447777,Expt2_Confetti_niche,Mus musculus,,"Mesenchymal, immune and endothelial cells",Distal lung,Illumina NovaSeq 6000,"Alignment was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: mtx, tsv, csv files: raw count, barcodes and genes"
GSE316243,GSM9447778,Expt2_Red2Kras_niche,Mus musculus,,"Mesenchymal, immune and endothelial cells",Distal lung,Illumina NovaSeq 6000,"Alignment was performed using 10x cellranger v3.1.0 | Assembly: GRCm38 | Supplementary files format and content: mtx, tsv, csv files: raw count, barcodes and genes"
GSE316244,GSM9447779,Expt3_Het_niche,Mus musculus,Sftpc-CreERT2; Red2Kras; Areg-flox/+,Mesenchymal and immune cells,Distal lung,Illumina NovaSeq 6000,"Alignment performed using 10x cellranger (v7.2.0). | Assembly: GRCm38 | Supplementary files format and content: mtx, tsv, csv files: raw count, barcodes and genes"
GSE316244,GSM9447780,Expt3_Hom_niche,Mus musculus,Sftpc-CreERT2; Red2Kras; Areg-flox/flox,Mesenchymal and immune cells,Distal lung,Illumina NovaSeq 6000,"Alignment performed using 10x cellranger (v7.2.0). | Assembly: GRCm38 | Supplementary files format and content: mtx, tsv, csv files: raw count, barcodes and genes"
GSE316244,GSM9447781,Expt3_Het_RFP,Mus musculus,Sftpc-CreERT2; Red2Kras; Areg-flox/+,RFP+ lineaged-traced AT2 cells,Distal lung,Illumina NovaSeq 6000,"Alignment performed using 10x cellranger (v7.2.0). | Assembly: GRCm38 | Supplementary files format and content: mtx, tsv, csv files: raw count, barcodes and genes"
GSE316244,GSM9447782,Expt3_Hom_RFP,Mus musculus,Sftpc-CreERT2; Red2Kras; Areg-flox/flox,RFP+ lineaged-traced AT2 cells,Distal lung,Illumina NovaSeq 6000,"Alignment performed using 10x cellranger (v7.2.0). | Assembly: GRCm38 | Supplementary files format and content: mtx, tsv, csv files: raw count, barcodes and genes"
GSE310335,GSM9294136,Control organoids S49,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
GSE310335,GSM9294137,Control organoids S50,Homo sapiens,,,lung,Illumina NovaSeq 6000,"The demultiplexing, barcoded processing, gene counting and aggregation were made using the Cell Ranger software v5.0.1 (https://support.10xgenomics.com/single-cell-gene-expression/software/pipelines/latest/what-is-cell-ranger) | Assembly: GRCh38 | Supplementary files format and content: Tab-seperated values files and matrix files"
