library,gene,set,det_double_positive,det_double_negative,difference,unrankable
Expt3_Het_niche,1110038B12Rik,C9 top 30,0.7388,0.2289,0.5099,False
Expt3_Het_niche,AI506816,C9 top 30,0.7625,0.2511,0.5114,False
Expt3_Het_niche,Acta2,smooth_muscle,0.7441,0.3643,0.3798,False
Expt3_Het_niche,Basp1,C9 top 30,0.7757,0.1844,0.5913,False
Expt3_Het_niche,Bmp1,C9 top 30,0.8074,0.2806,0.5268,False
Expt3_Het_niche,Bmper,C9 top 30,0.8443,0.2649,0.5794,False
Expt3_Het_niche,Cemip2,C9 top 30,0.723,0.1799,0.5431,False
Expt3_Het_niche,Chst11,C9 top 30,0.7731,0.1642,0.6089,False
Expt3_Het_niche,Col13a1,alveolar,0.3272,0.4303,-0.1032,False
Expt3_Het_niche,Col14a1,adventitial,0.4697,0.62,-0.1504,False
Expt3_Het_niche,Col1a1,group definition,1.0,1.0,0.0,True
Expt3_Het_niche,Col3a1,pathological,1.0,0.9869,0.0131,True
Expt3_Het_niche,Cotl1,C9 top 30,0.6148,0.1007,0.5141,False
Expt3_Het_niche,Cthrc1,pathological,0.4485,0.0203,0.4283,False
Expt3_Het_niche,Ctsc,C9 top 30,0.905,0.3427,0.5623,False
Expt3_Het_niche,Dcn,adventitial,0.81,0.6553,0.1547,False
Expt3_Het_niche,Dock5,C9 top 30,0.7784,0.1988,0.5795,False
Expt3_Het_niche,Elk3,C9 top 30,0.81,0.2368,0.5733,False
Expt3_Het_niche,Enc1,C9 top 30,0.6675,0.1452,0.5224,False
Expt3_Het_niche,Fam78b,C9 top 30,0.6939,0.1615,0.5324,False
Expt3_Het_niche,Fkbp5,C9 top 30,0.81,0.2727,0.5373,False
Expt3_Het_niche,Fn1,pathological,0.9763,0.7305,0.2457,False
Expt3_Het_niche,Fst,group definition,1.0,0.0,1.0,False
Expt3_Het_niche,Gtf2ird1,C9 top 30,0.752,0.1975,0.5545,False
Expt3_Het_niche,Kif26b,C9 top 30,0.7916,0.0974,0.6941,False
Expt3_Het_niche,Lhfpl2,C9 top 30,0.7573,0.1668,0.5905,False
Expt3_Het_niche,Lrrc4,C9 top 30,0.6702,0.1504,0.5198,False
Expt3_Het_niche,Ltbp2,C9 top 30,0.876,0.2112,0.6647,False
Expt3_Het_niche,Megf11,C9 top 30,0.5541,0.0386,0.5155,False
Expt3_Het_niche,Myh11,smooth_muscle,0.1108,0.1929,-0.0821,False
Expt3_Het_niche,Npnt,alveolar,0.6385,0.6089,0.0296,False
Expt3_Het_niche,P4ha3,C9 top 30,0.6332,0.0929,0.5404,False
Expt3_Het_niche,Pdgfra,alveolar,0.8602,0.7037,0.1564,False
Expt3_Het_niche,Pi16,adventitial,0.1187,0.2727,-0.154,False
Expt3_Het_niche,Piezo2,C9 top 30,0.8786,0.1844,0.6942,False
Expt3_Het_niche,Postn,pathological,0.3061,0.1805,0.1256,False
Expt3_Het_niche,Prrx2,C9 top 30,0.686,0.1465,0.5395,False
Expt3_Het_niche,Rab31,C9 top 30,0.8364,0.2838,0.5526,False
