pair,n_donors,median_rank,q25,q75,median_lr_prob,ligand,receptor,overall_rank
COL4A2 to CD44,25,3.0,2.0,13.0,0.04678726393775463,COL4A2,CD44,1
COL6A2 to CD44,21,4.0,3.0,8.0,0.05274565054981552,COL6A2,CD44,2
FN1 to CD44,26,6.5,3.0,10.75,0.04715354113824386,FN1,CD44,3
COL4A1 to CD44,25,9.0,1.0,25.0,0.028094690497523313,COL4A1,CD44,4
LAMB3 to CD44,26,9.0,5.0,18.75,0.038526728077745806,LAMB3,CD44,5
APP to CD74,26,9.5,5.0,17.75,0.033401612094043485,APP,CD74,6
MDK to LRP1,26,10.5,5.25,16.25,0.03394040092307056,MDK,LRP1,7
LAMC2 to CD44,26,11.0,6.25,25.0,0.02889506907137073,LAMC2,CD44,8
LAMC1 to CD44,26,12.0,8.25,17.0,0.02913376648547138,LAMC1,CD44,9
COL1A2 to CD44,19,14.0,5.5,38.5,0.03403029994563047,COL1A2,CD44,10
COL1A1 to CD44,24,15.0,7.0,37.25,0.027512368069173076,COL1A1,CD44,11
LAMA3 to CD44,26,15.5,4.0,36.75,0.03221519480919344,LAMA3,CD44,12
AREG to EGFR,26,15.5,10.25,40.0,0.02002479960338019,AREG,EGFR,13
MDK to SDC2,26,18.0,10.5,56.75,0.01711851008691339,MDK,SDC2,14
COL4A5 to CD44,26,19.5,11.5,32.5,0.020704616885356873,COL4A5,CD44,15
LAMA2 to CD44,26,20.0,12.5,30.0,0.019601332514239532,LAMA2,CD44,16
GDF15 to TGFBR2,26,21.0,6.0,34.25,0.02182364158590011,GDF15,TGFBR2,17
COL6A1 to CD44,20,21.5,12.25,37.25,0.01832527173498845,COL6A1,CD44,18
COL4A3 to CD44,25,22.0,11.0,84.0,0.013819367919820509,COL4A3,CD44,19
COL4A2 to ITGA1_ITGB1,25,23.0,13.0,56.0,0.01812204811739135,COL4A2,ITGA1_ITGB1,20
LAMA5 to CD44,26,25.0,16.0,39.25,0.015637289927556412,LAMA5,CD44,21
GAS6 to AXL,26,26.5,16.5,38.0,0.013968463494236052,GAS6,AXL,22
FN1 to ITGAV_ITGB1,26,26.5,21.0,34.5,0.01369174043164625,FN1,ITGAV_ITGB1,23
MDK to NCL,26,27.0,18.0,62.0,0.010222656947364333,MDK,NCL,24
FN1 to ITGA8_ITGB1,23,27.0,20.5,33.0,0.0135360340548969,FN1,ITGA8_ITGB1,25
LAMA4 to CD44,24,27.5,14.0,195.75,0.012872497138972655,LAMA4,CD44,26
NRXN3 to NLGN1,26,28.0,21.25,47.25,0.009963435253099798,NRXN3,NLGN1,27
COL4A4 to CD44,23,28.0,16.0,38.5,0.014035954405536361,COL4A4,CD44,28
LAMB2 to CD44,25,28.0,21.0,43.0,0.012247532443538605,LAMB2,CD44,29
COL6A2 to ITGA1_ITGB1,21,29.0,18.0,40.0,0.014532581361433367,COL6A2,ITGA1_ITGB1,30
LAMB1 to CD44,21,31.0,8.0,48.0,0.02481955242390696,LAMB1,CD44,31
NAMPT to INSR,26,43.5,26.25,66.0,0.009600767339527447,NAMPT,INSR,32
LAMB3 to ITGA1_ITGB1,26,45.0,30.5,65.5,0.007613305035131515,LAMB3,ITGA1_ITGB1,33
COL1A2 to ITGA1_ITGB1,19,46.0,23.5,82.5,0.012051416369531349,COL1A2,ITGA1_ITGB1,34
COL4A1 to ITGA1_ITGB1,25,47.0,13.0,73.0,0.0052449918578766274,COL4A1,ITGA1_ITGB1,35
TNC to ITGA8_ITGB1,23,47.0,38.5,85.0,0.004967146113568787,TNC,ITGA8_ITGB1,36
PROS1 to AXL,26,47.0,31.5,62.75,0.005943468596320678,PROS1,AXL,37
HBEGF to EGFR,26,48.5,29.25,81.5,0.006372359519104335,HBEGF,EGFR,38
LAMC1 to ITGA1_ITGB1,26,50.0,33.0,66.75,0.005733356771446358,LAMC1,ITGA1_ITGB1,39
LAMC2 to ITGA1_ITGB1,26,50.0,37.5,69.0,0.006599515330393459,LAMC2,ITGA1_ITGB1,40
SEMA3C to NRP1_PLXNA2,25,52.0,35.0,105.0,0.0065049071203917615,SEMA3C,NRP1_PLXNA2,41
LAMB3 to SV2C,26,52.0,31.25,63.75,0.006750980939439542,LAMB3,SV2C,42
LAMC2 to SV2C,26,53.5,38.0,71.75,0.004362662037349744,LAMC2,SV2C,43
NAMPT to ITGA5_ITGB1,24,53.5,29.75,93.75,0.005674236916309315,NAMPT,ITGA5_ITGB1,44
LAMC1 to SV2C,26,54.0,40.5,62.0,0.005530717034285804,LAMC1,SV2C,45
ADGRE5 to CD55,26,54.0,36.25,68.5,0.005382204907248034,ADGRE5,CD55,46
LAMA3 to SV2C,26,58.5,40.0,88.25,0.005723257517313339,LAMA3,SV2C,47
COL4A2 to ITGA9_ITGB1,25,61.0,35.0,108.0,0.005289042425585777,COL4A2,ITGA9_ITGB1,48
COL4A5 to ITGA1_ITGB1,26,61.5,44.5,78.75,0.005611746724694279,COL4A5,ITGA1_ITGB1,49
FN1 to ITGA5_ITGB1,24,62.0,36.75,87.5,0.004750316341721824,FN1,ITGA5_ITGB1,50
COL1A1 to ITGA1_ITGB1,24,62.5,38.25,93.75,0.006450859757110262,COL1A1,ITGA1_ITGB1,51
LAMA2 to SV2C,26,64.0,53.5,84.75,0.004189514317255749,LAMA2,SV2C,52
SPP1 to CD44,19,65.0,28.5,133.5,0.0037081238973470146,SPP1,CD44,53
LAMA3 to ITGA1_ITGB1,26,65.5,27.75,91.25,0.004795572730622833,LAMA3,ITGA1_ITGB1,54
COL6A1 to ITGA1_ITGB1,20,66.0,40.25,82.5,0.006154584742085545,COL6A1,ITGA1_ITGB1,55
JAG1 to NOTCH2,26,66.5,46.25,96.75,0.002482060586040501,JAG1,NOTCH2,56
LAMA2 to ITGA1_ITGB1,26,66.5,38.25,79.75,0.0042520954896646534,LAMA2,ITGA1_ITGB1,57
LAMA5 to SV2C,26,68.5,51.5,107.75,0.002579167321800463,LAMA5,SV2C,58
COL4A1 to ITGA9_ITGB1,25,69.0,53.0,117.0,0.0022990089508847125,COL4A1,ITGA9_ITGB1,59
