library,half,n_DATP_like,det_DATP_like,n_AT2,det_AT2,drop
Expt1_4dRFPr2,shallow,132,0.4773,512,0.543,0.06570000000000004
Expt1_4dRFPr2,deep,298,0.7517,484,0.7541,0.0023999999999999577
Expt1_2wRFPr1,shallow,260,0.9269,1602,0.8689,-0.05799999999999994
Expt1_2wRFPr1,deep,380,0.9921,1351,0.9948,0.0027000000000000357
Expt1_2wRFPr2,shallow,221,0.9593,988,0.8188,-0.14050000000000007
Expt1_2wRFPr2,deep,280,1.0,980,0.9704,-0.02959999999999996
Expt3_Het_RFP,shallow,1209,0.9818,1410,0.8723,-0.10950000000000004
Expt3_Het_RFP,deep,1523,0.9987,1081,0.9935,-0.005199999999999982
Expt3_Hom_RFP,shallow,347,0.9625,2059,0.8674,-0.09510000000000007
Expt3_Hom_RFP,deep,996,0.999,1248,0.9824,-0.016599999999999948
