cluster,n_cells,call,mode_fraction,confident,fraction_Red2Kras,fraction_Confetti
0,1709,alveolar fibroblast,0.506,True,0.414,0.586
1,2017,alveolar fibroblast,0.973,True,0.223,0.777
2,1547,adventitial fibroblast,0.97,True,0.556,0.444
3,733,mesothelium,0.966,True,0.501,0.499
4,331,mesothelial-like,0.489,False,0.988,0.012
5,702,peri-bronchial fibroblast,0.806,True,0.527,0.473
6,1519,smooth muscle,0.982,True,0.504,0.496
7,201,pericyte,0.851,True,0.517,0.483
8,79,reprogrammed fibroblast,0.418,False,0.747,0.253
9,1008,alveolar fibroblast,0.575,True,0.192,0.808
10,288,mesothelial-like,0.41,False,0.951,0.049
11,184,mesothelial-like,0.342,False,0.989,0.011
12,39,reprogrammed fibroblast,0.385,False,0.436,0.564
13,86,mesothelium,0.419,False,0.523,0.477
14,937,alveolar fibroblast,0.394,False,0.996,0.004
15,167,reprogrammed fibroblast,0.401,False,0.874,0.126
16,143,proliferating,0.301,False,0.965,0.035
