cluster,n_cells,fraction_Red2Kras,pct_epithelial,pct_immune,pct_endothelial,pct_mesenchymal,pct_mesothelial,pct_Col1a1,pct_Areg,off_target_for_this_sort,reads_as
0,1709,0.414,2.2,0.1,18.6,99.2,2.6,95.1,1.1,False,mesenchymal
1,2017,0.223,1.2,0.1,3.0,94.7,2.3,84.2,0.4,False,mesenchymal
2,1547,0.556,2.1,0.0,8.3,100.0,4.2,94.2,1.3,False,mesenchymal
3,733,0.501,74.8,0.3,4.2,98.6,99.3,53.6,2.2,False,mesothelial
4,331,0.988,69.2,0.6,12.1,99.4,90.3,98.2,5.1,False,mesothelial
5,702,0.527,2.1,0.1,10.0,94.3,1.3,76.8,1.6,False,mesenchymal
6,1519,0.504,3.6,0.2,13.6,92.8,1.7,82.4,1.1,False,mesenchymal
7,201,0.517,1.0,0.5,0.0,75.6,0.5,56.7,0.0,False,mesenchymal
8,79,0.747,3.8,74.7,30.4,17.7,1.3,11.4,8.9,True,immune
9,1008,0.192,1.1,0.2,4.6,99.4,2.1,93.5,0.6,False,mesenchymal
10,288,0.951,43.8,87.8,6.2,26.4,5.6,13.2,17.7,True,immune
11,184,0.989,98.4,3.8,14.1,46.2,35.9,21.2,88.0,True,epithelial
12,39,0.436,97.4,2.6,33.3,28.2,2.6,23.1,69.2,True,epithelial
13,86,0.523,3.5,4.7,94.2,44.2,3.5,25.6,2.3,False,mesenchymal
14,937,0.996,3.4,0.0,2.2,95.3,2.9,89.9,3.8,False,mesenchymal
15,167,0.874,10.8,67.7,16.2,27.5,2.4,17.4,7.8,True,immune
16,143,0.965,4.9,0.7,28.7,79.0,4.2,71.3,2.8,False,mesenchymal
