donor,tissue,subtype,n_cells,det_AREG,det_EREG,det_HBEGF,det_TGFA,det_EGFR,evaluable
LUNG_N01,nLung,AT1,9,0.1111,0.0,0.4444,0.1111,0.5556,False
LUNG_N01,nLung,AT2,145,0.9103,0.0414,0.5724,0.0276,0.5034,True
LUNG_N01,nLung,Activated DCs,11,0.1818,0.0909,0.1818,0.0,0.0,False
LUNG_N01,nLung,Alveolar Mac,608,0.2467,0.2089,0.8586,0.0164,0.0115,True
LUNG_N01,nLung,CD141+ DCs,11,0.5455,0.0,0.3636,0.0,0.0,False
LUNG_N01,nLung,CD163+CD14+ DCs,58,0.7069,0.431,0.6207,0.0345,0.0,True
LUNG_N01,nLung,CD1c+ DCs,76,0.8158,0.3553,0.5921,0.0,0.0,True
LUNG_N01,nLung,CD4+ Th,216,0.1944,0.0093,0.0741,0.0,0.0,True
LUNG_N01,nLung,CD8 low T,101,0.1188,0.0198,0.0198,0.0,0.0,True
LUNG_N01,nLung,COL13A1+ matrix FBs,13,0.0,0.0,0.2308,0.0,0.2308,False
LUNG_N01,nLung,Ciliated,24,0.625,0.0417,0.3333,0.0417,0.375,False
LUNG_N01,nLung,Club,17,0.4118,0.0588,0.5294,0.0588,0.5294,False
LUNG_N01,nLung,Cytotoxic CD8+ T,294,0.1054,0.0102,0.0306,0.0,0.0,True
LUNG_N01,nLung,Exhausted CD8+ T,16,0.125,0.0,0.0625,0.0,0.0,False
LUNG_N01,nLung,Follicular B cells,40,0.125,0.0,0.0,0.0,0.0,False
LUNG_N01,nLung,GrB-secreting B cells,31,0.7097,0.0323,0.0968,0.0,0.0,False
LUNG_N01,nLung,Lymphatic ECs,2,0.0,0.0,0.0,0.0,0.0,False
LUNG_N01,nLung,MALT B cells,11,0.5455,0.0909,0.0,0.0,0.0,False
LUNG_N01,nLung,MAST,230,0.6913,0.0043,0.0217,0.0087,0.0,True
LUNG_N01,nLung,Monocytes,471,0.4416,0.5456,0.3928,0.0,0.0021,True
LUNG_N01,nLung,NK,299,0.3913,0.0067,0.0167,0.0,0.0,True
LUNG_N01,nLung,Naive CD4+ T,10,0.5,0.0,0.0,0.0,0.0,False
LUNG_N01,nLung,Naive CD8+ T,1,0.0,0.0,0.0,0.0,0.0,False
LUNG_N01,nLung,Pleural Mac,2,0.0,0.0,0.0,0.0,0.0,False
LUNG_N01,nLung,Smooth muscle cells,3,0.0,0.0,0.3333,0.0,0.0,False
LUNG_N01,nLung,Stalk-like ECs,14,0.1429,0.0,0.5,0.0,0.0,False
LUNG_N01,nLung,Tip-like ECs,16,0.125,0.0,0.125,0.0,0.1875,False
LUNG_N01,nLung,Treg,11,0.0,0.0,0.0909,0.0,0.0,False
LUNG_N01,nLung,mo-Mac,68,0.0882,0.1618,0.4118,0.0441,0.0,True
LUNG_N01,nLung,pDCs,1,1.0,0.0,0.0,0.0,0.0,False
LUNG_N06,nLung,AT1,19,0.1053,0.0526,0.2105,0.1579,0.2105,False
LUNG_N06,nLung,AT2,91,0.4725,0.022,0.1209,0.022,0.1978,True
LUNG_N06,nLung,Activated DCs,8,0.0,0.0,0.0,0.0,0.0,False
LUNG_N06,nLung,Alveolar Mac,1146,0.1134,0.1963,0.7635,0.0035,0.0017,True
LUNG_N06,nLung,CD141+ DCs,6,0.0,0.0,0.0,0.0,0.0,False
LUNG_N06,nLung,CD163+CD14+ DCs,1,0.0,1.0,0.0,0.0,0.0,False
LUNG_N06,nLung,CD1c+ DCs,25,0.48,0.24,0.2,0.04,0.0,False
LUNG_N06,nLung,CD4+ Th,180,0.1167,0.0111,0.0,0.0056,0.0,True
LUNG_N06,nLung,CD8 low T,60,0.0333,0.0,0.0,0.0,0.0,True
LUNG_N06,nLung,COL13A1+ matrix FBs,1,0.0,0.0,0.0,0.0,0.0,False
LUNG_N06,nLung,COL14A1+ matrix FBs,8,0.0,0.0,0.125,0.0,0.25,False
LUNG_N06,nLung,Ciliated,48,0.3542,0.0208,0.0417,0.1042,0.2083,False
LUNG_N06,nLung,Club,18,0.2222,0.0,0.1667,0.0,0.0556,False
LUNG_N06,nLung,Cytotoxic CD8+ T,350,0.04,0.0057,0.02,0.0029,0.0,True
LUNG_N06,nLung,Exhausted CD8+ T,7,0.0,0.0,0.0,0.0,0.0,False
LUNG_N06,nLung,Follicular B cells,21,0.0476,0.0,0.0,0.0476,0.0,False
LUNG_N06,nLung,GrB-secreting B cells,5,0.2,0.0,0.0,0.0,0.0,False
LUNG_N06,nLung,Lymphatic ECs,2,0.0,0.0,0.0,0.0,0.0,False
LUNG_N06,nLung,MALT B cells,1,1.0,0.0,0.0,0.0,0.0,False
LUNG_N06,nLung,MAST,30,0.2333,0.0333,0.0,0.1,0.0,False
LUNG_N06,nLung,Mesothelial cells,1,0.0,0.0,0.0,0.0,1.0,False
LUNG_N06,nLung,Monocytes,94,0.2447,0.6596,0.2447,0.0213,0.0,True
LUNG_N06,nLung,NK,176,0.2045,0.0057,0.0284,0.0,0.0,True
LUNG_N06,nLung,Naive CD4+ T,17,0.1765,0.0,0.0,0.0,0.0,False
LUNG_N06,nLung,Plasma cells,1,0.0,0.0,0.0,0.0,0.0,False
LUNG_N06,nLung,Pleural Mac,1,0.0,0.0,0.0,0.0,0.0,False
LUNG_N06,nLung,Stalk-like ECs,1,0.0,0.0,0.0,0.0,0.0,False
LUNG_N06,nLung,Tip-like ECs,5,0.0,0.0,0.0,0.0,0.0,False
LUNG_N06,nLung,Treg,9,0.0,0.0,0.0,0.0,0.0,False
LUNG_N06,nLung,mo-Mac,26,0.0,0.1154,0.0769,0.0,0.0,False
LUNG_N08,nLung,AT1,66,0.0303,0.0,0.3333,0.0,0.197,True
LUNG_N08,nLung,AT2,137,0.4526,0.0073,0.1971,0.0219,0.2847,True
LUNG_N08,nLung,Activated DCs,5,0.2,0.2,0.2,0.4,0.0,False
LUNG_N08,nLung,Alveolar Mac,1110,0.0991,0.2423,0.7712,0.0081,0.0045,True
LUNG_N08,nLung,CD141+ DCs,2,0.0,0.0,0.5,0.0,0.0,False
LUNG_N08,nLung,CD163+CD14+ DCs,8,0.5,0.375,0.75,0.0,0.0,False
LUNG_N08,nLung,CD1c+ DCs,29,0.4828,0.4138,0.5862,0.0,0.0,False
LUNG_N08,nLung,CD4+ Th,257,0.0856,0.0195,0.0272,0.0,0.0,True
LUNG_N08,nLung,CD8 low T,41,0.122,0.0,0.0732,0.0244,0.0,False
LUNG_N08,nLung,COL13A1+ matrix FBs,1,0.0,0.0,0.0,0.0,1.0,False
LUNG_N08,nLung,COL14A1+ matrix FBs,8,0.0,0.0,0.125,0.0,0.375,False
LUNG_N08,nLung,Ciliated,66,0.3182,0.0152,0.0758,0.0909,0.2576,True
LUNG_N08,nLung,Club,26,0.3077,0.0,0.3077,0.0385,0.3077,False
LUNG_N08,nLung,Cytotoxic CD8+ T,111,0.0811,0.027,0.009,0.0,0.0,True
LUNG_N08,nLung,EPCs,3,0.0,0.3333,0.6667,0.0,0.0,False
LUNG_N08,nLung,Exhausted CD8+ T,7,0.2857,0.1429,0.0,0.0,0.0,False
LUNG_N08,nLung,Exhausted Tfh,1,0.0,0.0,0.0,0.0,0.0,False
LUNG_N08,nLung,Follicular B cells,46,0.1304,0.0,0.0435,0.0,0.0,False
LUNG_N08,nLung,GrB-secreting B cells,7,0.7143,0.0,0.1429,0.0,0.0,False
LUNG_N08,nLung,Lymphatic ECs,2,0.0,0.0,0.0,0.0,0.0,False
LUNG_N08,nLung,MALT B cells,2,0.0,0.0,0.0,0.0,0.0,False
LUNG_N08,nLung,MAST,84,0.2143,0.0119,0.0119,0.0119,0.0,True
LUNG_N08,nLung,Monocytes,154,0.4026,0.5974,0.4481,0.0,0.0,True
LUNG_N08,nLung,NK,390,0.1333,0.0077,0.0256,0.0026,0.0,True
LUNG_N08,nLung,Naive CD4+ T,41,0.122,0.0,0.0244,0.0,0.0,False
