cluster,GSM9057709,GSM9057712,GSM9057713,GSM9057716,GSM9057717,GSM9057720,GSM9057721
0,56,142,106,125,152,53,334
1,40,212,333,137,108,250,188
10,47,34,40,64,26,44,79
11,397,696,454,427,411,224,683
12,147,158,98,263,312,85,235
13,73,140,69,132,90,71,155
14,6,146,285,187,95,234,374
15,196,697,677,347,275,916,590
16,8,10,7,8,5,25,86
17,3,12,24,15,16,11,33
18,7,43,13,9,8,2,5
19,141,59,240,85,74,313,501
2,58,56,108,80,97,250,303
20,180,28,36,62,45,108,124
21,65,21,19,23,10,85,26
22,43,23,87,220,91,107,155
23,214,38,118,149,29,245,250
24,5,10,8,39,11,21,25
25,80,37,120,62,44,164,232
26,23,179,185,475,218,254,304
27,23,5,10,24,38,15,27
28,0,9,10,3,0,11,10
29,14,15,15,109,9,25,39
3,0,2,21,21,0,17,16
30,69,7,28,70,15,46,66
31,2,1,6,8,1,6,10
32,0,0,0,0,0,11,0
4,26,95,109,62,44,95,177
5,6,20,31,30,45,33,70
6,0,1,0,0,3,11,4
7,58,93,319,289,104,230,302
8,299,372,451,494,369,268,480
9,189,156,169,237,168,396,377
