gsm,treatment,compartment,label,cells
GSM9057709,Control IgG,airway,neuroendocrine_candidate,69
GSM9057709,Control IgG,airway,secretory_airway,65
GSM9057709,Control IgG,alveolar,AT1_like,214
GSM9057709,Control IgG,alveolar,mixed_AT2_AT1_alveolar,180
GSM9057709,Control IgG,endothelial,capillary_endothelial,80
GSM9057709,Control IgG,endothelial,vascular_endothelial,141
GSM9057709,Control IgG,fibroblast,fibroblast_Gsn,58
GSM9057709,Control IgG,fibroblast,fibroblast_Itga8,6
GSM9057709,Control IgG,fibroblast,fibroblast_Pi16,23
GSM9057709,Control IgG,myeloid,CSF1R_myeloid,96
GSM9057709,Control IgG,myeloid,inflammatory_CSF1R_CSF3R_myeloid,26
GSM9057709,Control IgG,other,APC_ambiguous,58
GSM9057709,Control IgG,other,B_cell,397
GSM9057709,Control IgG,other,NK_cell,147
GSM9057709,Control IgG,other,T_cell,535
GSM9057709,Control IgG,other,basophil_mast_candidate,3
GSM9057709,Control IgG,other,cardiac_muscle,2
GSM9057709,Control IgG,other,cytotoxic_T_cell,73
GSM9057709,Control IgG,other,inflammatory_granulocyte_candidate,8
GSM9057709,Control IgG,other,mesothelial_stromal_ambiguous,5
GSM9057709,Control IgG,other,mural_pericyte,23
GSM9057709,Control IgG,other,neutrophil,196
GSM9057709,Control IgG,other,pDC_candidate,6
GSM9057709,Control IgG,other,plasma_cell,14
GSM9057709,Control IgG,other,smooth_muscle,43
GSM9057709,Control IgG,unassigned,mixed_myeloid_B,7
GSM9057712,Control IgG,airway,neuroendocrine_candidate,7
GSM9057712,Control IgG,airway,secretory_airway,21
GSM9057712,Control IgG,alveolar,AT1_like,38
GSM9057712,Control IgG,alveolar,mixed_AT2_AT1_alveolar,28
GSM9057712,Control IgG,endothelial,capillary_endothelial,37
GSM9057712,Control IgG,endothelial,vascular_endothelial,59
GSM9057712,Control IgG,fibroblast,fibroblast_Gsn,93
GSM9057712,Control IgG,fibroblast,fibroblast_Itga8,146
GSM9057712,Control IgG,fibroblast,fibroblast_Pi16,179
GSM9057712,Control IgG,myeloid,CSF1R_myeloid,354
GSM9057712,Control IgG,myeloid,inflammatory_CSF1R_CSF3R_myeloid,95
GSM9057712,Control IgG,myeloid,macrophage_candidate,1
GSM9057712,Control IgG,other,APC_ambiguous,56
GSM9057712,Control IgG,other,B_cell,696
GSM9057712,Control IgG,other,NK_cell,158
GSM9057712,Control IgG,other,T_cell,562
GSM9057712,Control IgG,other,basophil_mast_candidate,12
GSM9057712,Control IgG,other,cardiac_muscle,1
GSM9057712,Control IgG,other,cytotoxic_T_cell,140
