gsm,config,source,target
GSM9057709,all_cells_primary,AT1_like,fibroblast_Gsn
GSM9057709,all_cells_primary,CSF1R_myeloid,AT1_like
GSM9057709,all_cells_primary,CSF1R_myeloid,fibroblast_Gsn
GSM9057709,all_cells_primary,CSF1R_myeloid,mixed_AT2_AT1_alveolar
GSM9057709,all_cells_primary,fibroblast_Gsn,AT1_like
GSM9057709,all_cells_primary,fibroblast_Gsn,CSF1R_myeloid
GSM9057709,all_cells_primary,fibroblast_Gsn,mixed_AT2_AT1_alveolar
GSM9057709,all_cells_primary,mixed_AT2_AT1_alveolar,fibroblast_Gsn
GSM9057709,cap500_seed1,AT1_like,fibroblast_Gsn
GSM9057709,cap500_seed1,CSF1R_myeloid,AT1_like
GSM9057709,cap500_seed1,CSF1R_myeloid,fibroblast_Gsn
GSM9057709,cap500_seed1,CSF1R_myeloid,mixed_AT2_AT1_alveolar
GSM9057709,cap500_seed1,fibroblast_Gsn,AT1_like
GSM9057709,cap500_seed1,fibroblast_Gsn,CSF1R_myeloid
GSM9057709,cap500_seed1,fibroblast_Gsn,mixed_AT2_AT1_alveolar
GSM9057709,cap500_seed1,mixed_AT2_AT1_alveolar,fibroblast_Gsn
GSM9057709,cap500_seed2,AT1_like,fibroblast_Gsn
GSM9057709,cap500_seed2,CSF1R_myeloid,AT1_like
GSM9057709,cap500_seed2,CSF1R_myeloid,fibroblast_Gsn
GSM9057709,cap500_seed2,CSF1R_myeloid,mixed_AT2_AT1_alveolar
GSM9057709,cap500_seed2,fibroblast_Gsn,AT1_like
GSM9057709,cap500_seed2,fibroblast_Gsn,CSF1R_myeloid
GSM9057709,cap500_seed2,fibroblast_Gsn,mixed_AT2_AT1_alveolar
GSM9057709,cap500_seed2,mixed_AT2_AT1_alveolar,fibroblast_Gsn
GSM9057709,floor30,AT1_like,fibroblast_Gsn
GSM9057709,floor30,CSF1R_myeloid,AT1_like
GSM9057709,floor30,CSF1R_myeloid,fibroblast_Gsn
GSM9057709,floor30,CSF1R_myeloid,mixed_AT2_AT1_alveolar
GSM9057709,floor30,fibroblast_Gsn,AT1_like
GSM9057709,floor30,fibroblast_Gsn,CSF1R_myeloid
GSM9057709,floor30,fibroblast_Gsn,mixed_AT2_AT1_alveolar
GSM9057709,floor30,mixed_AT2_AT1_alveolar,fibroblast_Gsn
GSM9057709,expression005,AT1_like,fibroblast_Gsn
GSM9057709,expression005,CSF1R_myeloid,AT1_like
GSM9057709,expression005,CSF1R_myeloid,fibroblast_Gsn
GSM9057709,expression005,CSF1R_myeloid,mixed_AT2_AT1_alveolar
GSM9057709,expression005,fibroblast_Gsn,AT1_like
GSM9057709,expression005,fibroblast_Gsn,CSF1R_myeloid
GSM9057709,expression005,fibroblast_Gsn,mixed_AT2_AT1_alveolar
GSM9057709,expression005,mixed_AT2_AT1_alveolar,fibroblast_Gsn
GSM9057709,expression020,AT1_like,fibroblast_Gsn
GSM9057709,expression020,CSF1R_myeloid,AT1_like
GSM9057709,expression020,CSF1R_myeloid,fibroblast_Gsn
GSM9057709,expression020,CSF1R_myeloid,mixed_AT2_AT1_alveolar
GSM9057709,expression020,fibroblast_Gsn,AT1_like
GSM9057709,expression020,fibroblast_Gsn,CSF1R_myeloid
