resource,ligand,receptor,human_ligand,human_receptor,family
consensus,Wnt10b,Fzd9_Lrp5,WNT10B,FZD9_LRP5,exploratory
consensus,Wnt10b,Fzd9_Lrp6,WNT10B,FZD9_LRP6,exploratory
consensus,Wnt10b,Fzd6_Lrp5,WNT10B,FZD6_LRP5,exploratory
consensus,Wnt10b,Fzd6_Lrp6,WNT10B,FZD6_LRP6,exploratory
consensus,Wnt10b,Fzd7_Lrp5,WNT10B,FZD7_LRP5,exploratory
consensus,Wnt10b,Fzd7_Lrp6,WNT10B,FZD7_LRP6,exploratory
consensus,Wnt10b,Fzd5_Lrp5,WNT10B,FZD5_LRP5,exploratory
consensus,Wnt10b,Fzd2_Lrp5,WNT10B,FZD2_LRP5,exploratory
consensus,Wnt10b,Fzd8_Lrp5,WNT10B,FZD8_LRP5,exploratory
consensus,Wnt10b,Fzd3_Lrp5,WNT10B,FZD3_LRP5,exploratory
consensus,Wnt10b,Fzd4_Lrp5,WNT10B,FZD4_LRP5,exploratory
consensus,Wnt10b,Fzd10_Lrp5,WNT10B,FZD10_LRP5,exploratory
consensus,Wnt10b,Fzd1_Lrp5,WNT10B,FZD1_LRP5,exploratory
consensus,Wnt10b,Fzd5_Lrp6,WNT10B,FZD5_LRP6,exploratory
consensus,Wnt10b,Fzd2_Lrp6,WNT10B,FZD2_LRP6,exploratory
consensus,Wnt10b,Fzd8_Lrp6,WNT10B,FZD8_LRP6,exploratory
consensus,Wnt10b,Fzd3_Lrp6,WNT10B,FZD3_LRP6,exploratory
consensus,Wnt10b,Fzd4_Lrp6,WNT10B,FZD4_LRP6,exploratory
consensus,Wnt10b,Fzd10_Lrp6,WNT10B,FZD10_LRP6,exploratory
consensus,Wnt10b,Fzd1_Lrp6,WNT10B,FZD1_LRP6,exploratory
consensus,Wnt7a,Fzd9_Lrp5,WNT7A,FZD9_LRP5,exploratory
consensus,Wnt7a,Fzd9_Lrp6,WNT7A,FZD9_LRP6,exploratory
consensus,Wnt7a,Fzd6_Lrp5,WNT7A,FZD6_LRP5,exploratory
consensus,Wnt7a,Fzd6_Lrp6,WNT7A,FZD6_LRP6,exploratory
consensus,Wnt7a,Fzd7_Lrp5,WNT7A,FZD7_LRP5,exploratory
consensus,Wnt7a,Fzd7_Lrp6,WNT7A,FZD7_LRP6,exploratory
consensus,Wnt7a,Fzd5_Lrp5,WNT7A,FZD5_LRP5,exploratory
consensus,Wnt7a,Fzd2_Lrp5,WNT7A,FZD2_LRP5,exploratory
consensus,Wnt7a,Fzd8_Lrp5,WNT7A,FZD8_LRP5,exploratory
