resource,ligand,receptor
consensus,WNT10B,FZD9_LRP5
consensus,WNT10B,FZD9_LRP6
consensus,WNT10B,FZD6_LRP5
consensus,WNT10B,FZD6_LRP6
consensus,WNT10B,FZD7_LRP5
consensus,WNT10B,FZD7_LRP6
consensus,WNT10B,FZD5_LRP5
consensus,WNT10B,FZD2_LRP5
consensus,WNT10B,FZD8_LRP5
consensus,WNT10B,FZD3_LRP5
consensus,WNT10B,FZD4_LRP5
consensus,WNT10B,FZD10_LRP5
consensus,WNT10B,FZD1_LRP5
consensus,WNT10B,FZD5_LRP6
consensus,WNT10B,FZD2_LRP6
consensus,WNT10B,FZD8_LRP6
consensus,WNT10B,FZD3_LRP6
consensus,WNT10B,FZD4_LRP6
consensus,WNT10B,FZD10_LRP6
consensus,WNT10B,FZD1_LRP6
consensus,WNT7A,FZD9_LRP5
consensus,WNT7A,FZD9_LRP6
consensus,WNT7A,FZD6_LRP5
consensus,WNT7A,FZD6_LRP6
consensus,WNT7A,FZD7_LRP5
consensus,WNT7A,FZD7_LRP6
consensus,WNT7A,FZD5_LRP5
consensus,WNT7A,FZD2_LRP5
consensus,WNT7A,FZD8_LRP5
consensus,WNT7A,FZD3_LRP5
consensus,WNT7A,FZD4_LRP5
consensus,WNT7A,FZD10_LRP5
consensus,WNT7A,FZD1_LRP5
consensus,WNT7A,FZD5_LRP6
consensus,WNT7A,FZD2_LRP6
consensus,WNT7A,FZD8_LRP6
consensus,WNT7A,FZD3_LRP6
consensus,WNT7A,FZD4_LRP6
consensus,WNT7A,FZD10_LRP6
consensus,WNT7A,FZD1_LRP6
consensus,WNT7A,RECK
consensus,WNT7A,LDLR
consensus,WNT9A,FZD9_LRP5
consensus,WNT9A,FZD9_LRP6
consensus,WNT9A,FZD6_LRP5
consensus,WNT9A,FZD6_LRP6
consensus,WNT9A,FZD7_LRP5
consensus,WNT9A,FZD7_LRP6
consensus,WNT9A,FZD5_LRP5
consensus,WNT9A,FZD2_LRP5
consensus,WNT9A,FZD8_LRP5
consensus,WNT9A,FZD3_LRP5
consensus,WNT9A,FZD4_LRP5
consensus,WNT9A,FZD10_LRP5
consensus,WNT9A,FZD1_LRP5
consensus,WNT9A,FZD5_LRP6
consensus,WNT9A,FZD2_LRP6
consensus,WNT9A,FZD8_LRP6
consensus,WNT9A,FZD3_LRP6
consensus,WNT9A,FZD4_LRP6
consensus,WNT9A,FZD10_LRP6
consensus,WNT9A,FZD1_LRP6
consensus,WNT9B,FZD9_LRP5
consensus,WNT9B,FZD9_LRP6
consensus,WNT9B,FZD6_LRP5
consensus,WNT9B,FZD6_LRP6
consensus,WNT9B,FZD7_LRP5
