config,histology,comp,observed_markers,marker_detections,markers_detected_in_at_least_10_percent
unc20_pooled,AAH,AT2,3,EPCAM:0.596;SFTPC:0.998;ABCA3:0.929,3
unc20_pooled,AAH,fibroblasts,4,COL1A1:0.866;DCN:0.950;LUM:0.874;PDGFRA:0.582,4
unc20_pooled,AAH,macrophages,5,TYROBP:0.942;C1QA:0.963;C1QB:0.962;CD68:0.962;CSF1R:0.835,5
unc20_pooled,AIS,AT2,3,EPCAM:0.515;SFTPC:0.986;ABCA3:0.917,3
unc20_pooled,AIS,fibroblasts,4,COL1A1:0.809;DCN:0.907;LUM:0.811;PDGFRA:0.579,4
unc20_pooled,AIS,macrophages,5,TYROBP:0.913;C1QA:0.927;C1QB:0.925;CD68:0.971;CSF1R:0.764,5
unc20_pooled,LUAD,AT2,3,EPCAM:0.620;SFTPC:0.932;ABCA3:0.872,3
unc20_pooled,LUAD,fibroblasts,4,COL1A1:0.893;DCN:0.931;LUM:0.880;PDGFRA:0.569,4
unc20_pooled,LUAD,macrophages,5,TYROBP:0.928;C1QA:0.967;C1QB:0.954;CD68:0.970;CSF1R:0.808,5
unc20_pooled,MIA,AT2,3,EPCAM:0.577;SFTPC:0.987;ABCA3:0.877,3
unc20_pooled,MIA,fibroblasts,4,COL1A1:0.853;DCN:0.829;LUM:0.739;PDGFRA:0.474,4
unc20_pooled,MIA,macrophages,5,TYROBP:0.901;C1QA:0.960;C1QB:0.939;CD68:0.937;CSF1R:0.742,5
unc20_pooled,normal,AT2,3,EPCAM:0.486;SFTPC:0.998;ABCA3:0.929,3
unc20_pooled,normal,fibroblasts,4,COL1A1:0.833;DCN:0.865;LUM:0.760;PDGFRA:0.529,4
unc20_pooled,normal,macrophages,5,TYROBP:0.945;C1QA:0.970;C1QB:0.968;CD68:0.974;CSF1R:0.769,5
unc30_pooled,AAH,AT2,3,EPCAM:0.595;SFTPC:0.997;ABCA3:0.917,3
unc30_pooled,AAH,fibroblasts,4,COL1A1:0.868;DCN:0.945;LUM:0.865;PDGFRA:0.569,4
unc30_pooled,AAH,macrophages,5,TYROBP:0.920;C1QA:0.950;C1QB:0.953;CD68:0.946;CSF1R:0.817,5
unc30_pooled,AIS,AT2,3,EPCAM:0.520;SFTPC:0.984;ABCA3:0.901,3
unc30_pooled,AIS,fibroblasts,4,COL1A1:0.812;DCN:0.903;LUM:0.806;PDGFRA:0.568,4
unc30_pooled,AIS,macrophages,5,TYROBP:0.886;C1QA:0.899;C1QB:0.900;CD68:0.960;CSF1R:0.731,5
unc30_pooled,LUAD,AT2,3,EPCAM:0.633;SFTPC:0.914;ABCA3:0.840,3
unc30_pooled,LUAD,fibroblasts,4,COL1A1:0.904;DCN:0.929;LUM:0.882;PDGFRA:0.556,4
unc30_pooled,LUAD,macrophages,5,TYROBP:0.908;C1QA:0.953;C1QB:0.940;CD68:0.960;CSF1R:0.796,5
unc30_pooled,MIA,AT2,3,EPCAM:0.601;SFTPC:0.982;ABCA3:0.863,3
unc30_pooled,MIA,fibroblasts,4,COL1A1:0.859;DCN:0.821;LUM:0.729;PDGFRA:0.475,4
unc30_pooled,MIA,macrophages,5,TYROBP:0.868;C1QA:0.940;C1QB:0.923;CD68:0.926;CSF1R:0.735,5
unc30_pooled,normal,AT2,3,EPCAM:0.485;SFTPC:0.997;ABCA3:0.916,3
unc30_pooled,normal,fibroblasts,4,COL1A1:0.837;DCN:0.866;LUM:0.758;PDGFRA:0.518,4
unc30_pooled,normal,macrophages,5,TYROBP:0.921;C1QA:0.955;C1QB:0.950;CD68:0.960;CSF1R:0.756,5
