config,histology,comp,label,gene,patients,cells,detection_fraction,pseudobulk_CPM
unc20_pooled,AAH,AT2,AT2,EPCAM,8,8456,0.5949621570482497,367.6584838968391
unc20_pooled,AAH,AT2,AT2,KRT8,8,8456,0.6442762535477767,824.5483537072945
unc20_pooled,AAH,AT2,AT2,SFTPC,8,8456,0.9976348155156102,83530.952957693
unc20_pooled,AAH,AT2,AT2,SFTPA1,8,8456,0.9969252601702933,23853.59398627405
unc20_pooled,AAH,AT2,AT2,ABCA3,8,8456,0.9292809839167455,1835.5198850000322
unc20_pooled,AAH,AT2,AT2,AGER,8,8456,0.5836092715231788,350.90421109376774
unc20_pooled,AAH,AT2,AT2,HOPX,8,8456,0.7028145695364238,590.8900334069995
unc20_pooled,AAH,AT2,AT2,SCGB1A1,8,8456,0.17254020813623464,47.62635923715704
unc20_pooled,AAH,AT2,AT2,FOXJ1,8,8456,0.02921002838221381,4.932730063848408
unc20_pooled,AAH,AT2,AT2,PTPRC,8,8456,0.033112582781456956,5.936285490631359
unc20_pooled,AAH,AT2,AT2,LST1,8,8456,0.04470198675496689,8.147509312356506
unc20_pooled,AAH,AT2,AT2,TYROBP,8,8456,0.14333017975402082,32.862187873638355
unc20_pooled,AAH,AT2,AT2,C1QA,8,8456,0.20305108798486282,49.03814060025848
unc20_pooled,AAH,AT2,AT2,C1QB,8,8456,0.1772705771050142,42.795685657388255
unc20_pooled,AAH,AT2,AT2,CD68,8,8456,0.2562677388836329,64.1254908300293
unc20_pooled,AAH,AT2,AT2,CSF1R,8,8456,0.057355723746452224,13.964728904894974
unc20_pooled,AAH,AT2,AT2,PPARG,8,8456,0.05806527909176916,12.195749847514856
unc20_pooled,AAH,AT2,AT2,FABP4,8,8456,0.03642384105960265,10.52882727421436
unc20_pooled,AAH,AT2,AT2,COL1A1,8,8456,0.3552507095553453,126.9922850230766
unc20_pooled,AAH,AT2,AT2,COL1A2,8,8456,0.28169347209082307,88.9252164613775
unc20_pooled,AAH,AT2,AT2,COL3A1,8,8456,0.21937086092715233,68.90513616775827
unc20_pooled,AAH,AT2,AT2,DCN,8,8456,0.3577341532639546,129.7308006792131
unc20_pooled,AAH,AT2,AT2,LUM,8,8456,0.23403500473036898,69.2963526900635
unc20_pooled,AAH,AT2,AT2,PDGFRA,8,8456,0.03736991485335856,7.0589068155072034
unc20_pooled,AAH,AT2,AT2,PI16,8,8456,0.008396404919583728,1.5818755032341445
unc20_pooled,AAH,AT2,AT2,ACTA2,8,8456,0.1521996215704825,33.91677154246112
unc20_pooled,AAH,AT2,AT2,TAGLN,8,8456,0.34318826868495744,105.37331981220994
unc20_pooled,AAH,AT2,AT2,MYH11,8,8456,0.09697256385998108,20.58139095605715
unc20_pooled,AAH,AT2,AT2,PECAM1,8,8456,0.2891438032166509,80.18237765855653
unc20_pooled,AAH,AT2,AT2,VWF,8,8456,0.10371333964049195,26.211506994449643
unc20_pooled,AAH,AT2,AT2,MKI67,8,8456,0.011352885525070956,2.4493556179109333
unc20_pooled,AAH,AT2,AT2,CLDN4,8,8456,0.6095080416272469,358.74555095388536
unc20_pooled,AAH,AT2,AT2,KRT17,8,8456,0.009578997161778619,6.2084361148436855
unc20_pooled,AAH,AT2,AT2 proliferating,EPCAM,4,20,0.9,491.88106894436544
unc20_pooled,AAH,AT2,AT2 proliferating,KRT8,4,20,1.0,937.4674490469081
unc20_pooled,AAH,AT2,AT2 proliferating,SFTPC,4,20,1.0,52208.83534136546
unc20_pooled,AAH,AT2,AT2 proliferating,SFTPA1,4,20,1.0,11070.217469300835
unc20_pooled,AAH,AT2,AT2 proliferating,ABCA3,4,20,0.75,509.2415772600488
unc20_pooled,AAH,AT2,AT2 proliferating,AGER,4,20,0.9,584.4704466280107
unc20_pooled,AAH,AT2,AT2 proliferating,HOPX,4,20,0.85,520.8152494705045
unc20_pooled,AAH,AT2,AT2 proliferating,SCGB1A1,4,20,0.25,46.29468884182262
unc20_pooled,AAH,AT2,AT2 proliferating,FOXJ1,4,20,0.05,11.573672210455655
unc20_pooled,AAH,AT2,AT2 proliferating,PTPRC,4,20,0.15,17.360508315683482
