comp,label,case,reference,direction,scope,ligand,primary_pearson,primary_rank,planned_omissions,eligible_omissions,complete_omission_coverage,min_rank,max_rank,minimum_pearson,maximum_pearson
AT2,AT2,AIS,normal,up,focused_triad,CXCL12,0.0122086246451156,10.0,12,5,False,9.0,11.0,0.0102186970500003,0.0276094883397407
AT2,AT2,AIS,normal,up,focused_triad,CXCL2,0.0144358659245902,9.0,12,5,False,7.0,9.0,0.0117303906629797,0.0333667592703735
AT2,AT2,AIS,normal,up,focused_triad,FGF7,0.0160954275201006,8.0,12,5,False,2.0,10.0,0.0095754500617775,0.0490513268323007
AT2,AT2,AIS,normal,up,focused_triad,HBEGF,0.0252152084545778,7.0,12,5,False,2.0,8.0,0.0239993905309894,0.0327519111266411
AT2,AT2,AIS,normal,up,focused_triad,TGFB1,0.0252167910398236,6.0,12,5,False,1.0,7.0,0.0216446116925878,0.0562001839721368
AT2,AT2,AIS,normal,up,focused_triad,VEGFA,0.0099384731403452,11.0,12,5,False,8.0,11.0,0.0008444207128747,0.0191253358213207
AT2,AT2,AIS,normal,up,focused_triad,WNT10B,0.0329534973188313,4.0,12,5,False,4.0,6.0,0.0219752578177689,0.0438946294701621
AT2,AT2,AIS,normal,up,focused_triad,WNT11,0.0331584004854101,3.0,12,5,False,4.0,7.0,0.0214686100749568,0.043930706819904
AT2,AT2,AIS,normal,up,focused_triad,WNT2,0.0350811662733522,2.0,12,5,False,1.0,3.0,0.0254829429507177,0.048223752619419
AT2,AT2,AIS,normal,up,focused_triad,WNT2B,0.0317058560676555,5.0,12,5,False,3.0,7.0,0.0215415560819736,0.0440504358794724
AT2,AT2,AIS,normal,up,focused_triad,WNT5A,0.0387800556965084,1.0,12,4,False,1.0,4.0,0.028423618977272,0.0559784581106659
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,AREG,0.0268228158720497,12.0,12,5,False,1.0,12.0,0.0267860491520052,0.0531501124556198
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,CXCL12,0.0122086246451156,18.0,12,5,False,17.0,18.0,0.0102186970500003,0.0276094883397407
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,CXCL2,0.0144358659245902,17.0,12,5,False,15.0,16.0,0.0117303906629797,0.0333667592703735
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,FGF7,0.0160954275201006,16.0,12,5,False,3.0,18.0,0.0095754500617775,0.0490513268323007
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,HBEGF,0.0252152084545778,14.0,12,5,False,2.0,17.0,0.0239993905309894,0.0327519111266411
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,TGFB1,0.0252167910398236,13.0,12,5,False,1.0,15.0,0.0216446116925878,0.0562001839721368
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,VEGFA,0.0099384731403452,19.0,12,5,False,15.0,19.0,0.0008444207128747,0.0191253358213207
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,WNT10A,0.0348133554571089,5.0,12,5,False,4.0,8.0,0.022716888447159,0.0463644072235684
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,WNT10B,0.0329534973188313,8.0,12,5,False,9.0,12.0,0.0219752578177689,0.0438946294701621
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,WNT11,0.0331584004854101,7.0,12,5,False,9.0,13.0,0.0214686100749568,0.043930706819904
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,WNT2,0.0350811662733522,3.0,12,5,False,1.0,7.0,0.0254829429507177,0.048223752619419
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,WNT2B,0.0317058560676555,10.0,12,5,False,8.0,14.0,0.0215415560819736,0.0440504358794724
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,WNT3A,0.0212275023655868,15.0,12,5,False,14.0,19.0,0.0124529387773366,0.0339228508361249
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,WNT4,0.0312311561470367,11.0,12,5,False,1.0,14.0,0.0205353053281959,0.0698669978462573
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,WNT5A,0.0387800556965084,1.0,12,5,False,1.0,7.0,0.028423618977272,0.0559784581106659
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,WNT5B,0.0327728554471197,9.0,12,5,False,9.0,12.0,0.0216984284346702,0.0439363451539424
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,WNT7A,0.0355206950818129,2.0,12,5,False,5.0,7.0,0.0238840691448283,0.04585414761377
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,WNT7B,0.0348808457147404,4.0,12,5,False,3.0,6.0,0.0234750014495419,0.0467520465803204
AT2,AT2,AIS,normal,up,source_agnostic_planned_panel,WNT9A,0.0341099965485318,6.0,12,5,False,5.0,9.0,0.0223862230411774,0.0458759489447223
AT2,AT2,LUAD,AAH,down,focused_triad,CXCL12,-0.0139152597350324,6.0,8,8,True,4.0,9.0,-0.0254926429460844,-0.0051228951093546
AT2,AT2,LUAD,AAH,down,focused_triad,CXCL2,-0.0180384466187395,8.0,8,8,True,3.0,8.0,-0.0228877452668445,-0.0028884056319463
AT2,AT2,LUAD,AAH,down,focused_triad,FGF7,-0.007484546255905,4.0,8,8,True,2.0,6.0,-0.0158909436284261,0.0029038607322659
AT2,AT2,LUAD,AAH,down,focused_triad,HBEGF,0.0125821275042383,1.0,8,8,True,1.0,1.0,0.0146250665316527,0.0300132508211154
AT2,AT2,LUAD,AAH,down,focused_triad,TGFB1,-0.0055803313666103,2.0,8,8,True,2.0,6.0,-0.0101823014311151,0.0047237898028546
AT2,AT2,LUAD,AAH,down,focused_triad,VEGFA,-0.0119437120488609,5.0,8,8,True,4.0,8.0,-0.0210386171607217,-7.67022580056314e-06
AT2,AT2,LUAD,AAH,down,focused_triad,WNT11,-0.0169794236474488,7.0,8,5,False,4.0,8.0,-0.0149013937359079,-0.0041341596606563
