"comp","label","case","reference","genes","maximum_q_difference"
"AT2","AT2","AAH","normal",12249,5.55111512312578e-16
"AT2","AT2","AIS","normal",12679,5.55111512312578e-16
"AT2","AT2","MIA","normal",11422,5.55111512312578e-16
"AT2","AT2","LUAD","normal",13329,5.55111512312578e-16
"AT2","AT2","LUAD","AAH",12844,5.55111512312578e-16
"AT2","AT2","LUAD","AIS",13047,5.55111512312578e-16
"AT2","AT2","LUAD","MIA",12024,5.55111512312578e-16
"AT2","__broad__","AAH","normal",12269,5.55111512312578e-16
"AT2","__broad__","AIS","normal",12705,5.55111512312578e-16
"AT2","__broad__","MIA","normal",11425,5.55111512312578e-16
"AT2","__broad__","LUAD","normal",13388,5.55111512312578e-16
"AT2","__broad__","LUAD","AAH",12906,5.55111512312578e-16
"AT2","__broad__","LUAD","AIS",13105,5.55111512312578e-16
"AT2","__broad__","LUAD","MIA",12050,5.55111512312578e-16
"fibroblasts","Adventitial fibroblasts","LUAD","AIS",8722,5.55111512312578e-16
"fibroblasts","Alveolar fibroblasts","AAH","normal",12110,5.55111512312578e-16
"fibroblasts","Alveolar fibroblasts","AIS","normal",11920,5.55111512312578e-16
"fibroblasts","Alveolar fibroblasts","MIA","normal",9635,5.55111512312578e-16
"fibroblasts","Alveolar fibroblasts","LUAD","normal",12294,5.55111512312578e-16
"fibroblasts","Alveolar fibroblasts","LUAD","AAH",12327,5.55111512312578e-16
"fibroblasts","Alveolar fibroblasts","LUAD","AIS",11558,5.55111512312578e-16
"fibroblasts","Alveolar fibroblasts","LUAD","MIA",10819,5.55111512312578e-16
"fibroblasts","__broad__","AAH","normal",12187,5.55111512312578e-16
"fibroblasts","__broad__","AIS","normal",11942,5.55111512312578e-16
"fibroblasts","__broad__","MIA","normal",9731,5.55111512312578e-16
"fibroblasts","__broad__","LUAD","normal",13153,5.55111512312578e-16
"fibroblasts","__broad__","LUAD","AAH",13234,5.55111512312578e-16
"fibroblasts","__broad__","LUAD","AIS",11964,5.55111512312578e-16
"fibroblasts","__broad__","LUAD","MIA",11378,5.55111512312578e-16
"macrophages","Alveolar macrophages","AAH","normal",11273,5.55111512312578e-16
"macrophages","Alveolar macrophages","AIS","normal",10743,5.55111512312578e-16
"macrophages","Alveolar macrophages","LUAD","normal",11471,5.55111512312578e-16
"macrophages","Alveolar macrophages","LUAD","AAH",11349,5.55111512312578e-16
"macrophages","Alveolar macrophages","LUAD","AIS",11304,5.55111512312578e-16
"macrophages","__broad__","AAH","normal",10182,5.55111512312578e-16
"macrophages","__broad__","AIS","normal",11101,5.55111512312578e-16
"macrophages","__broad__","LUAD","normal",11669,5.55111512312578e-16
"macrophages","__broad__","LUAD","AAH",11295,5.55111512312578e-16
"macrophages","__broad__","LUAD","AIS",11805,5.55111512312578e-16
"macrophages","__broad__","LUAD","MIA",9390,5.55111512312578e-16
