"comp","label","case","reference","direction","gene"
"AT2","AT2","AAH","normal","up","CEACAM5"
"AT2","AT2","AAH","normal","down","SLC30A8"
"AT2","AT2","AAH","normal","down","IGHD"
"AT2","AT2","AIS","normal","up","MFSD4A"
"AT2","AT2","AIS","normal","up","SLC30A1"
"AT2","AT2","AIS","normal","up","STEAP3"
"AT2","AT2","AIS","normal","up","HOXD1"
"AT2","AT2","AIS","normal","up","METTL21A"
"AT2","AT2","AIS","normal","up","CHL1"
"AT2","AT2","AIS","normal","up","PLEKHG4B"
"AT2","AT2","AIS","normal","up","CD24"
"AT2","AT2","AIS","normal","up","LY6E"
"AT2","AT2","AIS","normal","up","GOLM1"
"AT2","AT2","AIS","normal","up","HABP2"
"AT2","AT2","AIS","normal","up","TALDO1"
"AT2","AT2","AIS","normal","up","CTSD"
"AT2","AT2","AIS","normal","up","METTL7B"
"AT2","AT2","AIS","normal","up","SLC16A7"
"AT2","AT2","AIS","normal","up","SPINT1"
"AT2","AT2","AIS","normal","up","TMED3"
"AT2","AT2","AIS","normal","up","CRYM"
"AT2","AT2","AIS","normal","up","ADGRG1"
"AT2","AT2","AIS","normal","up","NQO1"
"AT2","AT2","AIS","normal","up","GGT6"
"AT2","AT2","AIS","normal","up","ETV4"
"AT2","AT2","AIS","normal","up","ABCC3"
"AT2","AT2","AIS","normal","up","NME2"
"AT2","AT2","AIS","normal","up","GDF15"
"AT2","AT2","AIS","normal","up","CRLF1"
"AT2","AT2","AIS","normal","up","CEACAM6"
"AT2","AT2","AIS","normal","up","CBR1"
"AT2","AT2","AIS","normal","up","KDELR3"
"AT2","AT2","AIS","normal","up","ATP6AP2"
"AT2","AT2","AIS","normal","down","A3GALT2"
"AT2","AT2","AIS","normal","down","DNAH7"
"AT2","AT2","AIS","normal","down","CCDC50"
"AT2","AT2","AIS","normal","down","BNC2"
"AT2","AT2","AIS","normal","down","SYNDIG1L"
"AT2","AT2","AIS","normal","down","SYNE3"
"AT2","AT2","MIA","normal","up","ISG15"
"AT2","AT2","MIA","normal","up","FNDC10"
"AT2","AT2","MIA","normal","up","ICMT"
"AT2","AT2","MIA","normal","up","PDPN"
"AT2","AT2","MIA","normal","up","IFI6"
"AT2","AT2","MIA","normal","up","SMPDL3B"
"AT2","AT2","MIA","normal","up","SESN2"
"AT2","AT2","MIA","normal","up","SERINC2"
"AT2","AT2","MIA","normal","up","GNG12"
"AT2","AT2","MIA","normal","up","IFI44L"
"AT2","AT2","MIA","normal","up","GPSM2"
"AT2","AT2","MIA","normal","up","GSTM3"
"AT2","AT2","MIA","normal","up","KCNA3"
"AT2","AT2","MIA","normal","up","LAMTOR2"
"AT2","AT2","MIA","normal","up","CRABP2"
"AT2","AT2","MIA","normal","up","PHLDA3"
"AT2","AT2","MIA","normal","up","NENF"
"AT2","AT2","MIA","normal","up","IARS2"
"AT2","AT2","MIA","normal","up","SDC1"
"AT2","AT2","MIA","normal","up","TMSB10"
"AT2","AT2","MIA","normal","up","VAMP8"
"AT2","AT2","MIA","normal","up","DPP4"
"AT2","AT2","MIA","normal","up","STK39"
"AT2","AT2","MIA","normal","up","HOXD4"
"AT2","AT2","MIA","normal","up","ABCB6"
"AT2","AT2","MIA","normal","up","DOCK10"
"AT2","AT2","MIA","normal","up","CCL20"
"AT2","AT2","MIA","normal","up","ITM2C"
"AT2","AT2","MIA","normal","up","KLHDC8B"
"AT2","AT2","MIA","normal","up","WNT5A"
"AT2","AT2","MIA","normal","up","PODXL2"
"AT2","AT2","MIA","normal","up","APOD"
"AT2","AT2","MIA","normal","up","BLOC1S4"
"AT2","AT2","MIA","normal","up","PROM1"
"AT2","AT2","MIA","normal","up","OCIAD2"
"AT2","AT2","MIA","normal","up","HPGD"
"AT2","AT2","MIA","normal","up","RHOBTB3"
"AT2","AT2","MIA","normal","up","SPINK1"
"AT2","AT2","MIA","normal","up","SOX4"
"AT2","AT2","MIA","normal","up","ZSCAN31"
"AT2","AT2","MIA","normal","up","AGPAT1"
"AT2","AT2","MIA","normal","up","NT5E"
"AT2","AT2","MIA","normal","up","CD24"
"AT2","AT2","MIA","normal","up","ACHE"
"AT2","AT2","MIA","normal","up","MUC3A"
"AT2","AT2","MIA","normal","up","HILPDA"
"AT2","AT2","MIA","normal","up","TRAM1"
"AT2","AT2","MIA","normal","up","RRM2B"
"AT2","AT2","MIA","normal","up","GCNT1"
"AT2","AT2","MIA","normal","up","GNA14"
"AT2","AT2","MIA","normal","up","GOLM1"
"AT2","AT2","MIA","normal","up","NINJ1"
"AT2","AT2","MIA","normal","up","BRD3OS"
"AT2","AT2","MIA","normal","up","CAMK1D"
"AT2","AT2","MIA","normal","up","ADAM8"
"AT2","AT2","MIA","normal","up","LGR4"
"AT2","AT2","MIA","normal","up","MDK"
"AT2","AT2","MIA","normal","up","RTN4RL2"
"AT2","AT2","MIA","normal","up","MS4A15"
"AT2","AT2","MIA","normal","up","TMEM132A"
"AT2","AT2","MIA","normal","up","SPTBN2"
"AT2","AT2","MIA","normal","up","TMPRSS4"
"AT2","AT2","MIA","normal","up","TMEM45B"
"AT2","AT2","MIA","normal","up","GLB1L3"
"AT2","AT2","MIA","normal","up","KRT80"
"AT2","AT2","MIA","normal","up","SLC16A7"
"AT2","AT2","MIA","normal","up","PHLDA1"
"AT2","AT2","MIA","normal","up","MMP17"
"AT2","AT2","MIA","normal","up","SALL2"
"AT2","AT2","MIA","normal","up","SIX1"
"AT2","AT2","MIA","normal","up","ZFP36L1"
"AT2","AT2","MIA","normal","up","IFI27"
"AT2","AT2","MIA","normal","up","PDIA3"
"AT2","AT2","MIA","normal","up","ANPEP"
"AT2","AT2","MIA","normal","up","RGMA"
"AT2","AT2","MIA","normal","up","CRYM"
"AT2","AT2","MIA","normal","up","GPT2"
"AT2","AT2","MIA","normal","up","CX3CL1"
"AT2","AT2","MIA","normal","up","HSD11B2"
"AT2","AT2","MIA","normal","up","NQO1"
"AT2","AT2","MIA","normal","up","KRT17"
"AT2","AT2","MIA","normal","up","GHDC"
"AT2","AT2","MIA","normal","up","ETV4"
"AT2","AT2","MIA","normal","up","GRN"
"AT2","AT2","MIA","normal","up","COL1A1"
"AT2","AT2","MIA","normal","up","ABCC3"
"AT2","AT2","MIA","normal","up","NME1"
"AT2","AT2","MIA","normal","up","SCPEP1"
"AT2","AT2","MIA","normal","up","ITGB4"
"AT2","AT2","MIA","normal","up","FOXJ1"
"AT2","AT2","MIA","normal","up","LGALS3BP"
"AT2","AT2","MIA","normal","up","PYCR1"
"AT2","AT2","MIA","normal","up","TTC39C"
"AT2","AT2","MIA","normal","up","SLC39A6"
"AT2","AT2","MIA","normal","up","PLPP2"
"AT2","AT2","MIA","normal","up","SLC7A10"
"AT2","AT2","MIA","normal","up","CEACAM5"
"AT2","AT2","MIA","normal","up","CEACAM6"
"AT2","AT2","MIA","normal","up","CEACAM1"
"AT2","AT2","MIA","normal","up","ZNF552"
"AT2","AT2","MIA","normal","up","ARHGAP40"
"AT2","AT2","MIA","normal","up","ZNF217"
"AT2","AT2","MIA","normal","up","APP"
"AT2","AT2","MIA","normal","up","SOD1"
"AT2","AT2","MIA","normal","up","RCAN1"
"AT2","AT2","MIA","normal","up","CLIC6"
"AT2","AT2","MIA","normal","up","CBR1"
"AT2","AT2","MIA","normal","up","MX2"
"AT2","AT2","MIA","normal","up","MX1"
"AT2","AT2","MIA","normal","up","ABCG1"
"AT2","AT2","MIA","normal","up","COL18A1"
"AT2","AT2","MIA","normal","up","GGT5"
"AT2","AT2","MIA","normal","up","PNPLA4"
"AT2","AT2","MIA","normal","up","TIMP1"
"AT2","AT2","MIA","normal","up","PCSK1N"
"AT2","AT2","MIA","normal","up","HS6ST2"
"AT2","AT2","MIA","normal","up","LDOC1"
"AT2","AT2","MIA","normal","up","PLXNA3"
"AT2","AT2","MIA","normal","down","SLC5A9"
"AT2","AT2","MIA","normal","down","SPATA1"
"AT2","AT2","MIA","normal","down","SEMA4A"
"AT2","AT2","MIA","normal","down","SEC16B"
"AT2","AT2","MIA","normal","down","RGS16"
"AT2","AT2","MIA","normal","down","SLC26A9"
"AT2","AT2","MIA","normal","down","ODC1"
"AT2","AT2","MIA","normal","down","GKN2"
"AT2","AT2","MIA","normal","down","NCKAP5"
"AT2","AT2","MIA","normal","down","ITGA6"
"AT2","AT2","MIA","normal","down","MAP3K20"
"AT2","AT2","MIA","normal","down","TTN"
"AT2","AT2","MIA","normal","down","CCDC141"
"AT2","AT2","MIA","normal","down","ACADL"
"AT2","AT2","MIA","normal","down","PRLH"
"AT2","AT2","MIA","normal","down","LMCD1"
"AT2","AT2","MIA","normal","down","ZMYND10"
"AT2","AT2","MIA","normal","down","STAB1"
"AT2","AT2","MIA","normal","down","ADAMTS9"
"AT2","AT2","MIA","normal","down","FRMD4B"
"AT2","AT2","MIA","normal","down","ABI3BP"
"AT2","AT2","MIA","normal","down","NFKBIZ"
"AT2","AT2","MIA","normal","down","TIPARP"
"AT2","AT2","MIA","normal","down","CCNL1"
"AT2","AT2","MIA","normal","down","CD38"
"AT2","AT2","MIA","normal","down","TBC1D1"
"AT2","AT2","MIA","normal","down","RASGEF1B"
"AT2","AT2","MIA","normal","down","SNX25"
"AT2","AT2","MIA","normal","down","IRF1"
"AT2","AT2","MIA","normal","down","MUCL3"
"AT2","AT2","MIA","normal","down","DAAM2"
"AT2","AT2","MIA","normal","down","TREM1"
"AT2","AT2","MIA","normal","down","CNR1"
"AT2","AT2","MIA","normal","down","SCIN"
"AT2","AT2","MIA","normal","down","GLI3"
"AT2","AT2","MIA","normal","down","NAMPT"
"AT2","AT2","MIA","normal","down","FOXP2"
"AT2","AT2","MIA","normal","down","STC1"
"AT2","AT2","MIA","normal","down","FABP4"
"AT2","AT2","MIA","normal","down","SLC25A25"
"AT2","AT2","MIA","normal","down","PRKCQ"
"AT2","AT2","MIA","normal","down","SPOCK2"
"AT2","AT2","MIA","normal","down","CYP2C18"
"AT2","AT2","MIA","normal","down","ENTPD1"
"AT2","AT2","MIA","normal","down","BLNK"
"AT2","AT2","MIA","normal","down","TACC2"
"AT2","AT2","MIA","normal","down","C11orf91"
"AT2","AT2","MIA","normal","down","KCNK7"
"AT2","AT2","MIA","normal","down","NOP2"
"AT2","AT2","MIA","normal","down","YBX3"
"AT2","AT2","MIA","normal","down","SOX5"
"AT2","AT2","MIA","normal","down","CAPRIN2"
"AT2","AT2","MIA","normal","down","PTPRB"
"AT2","AT2","MIA","normal","down","SOCS2"
"AT2","AT2","MIA","normal","down","SYCP3"
"AT2","AT2","MIA","normal","down","STX2"
"AT2","AT2","MIA","normal","down","LATS2"
"AT2","AT2","MIA","normal","down","LNX2"
"AT2","AT2","MIA","normal","down","HSPH1"
"AT2","AT2","MIA","normal","down","TBC1D4"
"AT2","AT2","MIA","normal","down","SLAIN1"
"AT2","AT2","MIA","normal","down","HDC"
"AT2","AT2","MIA","normal","down","INSYN1"
"AT2","AT2","MIA","normal","down","AGBL1"
"AT2","AT2","MIA","normal","down","TMEM204"
"AT2","AT2","MIA","normal","down","SNX29"
"AT2","AT2","MIA","normal","down","TMC7"
"AT2","AT2","MIA","normal","down","NR1D1"
"AT2","AT2","MIA","normal","down","MAP3K14"
"AT2","AT2","MIA","normal","down","SOCS3"
"AT2","AT2","MIA","normal","down","DCC"
"AT2","AT2","MIA","normal","down","LDLR"
"AT2","AT2","MIA","normal","down","IQCN"
"AT2","AT2","MIA","normal","down","CCDC9"
"AT2","AT2","MIA","normal","down","ADAM33"
"AT2","AT2","MIA","normal","down","CD93"
"AT2","AT2","MIA","normal","down","CSF2RB"
"AT2","AT2","MIA","normal","down","SCO2"
"AT2","AT2","MIA","normal","down","DIAPH2"
"AT2","AT2","MIA","normal","down","RPA4"
"AT2","AT2","LUAD","normal","up","PLEKHN1"
"AT2","AT2","LUAD","normal","up","HES4"
"AT2","AT2","LUAD","normal","up","ISG15"
"AT2","AT2","LUAD","normal","up","AGRN"
"AT2","AT2","LUAD","normal","up","TNFRSF18"
"AT2","AT2","LUAD","normal","up","SDF4"
"AT2","AT2","LUAD","normal","up","B3GALT6"
"AT2","AT2","LUAD","normal","up","CPTP"
"AT2","AT2","LUAD","normal","up","MXRA8"
"AT2","AT2","LUAD","normal","up","AURKAIP1"
"AT2","AT2","LUAD","normal","up","VWA1"
"AT2","AT2","LUAD","normal","up","GNB1"
"AT2","AT2","LUAD","normal","up","FAAP20"
"AT2","AT2","LUAD","normal","up","RER1"
"AT2","AT2","LUAD","normal","up","PEX10"
"AT2","AT2","LUAD","normal","up","PRXL2B"
"AT2","AT2","LUAD","normal","up","TPRG1L"
"AT2","AT2","LUAD","normal","up","TP73"
"AT2","AT2","LUAD","normal","up","LRRC47"
"AT2","AT2","LUAD","normal","up","ICMT"
"AT2","AT2","LUAD","normal","up","ACOT7"
"AT2","AT2","LUAD","normal","up","TNFRSF25"
"AT2","AT2","LUAD","normal","up","KLHL21"
"AT2","AT2","LUAD","normal","up","VAMP3"
"AT2","AT2","LUAD","normal","up","ENO1"
"AT2","AT2","LUAD","normal","up","SPSB1"
"AT2","AT2","LUAD","normal","up","PIK3CD"
"AT2","AT2","LUAD","normal","up","CLSTN1"
"AT2","AT2","LUAD","normal","up","LZIC"
"AT2","AT2","LUAD","normal","up","PGD"
"AT2","AT2","LUAD","normal","up","CENPS"
