"config","comp","label","cell_floor","case","reference","complete_patients","eligible"
"unc20_pooled","AT2","AT2",50,"AAH","normal",8,TRUE
"unc20_pooled","AT2","AT2",50,"AIS","normal",12,TRUE
"unc20_pooled","AT2","AT2",50,"MIA","normal",4,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","normal",23,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AAH",8,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AIS",12,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","MIA",4,TRUE
"unc20_pooled","AT2","AT2",30,"AAH","normal",8,TRUE
"unc20_pooled","AT2","AT2",30,"AIS","normal",12,TRUE
"unc20_pooled","AT2","AT2",30,"MIA","normal",4,TRUE
"unc20_pooled","AT2","AT2",30,"LUAD","normal",23,TRUE
"unc20_pooled","AT2","AT2",30,"LUAD","AAH",8,TRUE
"unc20_pooled","AT2","AT2",30,"LUAD","AIS",12,TRUE
"unc20_pooled","AT2","AT2",30,"LUAD","MIA",4,TRUE
"unc20_pooled","AT2","AT2",100,"AAH","normal",8,TRUE
"unc20_pooled","AT2","AT2",100,"AIS","normal",11,TRUE
"unc20_pooled","AT2","AT2",100,"MIA","normal",3,TRUE
"unc20_pooled","AT2","AT2",100,"LUAD","normal",22,TRUE
"unc20_pooled","AT2","AT2",100,"LUAD","AAH",8,TRUE
"unc20_pooled","AT2","AT2",100,"LUAD","AIS",11,TRUE
"unc20_pooled","AT2","AT2",100,"LUAD","MIA",4,TRUE
"unc20_pooled","AT2","AT2 proliferating",50,"AAH","normal",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",50,"AIS","normal",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",50,"MIA","normal",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",50,"LUAD","normal",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",50,"LUAD","AAH",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",50,"LUAD","AIS",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",50,"LUAD","MIA",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",30,"AAH","normal",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",30,"AIS","normal",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",30,"MIA","normal",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",30,"LUAD","normal",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",30,"LUAD","AAH",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",30,"LUAD","AIS",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",30,"LUAD","MIA",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",100,"AAH","normal",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",100,"AIS","normal",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",100,"MIA","normal",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",100,"LUAD","normal",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",100,"LUAD","AAH",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",100,"LUAD","AIS",0,FALSE
"unc20_pooled","AT2","AT2 proliferating",100,"LUAD","MIA",0,FALSE
"unc20_pooled","AT2","__broad__",50,"AAH","normal",8,TRUE
"unc20_pooled","AT2","__broad__",50,"AIS","normal",12,TRUE
"unc20_pooled","AT2","__broad__",50,"MIA","normal",4,TRUE
"unc20_pooled","AT2","__broad__",50,"LUAD","normal",23,TRUE
"unc20_pooled","AT2","__broad__",50,"LUAD","AAH",8,TRUE
"unc20_pooled","AT2","__broad__",50,"LUAD","AIS",12,TRUE
"unc20_pooled","AT2","__broad__",50,"LUAD","MIA",4,TRUE
"unc20_pooled","AT2","__broad__",30,"AAH","normal",8,TRUE
"unc20_pooled","AT2","__broad__",30,"AIS","normal",12,TRUE
"unc20_pooled","AT2","__broad__",30,"MIA","normal",4,TRUE
"unc20_pooled","AT2","__broad__",30,"LUAD","normal",23,TRUE
"unc20_pooled","AT2","__broad__",30,"LUAD","AAH",8,TRUE
"unc20_pooled","AT2","__broad__",30,"LUAD","AIS",12,TRUE
"unc20_pooled","AT2","__broad__",30,"LUAD","MIA",4,TRUE
"unc20_pooled","AT2","__broad__",100,"AAH","normal",8,TRUE
"unc20_pooled","AT2","__broad__",100,"AIS","normal",11,TRUE
"unc20_pooled","AT2","__broad__",100,"MIA","normal",3,TRUE
"unc20_pooled","AT2","__broad__",100,"LUAD","normal",22,TRUE
"unc20_pooled","AT2","__broad__",100,"LUAD","AAH",8,TRUE
"unc20_pooled","AT2","__broad__",100,"LUAD","AIS",11,TRUE
"unc20_pooled","AT2","__broad__",100,"LUAD","MIA",4,TRUE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",50,"AAH","normal",1,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",50,"AIS","normal",0,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",50,"MIA","normal",0,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",50,"LUAD","normal",2,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",50,"LUAD","AAH",1,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",50,"LUAD","AIS",3,TRUE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",50,"LUAD","MIA",0,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",30,"AAH","normal",1,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",30,"AIS","normal",3,TRUE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",30,"MIA","normal",0,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",30,"LUAD","normal",4,TRUE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",30,"LUAD","AAH",1,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",30,"LUAD","AIS",4,TRUE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",30,"LUAD","MIA",1,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",100,"AAH","normal",0,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",100,"AIS","normal",0,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",100,"MIA","normal",0,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",100,"LUAD","normal",0,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",100,"LUAD","AAH",0,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",100,"LUAD","AIS",1,FALSE
"unc20_pooled","fibroblasts","Adventitial fibroblasts",100,"LUAD","MIA",0,FALSE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",50,"AAH","normal",8,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",50,"AIS","normal",11,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",50,"MIA","normal",4,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",50,"LUAD","normal",22,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",50,"LUAD","AAH",8,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",50,"LUAD","AIS",11,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",50,"LUAD","MIA",4,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",30,"AAH","normal",8,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",30,"AIS","normal",11,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",30,"MIA","normal",4,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",30,"LUAD","normal",22,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",30,"LUAD","AAH",8,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",30,"LUAD","AIS",11,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",30,"LUAD","MIA",4,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",100,"AAH","normal",8,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",100,"AIS","normal",10,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",100,"MIA","normal",3,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",100,"LUAD","normal",18,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",100,"LUAD","AAH",8,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",100,"LUAD","AIS",9,TRUE
"unc20_pooled","fibroblasts","Alveolar fibroblasts",100,"LUAD","MIA",4,TRUE
"unc20_pooled","fibroblasts","Myofibroblasts",50,"AAH","normal",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",50,"AIS","normal",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",50,"MIA","normal",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",50,"LUAD","normal",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",50,"LUAD","AAH",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",50,"LUAD","AIS",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",50,"LUAD","MIA",1,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",30,"AAH","normal",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",30,"AIS","normal",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",30,"MIA","normal",1,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",30,"LUAD","normal",1,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",30,"LUAD","AAH",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",30,"LUAD","AIS",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",30,"LUAD","MIA",1,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",100,"AAH","normal",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",100,"AIS","normal",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",100,"MIA","normal",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",100,"LUAD","normal",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",100,"LUAD","AAH",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",100,"LUAD","AIS",0,FALSE
"unc20_pooled","fibroblasts","Myofibroblasts",100,"LUAD","MIA",0,FALSE
"unc20_pooled","fibroblasts","Peribronchial fibroblasts",50,"AAH","normal",0,FALSE
"unc20_pooled","fibroblasts","Peribronchial fibroblasts",50,"AIS","normal",0,FALSE
"unc20_pooled","fibroblasts","Peribronchial fibroblasts",50,"MIA","normal",0,FALSE
