"config","comp","label","cell_floor","case","reference","set","assayed_fraction","tested_genes","eligible"
"unc20_pooled","AT2","AT2",50,"AAH","normal","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.98,186,TRUE
"unc20_pooled","AT2","AT2",50,"AAH","normal","HALLMARK_INFLAMMATORY_RESPONSE",0.99,160,TRUE
"unc20_pooled","AT2","AT2",50,"AAH","normal","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.988505747126437,72,TRUE
"unc20_pooled","AT2","AT2",50,"AAH","normal","HALLMARK_HYPOXIA",0.975,166,TRUE
"unc20_pooled","AT2","AT2",50,"AAH","normal","HALLMARK_GLYCOLYSIS",0.955,161,TRUE
"unc20_pooled","AT2","AT2",50,"AAH","normal","HALLMARK_P53_PATHWAY",0.95,177,TRUE
"unc20_pooled","AT2","AT2",50,"AAH","normal","HALLMARK_E2F_TARGETS",0.955,153,TRUE
"unc20_pooled","AT2","AT2",50,"AAH","normal","HALLMARK_G2M_CHECKPOINT",0.945,147,TRUE
"unc20_pooled","AT2","AT2",50,"AIS","normal","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.98,184,TRUE
"unc20_pooled","AT2","AT2",50,"AIS","normal","HALLMARK_INFLAMMATORY_RESPONSE",0.99,160,TRUE
"unc20_pooled","AT2","AT2",50,"AIS","normal","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.988505747126437,69,TRUE
"unc20_pooled","AT2","AT2",50,"AIS","normal","HALLMARK_HYPOXIA",0.975,170,TRUE
"unc20_pooled","AT2","AT2",50,"AIS","normal","HALLMARK_GLYCOLYSIS",0.955,167,TRUE
"unc20_pooled","AT2","AT2",50,"AIS","normal","HALLMARK_P53_PATHWAY",0.95,180,TRUE
"unc20_pooled","AT2","AT2",50,"AIS","normal","HALLMARK_E2F_TARGETS",0.955,160,TRUE
"unc20_pooled","AT2","AT2",50,"AIS","normal","HALLMARK_G2M_CHECKPOINT",0.945,153,TRUE
"unc20_pooled","AT2","AT2",50,"MIA","normal","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.98,176,TRUE
"unc20_pooled","AT2","AT2",50,"MIA","normal","HALLMARK_INFLAMMATORY_RESPONSE",0.99,132,TRUE
"unc20_pooled","AT2","AT2",50,"MIA","normal","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.988505747126437,62,TRUE
"unc20_pooled","AT2","AT2",50,"MIA","normal","HALLMARK_HYPOXIA",0.975,159,TRUE
"unc20_pooled","AT2","AT2",50,"MIA","normal","HALLMARK_GLYCOLYSIS",0.955,158,TRUE
"unc20_pooled","AT2","AT2",50,"MIA","normal","HALLMARK_P53_PATHWAY",0.95,176,TRUE
"unc20_pooled","AT2","AT2",50,"MIA","normal","HALLMARK_E2F_TARGETS",0.955,140,TRUE
"unc20_pooled","AT2","AT2",50,"MIA","normal","HALLMARK_G2M_CHECKPOINT",0.945,140,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","normal","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.98,189,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","normal","HALLMARK_INFLAMMATORY_RESPONSE",0.99,172,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","normal","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.988505747126437,76,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","normal","HALLMARK_HYPOXIA",0.975,176,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","normal","HALLMARK_GLYCOLYSIS",0.955,177,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","normal","HALLMARK_P53_PATHWAY",0.95,186,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","normal","HALLMARK_E2F_TARGETS",0.955,174,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","normal","HALLMARK_G2M_CHECKPOINT",0.945,170,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AAH","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.98,187,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AAH","HALLMARK_INFLAMMATORY_RESPONSE",0.99,168,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AAH","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.988505747126437,78,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AAH","HALLMARK_HYPOXIA",0.975,170,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AAH","HALLMARK_GLYCOLYSIS",0.955,171,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AAH","HALLMARK_P53_PATHWAY",0.95,183,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AAH","HALLMARK_E2F_TARGETS",0.955,170,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AAH","HALLMARK_G2M_CHECKPOINT",0.945,169,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AIS","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.98,184,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AIS","HALLMARK_INFLAMMATORY_RESPONSE",0.99,166,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AIS","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.988505747126437,69,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AIS","HALLMARK_HYPOXIA",0.975,170,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AIS","HALLMARK_GLYCOLYSIS",0.955,178,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AIS","HALLMARK_P53_PATHWAY",0.95,182,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AIS","HALLMARK_E2F_TARGETS",0.955,167,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","AIS","HALLMARK_G2M_CHECKPOINT",0.945,164,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","MIA","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.98,182,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","MIA","HALLMARK_INFLAMMATORY_RESPONSE",0.99,151,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","MIA","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.988505747126437,68,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","MIA","HALLMARK_HYPOXIA",0.975,164,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","MIA","HALLMARK_GLYCOLYSIS",0.955,163,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","MIA","HALLMARK_P53_PATHWAY",0.95,178,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","MIA","HALLMARK_E2F_TARGETS",0.955,152,TRUE
"unc20_pooled","AT2","AT2",50,"LUAD","MIA","HALLMARK_G2M_CHECKPOINT",0.945,147,TRUE
"unc20_pooled","AT2","AT2",30,"AAH","normal","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.98,186,TRUE
"unc20_pooled","AT2","AT2",30,"AAH","normal","HALLMARK_INFLAMMATORY_RESPONSE",0.99,160,TRUE
"unc20_pooled","AT2","AT2",30,"AAH","normal","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.988505747126437,72,TRUE
"unc20_pooled","AT2","AT2",30,"AAH","normal","HALLMARK_HYPOXIA",0.975,166,TRUE
"unc20_pooled","AT2","AT2",30,"AAH","normal","HALLMARK_GLYCOLYSIS",0.955,161,TRUE
"unc20_pooled","AT2","AT2",30,"AAH","normal","HALLMARK_P53_PATHWAY",0.95,177,TRUE
"unc20_pooled","AT2","AT2",30,"AAH","normal","HALLMARK_E2F_TARGETS",0.955,153,TRUE
"unc20_pooled","AT2","AT2",30,"AAH","normal","HALLMARK_G2M_CHECKPOINT",0.945,147,TRUE
"unc20_pooled","AT2","AT2",30,"AIS","normal","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.98,184,TRUE
"unc20_pooled","AT2","AT2",30,"AIS","normal","HALLMARK_INFLAMMATORY_RESPONSE",0.99,160,TRUE
"unc20_pooled","AT2","AT2",30,"AIS","normal","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.988505747126437,69,TRUE
"unc20_pooled","AT2","AT2",30,"AIS","normal","HALLMARK_HYPOXIA",0.975,170,TRUE
