patient,histology,label,comp,view,cells,full_library_sum,libraries,n_libraries,uncertainty,library_mode,unit_id
3,AIS,AT2,AT2,subtype,673,1491795,GSM9237902,1,0.2,largest_library,unc20_largest_library_0001
3,AIS,Adventitial fibroblasts,fibroblasts,subtype,21,36629,GSM9237902,1,0.2,largest_library,unc20_largest_library_0002
3,AIS,Alveolar fibroblasts,fibroblasts,subtype,102,151845,GSM9237902,1,0.2,largest_library,unc20_largest_library_0003
3,AIS,Monocyte-derived Mph,macrophages,subtype,31,76794,GSM9237902,1,0.2,largest_library,unc20_largest_library_0019
3,LUAD,AT2,AT2,subtype,310,934100,GSM9237903,1,0.2,largest_library,unc20_largest_library_0025
3,LUAD,Adventitial fibroblasts,fibroblasts,subtype,3,7185,GSM9237903,1,0.2,largest_library,unc20_largest_library_0026
3,LUAD,Alveolar fibroblasts,fibroblasts,subtype,77,120106,GSM9237903,1,0.2,largest_library,unc20_largest_library_0027
3,LUAD,Monocyte-derived Mph,macrophages,subtype,23,57365,GSM9237903,1,0.2,largest_library,unc20_largest_library_0041
3,normal,AT2,AT2,subtype,165,288778,GSM9237901,1,0.2,largest_library,unc20_largest_library_0053
3,normal,Adventitial fibroblasts,fibroblasts,subtype,11,23464,GSM9237901,1,0.2,largest_library,unc20_largest_library_0054
3,normal,Alveolar fibroblasts,fibroblasts,subtype,106,149829,GSM9237901,1,0.2,largest_library,unc20_largest_library_0055
3,normal,Alveolar macrophages,macrophages,subtype,1,11440,GSM9237901,1,0.2,largest_library,unc20_largest_library_0056
3,normal,Interstitial Mph perivascular,macrophages,subtype,1,1420,GSM9237901,1,0.2,largest_library,unc20_largest_library_0066
3,normal,Monocyte-derived Mph,macrophages,subtype,21,41951,GSM9237901,1,0.2,largest_library,unc20_largest_library_0069
4,AAH,AT2,AT2,subtype,2395,9405454,GSM9237907,1,0.2,largest_library,unc20_largest_library_0077
4,AAH,AT2 proliferating,AT2,subtype,7,66506,GSM9237907,1,0.2,largest_library,unc20_largest_library_0078
4,AAH,Adventitial fibroblasts,fibroblasts,subtype,23,82600,GSM9237907,1,0.2,largest_library,unc20_largest_library_0079
4,AAH,Alveolar fibroblasts,fibroblasts,subtype,918,1785588,GSM9237907,1,0.2,largest_library,unc20_largest_library_0080
4,AAH,Alveolar macrophages,macrophages,subtype,318,3524450,GSM9237907,1,0.2,largest_library,unc20_largest_library_0081
4,AAH,Interstitial Mph perivascular,macrophages,subtype,49,102799,GSM9237907,1,0.2,largest_library,unc20_largest_library_0091
4,AAH,Monocyte-derived Mph,macrophages,subtype,30,91816,GSM9237907,1,0.2,largest_library,unc20_largest_library_0095
4,AAH,Myofibroblasts,fibroblasts,subtype,1,1873,GSM9237907,1,0.2,largest_library,unc20_largest_library_0097
4,AAH,Peribronchial fibroblasts,fibroblasts,subtype,12,44548,GSM9237907,1,0.2,largest_library,unc20_largest_library_0100
4,LUAD,AT2,AT2,subtype,5063,25675943,GSM9237908,1,0.2,largest_library,unc20_largest_library_0109
4,LUAD,AT2 proliferating,AT2,subtype,33,573105,GSM9237908,1,0.2,largest_library,unc20_largest_library_0110
4,LUAD,Adventitial fibroblasts,fibroblasts,subtype,91,299809,GSM9237908,1,0.2,largest_library,unc20_largest_library_0111
4,LUAD,Alveolar fibroblasts,fibroblasts,subtype,2776,7873263,GSM9237908,1,0.2,largest_library,unc20_largest_library_0112
4,LUAD,Alveolar macrophages,macrophages,subtype,935,13199652,GSM9237908,1,0.2,largest_library,unc20_largest_library_0113
4,LUAD,Interstitial Mph perivascular,macrophages,subtype,122,297543,GSM9237908,1,0.2,largest_library,unc20_largest_library_0130
4,LUAD,Monocyte-derived Mph,macrophages,subtype,94,490395,GSM9237908,1,0.2,largest_library,unc20_largest_library_0135
4,LUAD,Myofibroblasts,fibroblasts,subtype,6,12705,GSM9237908,1,0.2,largest_library,unc20_largest_library_0138
4,LUAD,Peribronchial fibroblasts,fibroblasts,subtype,39,124616,GSM9237908,1,0.2,largest_library,unc20_largest_library_0142
4,normal,AT2,AT2,subtype,4520,20532915,GSM9237904,1,0.2,largest_library,unc20_largest_library_0153
4,normal,AT2 proliferating,AT2,subtype,8,65895,GSM9237904,1,0.2,largest_library,unc20_largest_library_0154
4,normal,Adventitial fibroblasts,fibroblasts,subtype,89,286489,GSM9237904,1,0.2,largest_library,unc20_largest_library_0155
4,normal,Alveolar Mph proliferating,macrophages,subtype,2,8422,GSM9237904,1,0.2,largest_library,unc20_largest_library_0156
4,normal,Alveolar fibroblasts,fibroblasts,subtype,2286,5987712,GSM9237904,1,0.2,largest_library,unc20_largest_library_0157
4,normal,Alveolar macrophages,macrophages,subtype,1281,16534639,GSM9237904,1,0.2,largest_library,unc20_largest_library_0158
4,normal,Interstitial Mph perivascular,macrophages,subtype,71,167886,GSM9237904,1,0.2,largest_library,unc20_largest_library_0171
4,normal,Monocyte-derived Mph,macrophages,subtype,99,441590,GSM9237904,1,0.2,largest_library,unc20_largest_library_0175
4,normal,Myofibroblasts,fibroblasts,subtype,3,4310,GSM9237904,1,0.2,largest_library,unc20_largest_library_0177
4,normal,Peribronchial fibroblasts,fibroblasts,subtype,9,34261,GSM9237904,1,0.2,largest_library,unc20_largest_library_0181
5,AIS,AT2,AT2,subtype,224,869513,GSM9237910,1,0.2,largest_library,unc20_largest_library_0192
5,AIS,Adventitial fibroblasts,fibroblasts,subtype,5,8761,GSM9237910,1,0.2,largest_library,unc20_largest_library_0193
5,AIS,Alveolar fibroblasts,fibroblasts,subtype,228,391190,GSM9237910,1,0.2,largest_library,unc20_largest_library_0194
5,AIS,Alveolar macrophages,macrophages,subtype,35,254905,GSM9237910,1,0.2,largest_library,unc20_largest_library_0195
5,AIS,Interstitial Mph perivascular,macrophages,subtype,7,12059,GSM9237910,1,0.2,largest_library,unc20_largest_library_0207
5,AIS,Monocyte-derived Mph,macrophages,subtype,3,11664,GSM9237910,1,0.2,largest_library,unc20_largest_library_0210
5,AIS,Myofibroblasts,fibroblasts,subtype,1,1241,GSM9237910,1,0.2,largest_library,unc20_largest_library_0212
5,LUAD,AT2,AT2,subtype,1071,4814870,GSM9237911,1,0.2,largest_library,unc20_largest_library_0221
5,LUAD,AT2 proliferating,AT2,subtype,25,190310,GSM9237911,1,0.2,largest_library,unc20_largest_library_0222
5,LUAD,Adventitial fibroblasts,fibroblasts,subtype,14,30961,GSM9237911,1,0.2,largest_library,unc20_largest_library_0223
5,LUAD,Alveolar fibroblasts,fibroblasts,subtype,131,355698,GSM9237911,1,0.2,largest_library,unc20_largest_library_0224
5,LUAD,Alveolar macrophages,macrophages,subtype,199,1384686,GSM9237911,1,0.2,largest_library,unc20_largest_library_0225
5,LUAD,Interstitial Mph perivascular,macrophages,subtype,53,121576,GSM9237911,1,0.2,largest_library,unc20_largest_library_0239
