histology,broad,n_patients,median_count_fraction,min_count_fraction,max_count_fraction,median_detection_fraction
AAH,AT2-like,8,0.009312196812196801,0.0033500837520938,0.0718647252231094,0.00440527320448575
AAH,Fibroblasts,8,0.0037117017538473,0.0,0.0108031939877876,0.0020284801876954504
AAH,Macrophages,8,0.36316510172143973,0.0178487552841709,0.6800670016750419,0.19256108642972536
AAH,Other assigned,8,0.00862254244747155,0.0,0.0240384615384615,0.00239642368575335
AAH,Other epithelial,8,0.00222025301582325,0.0,0.0072202166064981,0.0020725410857108002
AAH,Other myeloid,8,0.05002442769402565,0.0072115384615384,0.1768953068592057,0.0675551470588235
AAH,Unassigned,8,0.5174100156494523,0.2395309882747068,0.7768905589478629,0.040828194808551446
AIS,AT2-like,12,0.012300843486410449,0.0,0.0438829787234042,0.0043826804915514505
AIS,Fibroblasts,12,0.0097483323226197,0.0,0.0332446808510638,0.0062321282185343
AIS,Macrophages,12,0.17063926634483578,0.0,0.4748883928571428,0.2428744309341324
AIS,Other assigned,12,0.00776772247360475,0.0,0.014627659574468,0.0044769937759294
AIS,Other epithelial,12,0.00351388654160325,0.0,0.0384615384615384,0.00570033297324205
AIS,Other myeloid,12,0.0542454812946616,0.0,0.4481792717086835,0.06011351909184725
AIS,Unassigned,12,0.6829254079254079,0.3473389355742297,0.9123456790123456,0.04178130254437905
LUAD,AT2-like,23,0.0135746606334841,0.0,0.0652173913043478,0.006769825918762
LUAD,Fibroblasts,23,0.0090497737556561,0.0,0.0385208012326656,0.0048661800486618
LUAD,Macrophages,23,0.171945701357466,0.0,0.4117140396210164,0.1641791044776119
LUAD,Other assigned,23,0.0136986301369863,0.0,0.0531468531468531,0.0048837663606173
LUAD,Other epithelial,23,0.0136986301369863,0.0,0.1240310077519379,0.0088346655448043
LUAD,Other myeloid,23,0.0324324324324324,0.0,0.2191780821917808,0.0509090909090909
LUAD,Unassigned,23,0.7207792207792207,0.4246575342465753,0.8918918918918919,0.0340768277571251
MIA,AT2-like,4,0.0075373300646311495,0.0,0.014388489208633,0.00378469301934395
MIA,Fibroblasts,4,0.00671724710715045,0.0,0.0076335877862595,0.0027093299836972
MIA,Macrophages,4,0.19628928014263425,0.0431654676258992,0.6106870229007634,0.2153264975715056
MIA,Other assigned,4,0.00359712230215825,0.0,0.0101404056162246,0.00145772594752185
MIA,Other epithelial,4,0.00710726270777445,0.0038167938931297,0.0171428571428571,0.00450735898205185
MIA,Other myeloid,4,0.11459326944506346,0.0114503816793893,0.1510791366906475,0.062030075187969894
MIA,Unassigned,4,0.6613082237575217,0.366412213740458,0.7697841726618705,0.0432320655534941
normal,AT2-like,23,0.0095238095238095,0.0,0.0573827851644506,0.0025951557093425
normal,Fibroblasts,23,0.005050505050505,0.0,0.0747126436781609,0.0024721878862793
normal,Macrophages,23,0.1886792452830188,0.0,0.577922077922078,0.2073170731707317
normal,Other assigned,23,0.0101010101010101,0.0,0.1666666666666666,0.0044247787610619
normal,Other epithelial,23,0.0077542499254399,0.0,0.028735632183908,0.0032010243277848
normal,Other myeloid,23,0.074074074074074,0.0,0.490566037735849,0.0769230769230769
normal,Unassigned,23,0.6352040816326531,0.3018867924528302,1.0,0.0388580491673275
