gsm,uncertainty,all_QC_cells_assigned_or_unassigned,exact_count_parity
GSM9237901,0.2,1189,True
GSM9237901,0.3,1189,True
GSM9237902,0.2,3131,True
GSM9237902,0.3,3131,True
GSM9237903,0.2,2144,True
GSM9237903,0.3,2144,True
GSM9237904,0.2,28112,True
GSM9237904,0.3,28112,True
GSM9237905,0.2,10131,True
GSM9237905,0.3,10131,True
GSM9237906,0.2,4445,True
GSM9237906,0.3,4445,True
GSM9237907,0.2,9781,True
GSM9237907,0.3,9781,True
GSM9237908,0.2,31920,True
GSM9237908,0.3,31920,True
GSM9237909,0.2,15365,True
GSM9237909,0.3,15365,True
GSM9237910,0.2,1856,True
GSM9237910,0.3,1856,True
GSM9237911,0.2,15187,True
GSM9237911,0.3,15187,True
GSM9237912,0.2,1076,True
GSM9237912,0.3,1076,True
GSM9237913,0.2,2236,True
GSM9237913,0.3,2236,True
GSM9237914,0.2,4835,True
GSM9237914,0.3,4835,True
GSM9237915,0.2,6187,True
GSM9237915,0.3,6187,True
GSM9237916,0.2,7328,True
GSM9237916,0.3,7328,True
GSM9237917,0.2,7458,True
GSM9237917,0.3,7458,True
GSM9237918,0.2,474,True
GSM9237918,0.3,474,True
GSM9237919,0.2,469,True
GSM9237919,0.3,469,True
GSM9237920,0.2,5030,True
GSM9237920,0.3,5030,True
GSM9237921,0.2,1989,True
GSM9237921,0.3,1989,True
GSM9237922,0.2,1009,True
GSM9237922,0.3,1009,True
GSM9237923,0.2,3770,True
GSM9237923,0.3,3770,True
GSM9237924,0.2,4489,True
GSM9237924,0.3,4489,True
GSM9237925,0.2,1126,True
GSM9237925,0.3,1126,True
GSM9237926,0.2,2309,True
GSM9237926,0.3,2309,True
GSM9237927,0.2,15070,True
GSM9237927,0.3,15070,True
GSM9237928,0.2,1030,True
GSM9237928,0.3,1030,True
GSM9237929,0.2,2378,True
GSM9237929,0.3,2378,True
GSM9237930,0.2,7879,True
GSM9237930,0.3,7879,True
GSM9237931,0.2,1003,True
GSM9237931,0.3,1003,True
GSM9237932,0.2,2232,True
GSM9237932,0.3,2232,True
GSM9237933,0.2,2164,True
GSM9237933,0.3,2164,True
GSM9237934,0.2,527,True
GSM9237934,0.3,527,True
GSM9237935,0.2,1940,True
GSM9237935,0.3,1940,True
GSM9237936,0.2,2287,True
GSM9237936,0.3,2287,True
GSM9237937,0.2,811,True
GSM9237937,0.3,811,True
GSM9237938,0.2,3147,True
GSM9237938,0.3,3147,True
GSM9237939,0.2,2626,True
GSM9237939,0.3,2626,True
GSM9237940,0.2,1223,True
GSM9237940,0.3,1223,True
GSM9237941,0.2,3370,True
GSM9237941,0.3,3370,True
GSM9237942,0.2,4659,True
GSM9237942,0.3,4659,True
GSM9237943,0.2,1312,True
GSM9237943,0.3,1312,True
GSM9237944,0.2,2515,True
GSM9237944,0.3,2515,True
GSM9237945,0.2,2427,True
GSM9237945,0.3,2427,True
GSM9237946,0.2,8139,True
GSM9237946,0.3,8139,True
GSM9237947,0.2,9006,True
GSM9237947,0.3,9006,True
GSM9237948,0.2,8683,True
GSM9237948,0.3,8683,True
GSM9237949,0.2,6774,True
GSM9237949,0.3,6774,True
GSM9237950,0.2,10271,True
GSM9237950,0.3,10271,True
GSM9237951,0.2,11026,True
GSM9237951,0.3,11026,True
GSM9237952,0.2,4011,True
GSM9237952,0.3,4011,True
GSM9237953,0.2,11099,True
GSM9237953,0.3,11099,True
GSM9237954,0.2,16997,True
GSM9237954,0.3,16997,True
GSM9237955,0.2,1416,True
GSM9237955,0.3,1416,True
GSM9237956,0.2,8778,True
GSM9237956,0.3,8778,True
GSM9237957,0.2,9843,True
GSM9237957,0.3,9843,True
GSM9237958,0.2,3674,True
GSM9237958,0.3,3674,True
GSM9237959,0.2,8538,True
GSM9237959,0.3,8538,True
GSM9237960,0.2,7723,True
GSM9237960,0.3,7723,True
GSM9237961,0.2,2662,True
GSM9237961,0.3,2662,True
GSM9237962,0.2,2409,True
GSM9237962,0.3,2409,True
GSM9237963,0.2,3378,True
GSM9237963,0.3,3378,True
GSM9237964,0.2,4461,True
GSM9237964,0.3,4461,True
GSM9237965,0.2,6196,True
GSM9237965,0.3,6196,True
GSM9237966,0.2,6343,True
GSM9237966,0.3,6343,True
GSM9237967,0.2,19393,True
GSM9237967,0.3,19393,True
GSM9237968,0.2,26684,True
GSM9237968,0.3,26684,True
GSM9237969,0.2,25863,True
GSM9237969,0.3,25863,True
GSM9237970,0.2,7887,True
GSM9237970,0.3,7887,True
GSM9237971,0.2,9152,True
GSM9237971,0.3,9152,True
GSM9237972,0.2,53922,True
GSM9237972,0.3,53922,True
GSM9237973,0.2,11018,True
GSM9237973,0.3,11018,True
GSM9237974,0.2,2731,True
GSM9237974,0.3,2731,True
GSM9237975,0.2,15757,True
GSM9237975,0.3,15757,True
