gsm,retained_measured_genes,unmeasured_or_not_retained
GSM9237901,92,CASP1
GSM9237902,92,CASP1
GSM9237903,92,CASP1
GSM9237904,92,CASP1
GSM9237905,92,CASP1
GSM9237906,92,CASP1
GSM9237907,92,CASP1
GSM9237908,92,CASP1
GSM9237909,92,CASP1
GSM9237910,92,CASP1
GSM9237911,92,CASP1
GSM9237912,92,CASP1
GSM9237913,92,CASP1
GSM9237914,92,CASP1
GSM9237915,92,CASP1
GSM9237916,92,CASP1
GSM9237917,92,CASP1
GSM9237918,92,CASP1
GSM9237919,92,CASP1
GSM9237920,92,CASP1
GSM9237921,92,CASP1
GSM9237922,92,CASP1
GSM9237923,92,CASP1
GSM9237924,92,CASP1
GSM9237925,92,CASP1
GSM9237926,92,CASP1
GSM9237927,92,CASP1
GSM9237928,92,CASP1
GSM9237929,92,CASP1
GSM9237930,92,CASP1
GSM9237931,92,CASP1
GSM9237932,92,CASP1
GSM9237933,92,CASP1
GSM9237934,92,CASP1
GSM9237935,92,CASP1
GSM9237936,92,CASP1
GSM9237937,92,CASP1
GSM9237938,92,CASP1
GSM9237939,92,CASP1
GSM9237940,92,CASP1
GSM9237941,92,CASP1
GSM9237942,92,CASP1
GSM9237943,92,CASP1
GSM9237944,92,CASP1
GSM9237945,92,CASP1
GSM9237946,92,CASP1
GSM9237947,92,CASP1
GSM9237948,92,CASP1
GSM9237949,92,CASP1
GSM9237950,92,CASP1
GSM9237951,92,CASP1
GSM9237952,92,CASP1
GSM9237953,92,CASP1
GSM9237954,92,CASP1
GSM9237955,92,CASP1
GSM9237956,92,CASP1
GSM9237957,92,CASP1
GSM9237958,92,CASP1
GSM9237959,92,CASP1
GSM9237960,92,CASP1
GSM9237961,92,CASP1
GSM9237962,92,CASP1
GSM9237963,92,CASP1
GSM9237964,92,CASP1
GSM9237965,92,CASP1
GSM9237966,92,CASP1
GSM9237967,92,CASP1
GSM9237968,92,CASP1
GSM9237969,92,CASP1
GSM9237970,92,CASP1
GSM9237971,92,CASP1
GSM9237972,92,CASP1
GSM9237973,92,CASP1
GSM9237974,92,CASP1
GSM9237975,92,CASP1
