cohort,view,resource,family,ligand,receptor,source,source_label,target,target_label,cell_floor,prior_count,n_control,n_IPF,status,missing_genes
GSE136831,broad,consensus,exploratory,FGF10,FGFR1,fibroblasts,__broad__,AT2,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,exploratory,FGF10,FGFR2,fibroblasts,__broad__,AT2,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,exploratory,FGF10,FGFRL1,fibroblasts,__broad__,AT2,__broad__,50,1.0,4,2,insufficient_same_donor_coverage,
GSE136831,broad,consensus,core,TGFB1,ITGAV_ITGB6,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,ACVR1B_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,ACVR1_TGFBR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,ACVR1_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,ACVR1C_TGFBR2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,EGFR,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,ITGB3,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,ITGB1,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,ITGB5,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,ITGB8,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
GSE136831,broad,consensus,core,TGFB1,SDC2,macrophages,__broad__,fibroblasts,__broad__,50,1.0,4,18,eligible_descriptive,
