ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,donor,disease,resource
AREG,AREG,0.8319327731092437,0.14100626728231958,7.6103044,EGFR,EGFR,0.5947368421052631,0.10475065026472086,ATII,Fibroblast,0.02869336576431879,1372C,control,cellchatdb
AREG,AREG,0.516,0.11013338663740857,7.6103044,EGFR,EGFR,0.5947368421052631,0.10475065026472086,Macrophage,Fibroblast,0.022552726690712687,1372C,control,cellchatdb
AREG,AREG,0.516,0.11013338663740857,7.6103044,EGFR,EGFR,0.5378151260504201,0.04604022428823251,Macrophage,ATII,0.010039321563220563,1372C,control,cellchatdb
HBEGF,HBEGF,0.484,0.02837612295213565,7.6103044,EGFR,EGFR,0.5947368421052631,0.10475065026472086,Macrophage_Alveolar,Fibroblast,0.005909702458436049,1372C,control,cellchatdb
TGFB1,TGFB1,0.63,0.11760194179849304,7.6103044,TGFBR1,TGFBR1_TGFBR2,0.2789473684210526,0.022067327676440263,Macrophage,Fibroblast,0.005163520838585211,1372C,control,cellchatdb
HBEGF,HBEGF,0.484,0.02837612295213565,7.6103044,ERBB4,ERBB4,0.6554621848739496,0.08173660897528556,Macrophage_Alveolar,ATII,0.0046173176138984105,1372C,control,cellchatdb
HBEGF,HBEGF,0.47058823529411764,0.022007997578814775,7.6103044,EGFR,EGFR,0.5947368421052631,0.10475065026472086,ATII,Fibroblast,0.004589543089602171,1372C,control,cellchatdb
FGF7,FGF7,0.38421052631578945,0.03758959359332148,7.6103044,FGFR1,FGFR1,0.6218487394957983,0.05493302976141723,Fibroblast,ATII,0.004112835255699189,1372C,control,cellchatdb
TGFB1,TGFB1,0.656,0.08981185310452333,7.6103044,TGFBR1,TGFBR1_TGFBR2,0.2789473684210526,0.022067327676440263,Macrophage_Alveolar,Fibroblast,0.003948165385470281,1372C,control,cellchatdb
HBEGF,HBEGF,0.484,0.02837612295213565,7.6103044,EGFR,EGFR,0.5378151260504201,0.04604022428823251,Macrophage_Alveolar,ATII,0.0026060767485029316,1372C,control,cellchatdb
