ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,donor,disease,resource
CXCL12,CXCL12,0.43,0.03620038544427773,7.67389,CXCR4,CXCR4,0.654,0.11934970825850189,Myofibroblast,Macrophage,0.008566983485703233,225I,IPF,cellchatdb
AREG,AREG,0.45,0.07552423042111855,7.67389,EGFR,EGFR,0.472,0.0402160245317108,ATII,Myofibroblast,0.006037891023446809,225I,IPF,cellchatdb
HBEGF,HBEGF,0.476,0.037363152925825927,7.67389,ERBB4,ERBB4,0.45,0.07309286540117288,Macrophage,ATII,0.005432288872016299,225I,IPF,cellchatdb
AREG,AREG,0.412,0.04643225344347279,7.67389,EGFR,EGFR,0.472,0.0402160245317108,Macrophage,Myofibroblast,0.003720745636816613,225I,IPF,cellchatdb
HBEGF,HBEGF,0.4,0.02350441949788229,7.67389,ERBB4,ERBB4,0.45,0.07309286540117288,Macrophage_Alveolar,ATII,0.0034242449987858725,225I,IPF,cellchatdb
HBEGF,HBEGF,0.476,0.037363152925825927,7.67389,EGFR,EGFR,0.472,0.0402160245317108,Macrophage,Myofibroblast,0.0029961908117994143,225I,IPF,cellchatdb
CXCL12,CXCL12,0.43,0.03620038544427773,7.67389,CXCR4,CXCR4,0.462,0.02665984737384136,Myofibroblast,Macrophage_Alveolar,0.0019264750320494167,225I,IPF,cellchatdb
HBEGF,HBEGF,0.4,0.02350441949788229,7.67389,EGFR,EGFR,0.472,0.0402160245317108,Macrophage_Alveolar,Myofibroblast,0.0018869413433815483,225I,IPF,cellchatdb
AREG,AREG,0.292,0.01596024629133358,7.67389,EGFR,EGFR,0.472,0.0402160245317108,Macrophage_Alveolar,Myofibroblast,0.001282069500518985,225I,IPF,cellchatdb
CXCL12,CXCL12,0.43,0.03620038544427773,7.67389,ACKR3,ACKR3,0.284,0.014640749070473053,Myofibroblast,Macrophage_Alveolar,0.0010588791056276546,225I,IPF,cellchatdb
AREG,AREG,0.292,0.01596024629133358,7.67389,EGFR,EGFR,0.2,0.0,Macrophage_Alveolar,ATII,0.0,225I,IPF,cellchatdb
AREG,AREG,0.412,0.04643225344347279,7.67389,EGFR,EGFR,0.2,0.0,Macrophage,ATII,0.0,225I,IPF,cellchatdb
FGF7,FGF7,0.366,0.026533402194360567,7.67389,FGFR1,FGFR1,0.148,0.0,Myofibroblast,Macrophage,0.0,225I,IPF,cellchatdb
TGFB1,TGFB1,0.268,0.01611483495311644,7.67389,TGFBR1,TGFBR1_TGFBR2,0.248,0.0,Myofibroblast,Macrophage,0.0,225I,IPF,cellchatdb
VEGFA,VEGFA,0.108,0.0,7.67389,FLT1,FLT1,0.224,0.0,Myofibroblast,Macrophage,0.0,225I,IPF,cellchatdb
CXCL12,CXCL12,0.43,0.03620038544427773,7.67389,ACKR3,ACKR3,0.12,0.0,Myofibroblast,Macrophage,0.0,225I,IPF,cellchatdb
HBEGF,HBEGF,0.4,0.02350441949788229,7.67389,EGFR,EGFR,0.2,0.0,Macrophage_Alveolar,ATII,0.0,225I,IPF,cellchatdb
FGF7,FGF7,0.366,0.026533402194360567,7.67389,FGFR2,FGFR2,0.11666666666666667,0.0,Myofibroblast,ATII,0.0,225I,IPF,cellchatdb
HBEGF,HBEGF,0.476,0.037363152925825927,7.67389,EGFR,EGFR,0.2,0.0,Macrophage,ATII,0.0,225I,IPF,cellchatdb
VEGFA,VEGFA,0.108,0.0,7.67389,FLT1,FLT1,0.156,0.0,Myofibroblast,Macrophage_Alveolar,0.0,225I,IPF,cellchatdb
TGFB1,TGFB1,0.268,0.01611483495311644,7.67389,ACVR1B,ACVR1B_TGFBR2,0.148,0.0,Myofibroblast,Macrophage_Alveolar,0.0,225I,IPF,cellchatdb
FGF7,FGF7,0.366,0.026533402194360567,7.67389,FGFR1,FGFR1,0.244,0.0,Myofibroblast,Macrophage_Alveolar,0.0,225I,IPF,cellchatdb
TGFB1,TGFB1,0.268,0.01611483495311644,7.67389,TGFBR1,TGFBR1_TGFBR2,0.234,0.0,Myofibroblast,Macrophage_Alveolar,0.0,225I,IPF,cellchatdb
TGFB1,TGFB1,0.268,0.01611483495311644,7.67389,ACVR1,ACVR1_TGFBR1_TGFBR2,0.176,0.0,Myofibroblast,Macrophage_Alveolar,0.0,225I,IPF,cellchatdb
AREG,AREG,0.45,0.07552423042111855,7.67389,ERBB2,EGFR_ERBB2,0.1,0.0,ATII,Myofibroblast,0.0,225I,IPF,cellchatdb
HBEGF,HBEGF,0.476,0.037363152925825927,7.67389,ERBB4,ERBB4,0.208,0.0,Macrophage,Myofibroblast,0.0,225I,IPF,cellchatdb
TGFB1,TGFB1,0.268,0.01611483495311644,7.67389,ACVR1,ACVR1_TGFBR1_TGFBR2,0.16,0.0,Myofibroblast,Macrophage,0.0,225I,IPF,cellchatdb
TGFB1,TGFB1,0.268,0.01611483495311644,7.67389,ACVR1B,ACVR1B_TGFBR2,0.122,0.0,Myofibroblast,Macrophage,0.0,225I,IPF,cellchatdb
TGFB1,TGFB1,0.586,0.09429571466406661,7.67389,TGFBR1,TGFBR1_TGFBR2,0.184,0.0,Macrophage,Myofibroblast,0.0,225I,IPF,cellchatdb
IL1B,IL1B,0.242,0.0,7.67389,IL1RAP,IL1R1_IL1RAP,0.172,0.0,Macrophage,Myofibroblast,0.0,225I,IPF,cellchatdb
TGFB1,TGFB1,0.586,0.09429571466406661,7.67389,ACVR1B,ACVR1B_TGFBR2,0.182,0.0,Macrophage,Myofibroblast,0.0,225I,IPF,cellchatdb
TGFB1,TGFB1,0.586,0.09429571466406661,7.67389,ACVR1,ACVR1_TGFBR1_TGFBR2,0.204,0.0,Macrophage,Myofibroblast,0.0,225I,IPF,cellchatdb
HBEGF,HBEGF,0.476,0.037363152925825927,7.67389,ERBB2,EGFR_ERBB2,0.1,0.0,Macrophage,Myofibroblast,0.0,225I,IPF,cellchatdb
AREG,AREG,0.412,0.04643225344347279,7.67389,ERBB2,EGFR_ERBB2,0.1,0.0,Macrophage,Myofibroblast,0.0,225I,IPF,cellchatdb
HBEGF,HBEGF,0.476,0.037363152925825927,7.67389,ERBB2,ERBB2_ERBB4,0.1,0.0,Macrophage,Myofibroblast,0.0,225I,IPF,cellchatdb
HBEGF,HBEGF,0.4,0.02350441949788229,7.67389,ERBB4,ERBB4,0.208,0.0,Macrophage_Alveolar,Myofibroblast,0.0,225I,IPF,cellchatdb
IL1A,IL1A,0.294,0.014961248303273778,7.67389,IL1RAP,IL1R1_IL1RAP,0.172,0.0,Macrophage_Alveolar,Myofibroblast,0.0,225I,IPF,cellchatdb
IL1B,IL1B,0.47,0.03843481113841818,7.67389,IL1RAP,IL1R1_IL1RAP,0.172,0.0,Macrophage_Alveolar,Myofibroblast,0.0,225I,IPF,cellchatdb
TGFB1,TGFB1,0.646,0.07676513109127747,7.67389,TGFBR1,TGFBR1_TGFBR2,0.184,0.0,Macrophage_Alveolar,Myofibroblast,0.0,225I,IPF,cellchatdb
TGFB1,TGFB1,0.646,0.07676513109127747,7.67389,ACVR1B,ACVR1B_TGFBR2,0.182,0.0,Macrophage_Alveolar,Myofibroblast,0.0,225I,IPF,cellchatdb
TGFB1,TGFB1,0.646,0.07676513109127747,7.67389,ACVR1,ACVR1_TGFBR1_TGFBR2,0.204,0.0,Macrophage_Alveolar,Myofibroblast,0.0,225I,IPF,cellchatdb
AREG,AREG,0.292,0.01596024629133358,7.67389,ERBB2,EGFR_ERBB2,0.1,0.0,Macrophage_Alveolar,Myofibroblast,0.0,225I,IPF,cellchatdb
HBEGF,HBEGF,0.4,0.02350441949788229,7.67389,ERBB2,EGFR_ERBB2,0.1,0.0,Macrophage_Alveolar,Myofibroblast,0.0,225I,IPF,cellchatdb
HBEGF,HBEGF,0.4,0.02350441949788229,7.67389,ERBB2,ERBB2_ERBB4,0.1,0.0,Macrophage_Alveolar,Myofibroblast,0.0,225I,IPF,cellchatdb
