ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,donor,disease,resource
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,LPP,LPP,0.9178082191780822,0.25818635551729696,Macrophage_Alveolar,Myofibroblast,0.04727162155296773,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,LPP,LPP,0.8819444444444444,0.23141521483085237,Macrophage_Alveolar,Fibroblast,0.04257876645933286,051I,IPF,consensus
HBEGF,HBEGF,0.5405405405405406,0.08494391383225164,7.8763456,CD44,CD44,0.7708333333333334,0.2106340452437644,Macrophage_Alveolar,Fibroblast,0.03454789303359136,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,SDC2,SDC2,0.6944444444444444,0.15284908733154912,Macrophage_Alveolar,Fibroblast,0.028535653800080846,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,EGFR,EGFR,0.6180555555555556,0.1258727903366741,Macrophage_Alveolar,Fibroblast,0.023618351365828488,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,TGFBR3,TGFBR3,0.5555555555555556,0.12136195951847839,Macrophage_Alveolar,Fibroblast,0.022791244534382624,051I,IPF,consensus
HBEGF,HBEGF,0.5405405405405406,0.08494391383225164,7.8763456,CD44,CD44,0.6986301369863014,0.1253170634429912,Macrophage_Alveolar,Myofibroblast,0.02084603485427861,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,ITGB1,ITGB1,0.6111111111111112,0.10670268993163312,Macrophage_Alveolar,Fibroblast,0.020093614549752378,051I,IPF,consensus
TGFB1,TGFB1,0.498,0.039615674644421506,7.8763456,LPP,LPP,0.9178082191780822,0.25818635551729696,Macrophage,Myofibroblast,0.020046375569617404,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,ITGB1,ITGB1,0.639269406392694,0.1030132846156806,Macrophage_Alveolar,Myofibroblast,0.019412334777993253,051I,IPF,consensus
FGF7,FGF7,0.589041095890411,0.09455938038722245,7.8763456,NRP1,NRP1,0.6351351351351351,0.09821286253843431,Myofibroblast,Macrophage_Alveolar,0.018235196237791643,051I,IPF,consensus
TGFB1,TGFB1,0.498,0.039615674644421506,7.8763456,LPP,LPP,0.8819444444444444,0.23141521483085237,Macrophage,Fibroblast,0.01800520810964991,051I,IPF,consensus
VEGFA,VEGFA,0.4861111111111111,0.03963644473416794,7.8763456,CD44,CD44,0.852,0.2297057561340854,Fibroblast,Macrophage,0.017883785318127576,051I,IPF,consensus
HBEGF,HBEGF,0.434,0.035467418439300014,7.8763456,CD44,CD44,0.7708333333333334,0.2106340452437644,Macrophage,Fibroblast,0.014721335867906731,051I,IPF,consensus
VEGFA,VEGFA,0.4861111111111111,0.03963644473416794,7.8763456,CD44,CD44,0.8243243243243243,0.18832213460989983,Fibroblast,Macrophage_Alveolar,0.014709247758573601,051I,IPF,consensus
VEGFA,VEGFA,0.314,0.02990442417714484,7.8763456,CD44,CD44,0.7708333333333334,0.2106340452437644,Macrophage,Fibroblast,0.012441050062678906,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,TGFBR3,TGFBR3,0.5296803652968036,0.06449410743995743,Macrophage_Alveolar,Myofibroblast,0.012242454652996367,051I,IPF,consensus
TGFB1,TGFB1,0.498,0.039615674644421506,7.8763456,SDC2,SDC2,0.6944444444444444,0.15284908733154912,Macrophage,Fibroblast,0.011965531581420028,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,ITGB5,ITGB5,0.5388127853881278,0.05718231693186415,Macrophage_Alveolar,Myofibroblast,0.010869596211501027,051I,IPF,consensus
TGFB1,TGFB1,0.498,0.039615674644421506,7.8763456,EGFR,EGFR,0.6180555555555556,0.1258727903366741,Macrophage,Fibroblast,0.009874591019622554,051I,IPF,consensus
TGFB1,TGFB1,0.3835616438356164,0.021115773585610453,7.8763456,LPP,LPP,0.9054054054054054,0.22786740880005873,Myofibroblast,Macrophage_Alveolar,0.009531470045570803,051I,IPF,consensus
TGFB1,TGFB1,0.498,0.039615674644421506,7.8763456,TGFBR3,TGFBR3,0.5555555555555556,0.12136195951847839,Macrophage,Fibroblast,0.009524091269102556,051I,IPF,consensus
VEGFA,VEGFA,0.3424657534246575,0.019764197620278923,7.8763456,CD44,CD44,0.852,0.2297057561340854,Myofibroblast,Macrophage,0.00899819718759801,051I,IPF,consensus
HBEGF,HBEGF,0.434,0.035467418439300014,7.8763456,CD44,CD44,0.6986301369863014,0.1253170634429912,Macrophage,Myofibroblast,0.008811021241817691,051I,IPF,consensus
TGFB1,TGFB1,0.3835616438356164,0.021115773585610453,7.8763456,LPP,LPP,0.81,0.20237518754853218,Myofibroblast,Macrophage,0.008474191606826019,051I,IPF,consensus
TGFB1,TGFB1,0.498,0.039615674644421506,7.8763456,ITGB1,ITGB1,0.6111111111111112,0.10670268993163312,Macrophage,Fibroblast,0.008383323815790458,051I,IPF,consensus
TGFB1,TGFB1,0.3835616438356164,0.021115773585610453,7.8763456,SDC2,SDC2,0.772,0.19859270986840233,Myofibroblast,Macrophage,0.008317122706254258,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,CAV1,CAV1,0.4652777777777778,0.04345708368225565,Macrophage_Alveolar,Fibroblast,0.008282220507208423,051I,IPF,consensus
TGFB1,TGFB1,0.498,0.039615674644421506,7.8763456,ITGB1,ITGB1,0.639269406392694,0.1030132846156806,Macrophage,Myofibroblast,0.008095804537214542,051I,IPF,consensus
VEGFA,VEGFA,0.4861111111111111,0.03963644473416794,7.8763456,NRP1,NRP1,0.6351351351351351,0.09821286253843431,Fibroblast,Macrophage_Alveolar,0.0077254698439657935,051I,IPF,consensus
VEGFA,VEGFA,0.314,0.02990442417714484,7.8763456,EGFR,EGFR,0.6180555555555556,0.1258727903366741,Macrophage,Fibroblast,0.007472054710169296,051I,IPF,consensus
VEGFA,VEGFA,0.314,0.02990442417714484,7.8763456,CD44,CD44,0.6986301369863014,0.1253170634429912,Macrophage,Myofibroblast,0.007439311091907733,051I,IPF,consensus
VEGFA,VEGFA,0.3424657534246575,0.019764197620278923,7.8763456,CD44,CD44,0.8243243243243243,0.18832213460989983,Myofibroblast,Macrophage_Alveolar,0.007389067024168796,051I,IPF,consensus
FGF7,FGF7,0.4027777777777778,0.03456573338271762,7.8763456,NRP1,NRP1,0.6351351351351351,0.09821286253843431,Fibroblast,Macrophage_Alveolar,0.00674381146529759,051I,IPF,consensus
VEGFA,VEGFA,0.314,0.02990442417714484,7.8763456,NRP1,NRP1,0.6940639269406392,0.1076727676765954,Macrophage,Myofibroblast,0.006398578767192107,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,VASN,VASN,0.4166666666666667,0.033475606846042893,Macrophage_Alveolar,Fibroblast,0.006392071413849949,051I,IPF,consensus
TGFB1,TGFB1,0.6486486486486487,0.09608777029048832,7.8763456,CAV1,CAV1,0.4611872146118721,0.03341975453566404,Macrophage_Alveolar,Myofibroblast,0.0063814746322753135,051I,IPF,consensus
TGFB1,TGFB1,0.3835616438356164,0.021115773585610453,7.8763456,SDC2,SDC2,0.7972972972972973,0.1517024236211273,Myofibroblast,Macrophage_Alveolar,0.006365844461397637,051I,IPF,consensus
VEGFA,VEGFA,0.314,0.02990442417714484,7.8763456,ITGB1,ITGB1,0.6111111111111112,0.10670268993163312,Macrophage,Fibroblast,0.006341296338083751,051I,IPF,consensus
CXCL12,CXCL12,0.4097222222222222,0.03908317824051377,7.8763456,CD4,CD4,0.5540540540540541,0.07979967047932801,Fibroblast,Macrophage_Alveolar,0.006198982410287152,051I,IPF,consensus
FGF7,FGF7,0.589041095890411,0.09455938038722245,7.8763456,NRP1,NRP1,0.418,0.03260585212508882,Myofibroblast,Macrophage,0.006128587160720564,051I,IPF,consensus
