ligand,ligand_complex,ligand_props,ligand_trimean,mat_max,receptor,receptor_complex,receptor_props,receptor_trimean,source,target,lr_probs,donor,disease,resource
TGFB1,TGFB1,0.538,0.08573938101694034,7.978246,TGFBR3,TGFBR3,0.7853107344632768,0.24382168271774773,Macrophage,Fibroblast,0.0401322992342999,098C,control,consensus
TGFB1,TGFB1,0.636,0.07900116708246763,7.978246,TGFBR3,TGFBR3,0.7853107344632768,0.24382168271774773,Macrophage_Alveolar,Fibroblast,0.03709532022097432,098C,control,consensus
TGFB1,TGFB1,0.538,0.08573938101694034,7.978246,LPP,LPP,0.8053097345132744,0.20358063580405616,Macrophage,ATII,0.03373217347651533,098C,control,consensus
TGFB1,TGFB1,0.636,0.07900116708246763,7.978246,LPP,LPP,0.8053097345132744,0.20358063580405616,Macrophage_Alveolar,ATII,0.031163794319342127,098C,control,consensus
TGFB1,TGFB1,0.538,0.08573938101694034,7.978246,LPP,LPP,0.672316384180791,0.16273987019273406,Macrophage,Fibroblast,0.027148805202222136,098C,control,consensus
TGFB1,TGFB1,0.636,0.07900116708246763,7.978246,LPP,LPP,0.672316384180791,0.16273987019273406,Macrophage_Alveolar,Fibroblast,0.025068681345718057,098C,control,consensus
TGFB1,TGFB1,0.538,0.08573938101694034,7.978246,EGFR,EGFR,0.5423728813559322,0.10689545375950882,Macrophage,Fibroblast,0.01800034829203387,098C,control,consensus
TGFB1,TGFB1,0.538,0.08573938101694034,7.978246,SDC2,SDC2,0.5141242937853108,0.102296471099383,Macrophage,Fibroblast,0.017239266659425476,098C,control,consensus
TGFB1,TGFB1,0.636,0.07900116708246763,7.978246,EGFR,EGFR,0.5423728813559322,0.10689545375950882,Macrophage_Alveolar,Fibroblast,0.016609206177741486,098C,control,consensus
TGFB1,TGFB1,0.636,0.07900116708246763,7.978246,SDC2,SDC2,0.5141242937853108,0.102296471099383,Macrophage_Alveolar,Fibroblast,0.015905991380127233,098C,control,consensus
FGF7,FGF7,0.4124293785310734,0.03952626521282765,7.978246,NRP1,NRP1,0.814,0.18360267525132773,Fibroblast,Macrophage_Alveolar,0.01430660632383843,098C,control,consensus
HBEGF,HBEGF,0.426,0.03835943267500652,7.978246,CD44,CD44,0.7522123893805309,0.1807428970791356,Macrophage,ATII,0.013676742932768977,098C,control,consensus
HBEGF,HBEGF,0.426,0.03835943267500652,7.978246,CD9,CD9,0.6991150442477876,0.1738410313022074,Macrophage,ATII,0.013161355170413423,098C,control,consensus
VEGFA,VEGFA,0.36,0.03330646888519484,7.978246,CD44,CD44,0.7522123893805309,0.1807428970791356,Macrophage,ATII,0.011896582696543725,098C,control,consensus
