donor,disease,celltype,compartment,cells,eligible
001C,control,ATII,epithelial,10,False
001C,control,Fibroblast,fibroblast,9,False
001C,control,Macrophage,myeloid,390,True
001C,control,Macrophage_Alveolar,myeloid,480,True
001C,control,Myofibroblast,fibroblast,7,False
002C,control,ATII,epithelial,4,False
002C,control,Macrophage,myeloid,436,True
002C,control,Macrophage_Alveolar,myeloid,142,True
003C,control,ATII,epithelial,15,False
003C,control,Fibroblast,fibroblast,24,False
003C,control,Macrophage,myeloid,1097,True
003C,control,Macrophage_Alveolar,myeloid,953,True
003C,control,Myofibroblast,fibroblast,16,False
010I,IPF,ATII,epithelial,31,False
010I,IPF,Fibroblast,fibroblast,55,True
010I,IPF,Macrophage,myeloid,2031,True
010I,IPF,Macrophage_Alveolar,myeloid,771,True
010I,IPF,Myofibroblast,fibroblast,12,False
021I,IPF,ATII,epithelial,20,False
021I,IPF,Fibroblast,fibroblast,120,True
021I,IPF,Macrophage,myeloid,612,True
021I,IPF,Macrophage_Alveolar,myeloid,210,True
021I,IPF,Myofibroblast,fibroblast,286,True
022I,IPF,ATII,epithelial,53,True
022I,IPF,Fibroblast,fibroblast,134,True
022I,IPF,Macrophage,myeloid,1145,True
022I,IPF,Macrophage_Alveolar,myeloid,1079,True
022I,IPF,Myofibroblast,fibroblast,291,True
025I,IPF,ATII,epithelial,1,False
025I,IPF,Fibroblast,fibroblast,16,False
025I,IPF,Macrophage,myeloid,845,True
025I,IPF,Macrophage_Alveolar,myeloid,1761,True
025I,IPF,Myofibroblast,fibroblast,16,False
034C,control,ATII,epithelial,2,False
034C,control,Fibroblast,fibroblast,3,False
034C,control,Macrophage,myeloid,481,True
034C,control,Macrophage_Alveolar,myeloid,120,True
034I,IPF,ATII,epithelial,19,False
034I,IPF,Fibroblast,fibroblast,38,False
034I,IPF,Macrophage,myeloid,1656,True
034I,IPF,Macrophage_Alveolar,myeloid,21,False
034I,IPF,Myofibroblast,fibroblast,419,True
040I,IPF,ATII,epithelial,12,False
040I,IPF,Fibroblast,fibroblast,102,True
040I,IPF,Macrophage,myeloid,1639,True
040I,IPF,Macrophage_Alveolar,myeloid,1700,True
040I,IPF,Myofibroblast,fibroblast,146,True
041I,IPF,ATII,epithelial,4,False
041I,IPF,Fibroblast,fibroblast,92,True
041I,IPF,Macrophage,myeloid,2008,True
041I,IPF,Macrophage_Alveolar,myeloid,360,True
041I,IPF,Myofibroblast,fibroblast,37,False
051I,IPF,ATII,epithelial,3,False
051I,IPF,Fibroblast,fibroblast,144,True
051I,IPF,Macrophage,myeloid,4120,True
051I,IPF,Macrophage_Alveolar,myeloid,74,True
051I,IPF,Myofibroblast,fibroblast,219,True
053I,IPF,ATII,epithelial,2,False
053I,IPF,Fibroblast,fibroblast,10,False
053I,IPF,Macrophage,myeloid,1707,True
053I,IPF,Macrophage_Alveolar,myeloid,525,True
053I,IPF,Myofibroblast,fibroblast,18,False
063I,IPF,ATII,epithelial,9,False
063I,IPF,Fibroblast,fibroblast,10,False
063I,IPF,Macrophage,myeloid,544,True
063I,IPF,Macrophage_Alveolar,myeloid,2047,True
063I,IPF,Myofibroblast,fibroblast,229,True
065C,control,ATII,epithelial,2,False
065C,control,Fibroblast,fibroblast,12,False
065C,control,Macrophage,myeloid,1123,True
065C,control,Macrophage_Alveolar,myeloid,366,True
081C,control,ATII,epithelial,1,False
081C,control,Fibroblast,fibroblast,1,False
081C,control,Macrophage,myeloid,830,True
081C,control,Macrophage_Alveolar,myeloid,15,False
084C,control,ATII,epithelial,2,False
084C,control,Fibroblast,fibroblast,3,False
084C,control,Macrophage,myeloid,157,True
084C,control,Macrophage_Alveolar,myeloid,191,True
084C,control,Myofibroblast,fibroblast,2,False
092C,control,Macrophage,myeloid,1345,True
092C,control,Macrophage_Alveolar,myeloid,2633,True
098C,control,ATII,epithelial,113,True
098C,control,Fibroblast,fibroblast,177,True
098C,control,Macrophage,myeloid,1333,True
098C,control,Macrophage_Alveolar,myeloid,4160,True
098C,control,Myofibroblast,fibroblast,24,False
123I,IPF,ATII,epithelial,4,False
123I,IPF,Fibroblast,fibroblast,44,False
123I,IPF,Macrophage,myeloid,751,True
123I,IPF,Macrophage_Alveolar,myeloid,246,True
123I,IPF,Myofibroblast,fibroblast,29,False
133C,control,ATII,epithelial,1514,True
133C,control,Fibroblast,fibroblast,1,False
133C,control,Macrophage,myeloid,4339,True
133C,control,Macrophage_Alveolar,myeloid,1136,True
133C,control,Myofibroblast,fibroblast,1,False
135I,IPF,ATII,epithelial,15,False
135I,IPF,Fibroblast,fibroblast,72,True
135I,IPF,Macrophage,myeloid,3638,True
135I,IPF,Macrophage_Alveolar,myeloid,349,True
135I,IPF,Myofibroblast,fibroblast,9,False
1372C,control,ATII,epithelial,119,True
1372C,control,Fibroblast,fibroblast,190,True
1372C,control,Macrophage,myeloid,1774,True
1372C,control,Macrophage_Alveolar,myeloid,844,True
1372C,control,Myofibroblast,fibroblast,5,False
137C,control,ATII,epithelial,4,False
137C,control,Fibroblast,fibroblast,12,False
137C,control,Macrophage,myeloid,478,True
137C,control,Macrophage_Alveolar,myeloid,217,True
137C,control,Myofibroblast,fibroblast,2,False
138I,IPF,ATII,epithelial,12,False
138I,IPF,Fibroblast,fibroblast,187,True
138I,IPF,Macrophage,myeloid,1889,True
138I,IPF,Macrophage_Alveolar,myeloid,30,False
138I,IPF,Myofibroblast,fibroblast,77,True
145I,IPF,ATII,epithelial,7,False
145I,IPF,Fibroblast,fibroblast,3,False
145I,IPF,Macrophage,myeloid,1333,True
145I,IPF,Macrophage_Alveolar,myeloid,1337,True
145I,IPF,Myofibroblast,fibroblast,2,False
157I,IPF,ATII,epithelial,43,False
157I,IPF,Fibroblast,fibroblast,26,False
157I,IPF,Macrophage,myeloid,3222,True
157I,IPF,Macrophage_Alveolar,myeloid,825,True
157I,IPF,Myofibroblast,fibroblast,14,False
158I,IPF,ATII,epithelial,123,True
158I,IPF,Fibroblast,fibroblast,27,False
158I,IPF,Macrophage,myeloid,2453,True
158I,IPF,Macrophage_Alveolar,myeloid,1374,True
158I,IPF,Myofibroblast,fibroblast,16,False
160C,control,ATII,epithelial,55,True
160C,control,Fibroblast,fibroblast,33,False
160C,control,Macrophage,myeloid,2666,True
160C,control,Macrophage_Alveolar,myeloid,1141,True
160C,control,Myofibroblast,fibroblast,14,False
166I,IPF,ATII,epithelial,34,False
166I,IPF,Fibroblast,fibroblast,23,False
166I,IPF,Macrophage,myeloid,2495,True
166I,IPF,Macrophage_Alveolar,myeloid,1361,True
166I,IPF,Myofibroblast,fibroblast,49,False
174I,IPF,ATII,epithelial,4,False
174I,IPF,Fibroblast,fibroblast,52,True
174I,IPF,Macrophage,myeloid,1503,True
174I,IPF,Macrophage_Alveolar,myeloid,1470,True
174I,IPF,Myofibroblast,fibroblast,27,False
177I,IPF,ATII,epithelial,10,False
177I,IPF,Fibroblast,fibroblast,40,False
177I,IPF,Macrophage,myeloid,1360,True
177I,IPF,Macrophage_Alveolar,myeloid,3049,True
177I,IPF,Myofibroblast,fibroblast,5,False
179I,IPF,ATII,epithelial,1,False
179I,IPF,Fibroblast,fibroblast,5,False
179I,IPF,Macrophage,myeloid,2283,True
179I,IPF,Macrophage_Alveolar,myeloid,707,True
179I,IPF,Myofibroblast,fibroblast,14,False
192C,control,ATII,epithelial,87,True
192C,control,Fibroblast,fibroblast,111,True
192C,control,Macrophage,myeloid,2797,True
192C,control,Macrophage_Alveolar,myeloid,287,True
192C,control,Myofibroblast,fibroblast,5,False
208C,control,ATII,epithelial,2,False
208C,control,Fibroblast,fibroblast,4,False
208C,control,Macrophage,myeloid,1407,True
208C,control,Macrophage_Alveolar,myeloid,340,True
208C,control,Myofibroblast,fibroblast,3,False
209I,IPF,Fibroblast,fibroblast,16,False
209I,IPF,Macrophage,myeloid,2228,True
209I,IPF,Macrophage_Alveolar,myeloid,591,True
209I,IPF,Myofibroblast,fibroblast,17,False
210I,IPF,ATII,epithelial,1,False
210I,IPF,Fibroblast,fibroblast,1,False
210I,IPF,Macrophage,myeloid,1379,True
210I,IPF,Macrophage_Alveolar,myeloid,486,True
210I,IPF,Myofibroblast,fibroblast,1,False
212I,IPF,ATII,epithelial,1,False
212I,IPF,Macrophage,myeloid,1788,True
212I,IPF,Macrophage_Alveolar,myeloid,596,True
212I,IPF,Myofibroblast,fibroblast,8,False
214I,IPF,ATII,epithelial,2,False
214I,IPF,Fibroblast,fibroblast,3,False
214I,IPF,Macrophage,myeloid,560,True
214I,IPF,Macrophage_Alveolar,myeloid,18,False
214I,IPF,Myofibroblast,fibroblast,3,False
218C,control,ATII,epithelial,43,False
218C,control,Fibroblast,fibroblast,32,False
218C,control,Macrophage,myeloid,3659,True
218C,control,Macrophage_Alveolar,myeloid,160,True
218C,control,Myofibroblast,fibroblast,12,False
221I,IPF,ATII,epithelial,3,False
221I,IPF,Fibroblast,fibroblast,16,False
221I,IPF,Macrophage,myeloid,2746,True
221I,IPF,Macrophage_Alveolar,myeloid,575,True
221I,IPF,Myofibroblast,fibroblast,5,False
222C,control,ATII,epithelial,120,True
222C,control,Fibroblast,fibroblast,85,True
222C,control,Macrophage,myeloid,2583,True
222C,control,Macrophage_Alveolar,myeloid,2779,True
222C,control,Myofibroblast,fibroblast,52,True
222I,IPF,ATII,epithelial,11,False
222I,IPF,Fibroblast,fibroblast,44,False
222I,IPF,Macrophage,myeloid,3723,True
222I,IPF,Macrophage_Alveolar,myeloid,824,True
222I,IPF,Myofibroblast,fibroblast,49,False
225I,IPF,ATII,epithelial,60,True
225I,IPF,Fibroblast,fibroblast,36,False
225I,IPF,Macrophage,myeloid,5193,True
225I,IPF,Macrophage_Alveolar,myeloid,2893,True
225I,IPF,Myofibroblast,fibroblast,572,True
226C,control,ATII,epithelial,133,True
226C,control,Fibroblast,fibroblast,28,False
226C,control,Macrophage,myeloid,9042,True
226C,control,Macrophage_Alveolar,myeloid,225,True
226C,control,Myofibroblast,fibroblast,4,False
228I,IPF,ATII,epithelial,4,False
228I,IPF,Fibroblast,fibroblast,55,True
228I,IPF,Macrophage,myeloid,2032,True
228I,IPF,Macrophage_Alveolar,myeloid,183,True
228I,IPF,Myofibroblast,fibroblast,185,True
244C,control,Fibroblast,fibroblast,4,False
244C,control,Macrophage,myeloid,24,False
244C,control,Macrophage_Alveolar,myeloid,5,False
244C,control,Myofibroblast,fibroblast,2,False
253C,control,ATII,epithelial,3,False
253C,control,Fibroblast,fibroblast,11,False
253C,control,Macrophage,myeloid,226,True
253C,control,Macrophage_Alveolar,myeloid,124,True
253C,control,Myofibroblast,fibroblast,12,False
296C,control,ATII,epithelial,88,True
296C,control,Fibroblast,fibroblast,15,False
296C,control,Macrophage,myeloid,636,True
296C,control,Macrophage_Alveolar,myeloid,1276,True
296C,control,Myofibroblast,fibroblast,11,False
29I,IPF,ATII,epithelial,4,False
29I,IPF,Fibroblast,fibroblast,5,False
29I,IPF,Macrophage,myeloid,463,True
29I,IPF,Macrophage_Alveolar,myeloid,451,True
388C,control,ATII,epithelial,7,False
388C,control,Fibroblast,fibroblast,32,False
