"cohort","compartment","label","cell_floor","genes_tested","residual_df","eligible_sets"
"GSE135893","AT2","__broad__",50,10469,12,8
"GSE135893","AT2","__broad__",30,10469,12,8
"GSE135893","AT2","__broad__",100,11494,8,8
"GSE135893","AT2","AT2",50,10469,12,8
"GSE135893","AT2","AT2",30,10469,12,8
"GSE135893","AT2","AT2",100,11494,8,8
"GSE135893","fibroblasts","__broad__",50,8135,8,6
"GSE135893","fibroblasts","__broad__",30,8135,8,6
"GSE135893","fibroblasts","Myofibroblasts",30,6525,7,6
"GSE135893","macrophages","__broad__",50,11573,19,7
"GSE135893","macrophages","__broad__",30,11573,19,7
"GSE135893","macrophages","__broad__",100,11573,19,7
"GSE135893","macrophages","Macrophages",50,11414,19,7
"GSE135893","macrophages","Macrophages",30,11414,19,7
"GSE135893","macrophages","Macrophages",100,11414,19,7
