donor,disease,label,gene,cells,detected_cells,detection_fraction,count_sum,full_library_sum,mean_normalized_10000,cohort
001C,control,Lymphatic,CASP1,50,3,0.06,3,152687,0.2079628810088434,GSE136831
001C,control,Lymphatic,GSDMD,50,11,0.22,12,152687,0.6398813687017655,GSE136831
001C,control,Lymphatic,IL1A,50,0,0.0,0,152687,0.0,GSE136831
001C,control,Lymphatic,IL1B,50,0,0.0,0,152687,0.0,GSE136831
001C,control,Lymphatic,IL1R1,50,2,0.04,2,152687,0.1699416561347622,GSE136831
001C,control,Lymphatic,IL1R2,50,3,0.06,3,152687,0.1946759044401412,GSE136831
001C,control,Lymphatic,IL1RAP,50,4,0.08,5,152687,0.4131546657012745,GSE136831
001C,control,Lymphatic,IL1RN,50,0,0.0,0,152687,0.0,GSE136831
001C,control,Lymphatic,NLRP3,50,0,0.0,0,152687,0.0,GSE136831
001C,control,Lymphatic,PYCARD,50,3,0.06,3,152687,0.2085913771192979,GSE136831
001C,control,Lymphatic,SIGIRR,50,5,0.1,5,152687,0.4281603133368699,GSE136831
001C,control,Macrophage,CASP1,390,77,0.1974358974358974,92,2206538,0.4312672820392411,GSE136831
001C,control,Macrophage,GSDMD,390,42,0.1076923076923077,49,2206538,0.1851771557302197,GSE136831
001C,control,Macrophage,IL1A,390,9,0.023076923076923,16,2206538,0.0834206344536611,GSE136831
001C,control,Macrophage,IL1B,390,55,0.141025641025641,152,2206538,0.7895187523340546,GSE136831
001C,control,Macrophage,IL1R1,390,53,0.1358974358974359,78,2206538,0.4819692413790348,GSE136831
001C,control,Macrophage,IL1R2,390,127,0.3256410256410256,350,2206538,1.9057097507317704,GSE136831
001C,control,Macrophage,IL1RAP,390,120,0.3076923076923077,205,2206538,1.1140333576032897,GSE136831
001C,control,Macrophage,IL1RN,390,46,0.1179487179487179,189,2206538,0.5143048775109381,GSE136831
001C,control,Macrophage,NLRP3,390,92,0.2358974358974359,153,2206538,0.8590703383315673,GSE136831
001C,control,Macrophage,PYCARD,390,202,0.517948717948718,453,2206538,1.725796384625001,GSE136831
001C,control,Macrophage,SIGIRR,390,45,0.1153846153846153,51,2206538,0.2395823144424393,GSE136831
001C,control,Macrophage_Alveolar,CASP1,480,163,0.3395833333333333,251,3751121,0.5766987806708914,GSE136831
001C,control,Macrophage_Alveolar,GSDMD,480,82,0.1708333333333333,98,3751121,0.2379822612158039,GSE136831
001C,control,Macrophage_Alveolar,IL1A,480,49,0.1020833333333333,72,3751121,0.1954780913707274,GSE136831
001C,control,Macrophage_Alveolar,IL1B,480,90,0.1875,174,3751121,0.4691814969675145,GSE136831
001C,control,Macrophage_Alveolar,IL1R1,480,8,0.0166666666666666,8,3751121,0.0294307099751994,GSE136831
001C,control,Macrophage_Alveolar,IL1R2,480,38,0.0791666666666666,55,3751121,0.1672891400913841,GSE136831
001C,control,Macrophage_Alveolar,IL1RAP,480,224,0.4666666666666667,402,3751121,1.1647510853996978,GSE136831
001C,control,Macrophage_Alveolar,IL1RN,480,49,0.1020833333333333,75,3751121,0.2003915186873351,GSE136831
001C,control,Macrophage_Alveolar,NLRP3,480,19,0.0395833333333333,19,3751121,0.0639149849694211,GSE136831
001C,control,Macrophage_Alveolar,PYCARD,480,308,0.6416666666666667,836,3751121,2.0205209392554493,GSE136831
001C,control,Macrophage_Alveolar,SIGIRR,480,36,0.075,38,3751121,0.1127825205445112,GSE136831
001C,control,NK,CASP1,61,2,0.0327868852459016,2,125797,0.1569866670473658,GSE136831
001C,control,NK,GSDMD,61,3,0.0491803278688524,3,125797,0.2117947365807702,GSE136831
001C,control,NK,IL1A,61,0,0.0,0,125797,0.0,GSE136831
001C,control,NK,IL1B,61,0,0.0,0,125797,0.0,GSE136831
001C,control,NK,IL1R1,61,0,0.0,0,125797,0.0,GSE136831
001C,control,NK,IL1R2,61,2,0.0327868852459016,2,125797,0.2179997082466131,GSE136831
001C,control,NK,IL1RAP,61,1,0.0163934426229508,1,125797,0.0887091051025477,GSE136831
001C,control,NK,IL1RN,61,0,0.0,0,125797,0.0,GSE136831
001C,control,NK,NLRP3,61,0,0.0,0,125797,0.0,GSE136831
001C,control,NK,PYCARD,61,3,0.0491803278688524,4,125797,0.2737689075228882,GSE136831
001C,control,NK,SIGIRR,61,12,0.1967213114754098,12,125797,0.9127937780154086,GSE136831
001C,control,cMonocyte,CASP1,601,119,0.1980033277870216,144,2323293,0.5913344395215909,GSE136831
001C,control,cMonocyte,GSDMD,601,47,0.0782029950083194,55,2323293,0.2434725061815209,GSE136831
001C,control,cMonocyte,IL1A,601,1,0.0016638935108153,1,2323293,0.0016076265804978,GSE136831
001C,control,cMonocyte,IL1B,601,83,0.1381031613976705,166,2323293,0.6519595467221833,GSE136831
001C,control,cMonocyte,IL1R1,601,60,0.0998336106489184,75,2323293,0.4522597170311999,GSE136831
001C,control,cMonocyte,IL1R2,601,478,0.7953410981697171,3029,2323293,16.180459330812553,GSE136831
001C,control,cMonocyte,IL1RAP,601,279,0.4642262895174708,627,2323293,2.870841832083324,GSE136831
001C,control,cMonocyte,IL1RN,601,30,0.0499168053244592,44,2323293,0.1771967695136533,GSE136831
001C,control,cMonocyte,NLRP3,601,280,0.4658901830282861,550,2323293,2.883708612338772,GSE136831
001C,control,cMonocyte,PYCARD,601,341,0.56738768718802,682,2323293,2.7859434546744954,GSE136831
001C,control,cMonocyte,SIGIRR,601,59,0.0981697171381031,72,2323293,0.2844710778833157,GSE136831
002C,control,Macrophage,CASP1,436,55,0.1261467889908256,77,3730789,0.220519595193771,GSE136831
002C,control,Macrophage,GSDMD,436,88,0.2018348623853211,115,3730789,0.2590797315083828,GSE136831
002C,control,Macrophage,IL1A,436,14,0.0321100917431192,37,3730789,0.0884384510234365,GSE136831
002C,control,Macrophage,IL1B,436,89,0.2041284403669724,497,3730789,1.497585278607285,GSE136831
002C,control,Macrophage,IL1R1,436,50,0.1146788990825688,58,3730789,0.1853996366976867,GSE136831
002C,control,Macrophage,IL1R2,436,139,0.3188073394495412,558,3730789,1.6448122734432062,GSE136831
002C,control,Macrophage,IL1RAP,436,211,0.4839449541284403,471,3730789,1.4435865298038966,GSE136831
002C,control,Macrophage,IL1RN,436,33,0.0756880733944954,65,3730789,0.1821433032057427,GSE136831
002C,control,Macrophage,NLRP3,436,137,0.3142201834862385,308,3730789,0.9295016242100836,GSE136831
002C,control,Macrophage,PYCARD,436,279,0.6399082568807339,776,3730789,1.8372126625569103,GSE136831
002C,control,Macrophage,SIGIRR,436,81,0.1857798165137614,98,3730789,0.3014862960800717,GSE136831
002C,control,Macrophage_Alveolar,CASP1,142,43,0.3028169014084507,55,1261884,0.4062763343072552,GSE136831
002C,control,Macrophage_Alveolar,GSDMD,142,32,0.2253521126760563,44,1261884,0.3107992288843842,GSE136831
002C,control,Macrophage_Alveolar,IL1A,142,13,0.0915492957746478,28,1261884,0.2684436940307456,GSE136831
002C,control,Macrophage_Alveolar,IL1B,142,31,0.2183098591549295,121,1261884,1.13897080943763,GSE136831
002C,control,Macrophage_Alveolar,IL1R1,142,2,0.0140845070422535,2,1261884,0.0133063028427217,GSE136831
002C,control,Macrophage_Alveolar,IL1R2,142,18,0.1267605633802817,22,1261884,0.2005215269316594,GSE136831
002C,control,Macrophage_Alveolar,IL1RAP,142,88,0.6197183098591549,210,1261884,1.6918298971929628,GSE136831
002C,control,Macrophage_Alveolar,IL1RN,142,21,0.1478873239436619,29,1261884,0.2128072886805872,GSE136831
002C,control,Macrophage_Alveolar,NLRP3,142,20,0.1408450704225352,29,1261884,0.258082262587273,GSE136831
002C,control,Macrophage_Alveolar,PYCARD,142,103,0.7253521126760564,269,1261884,2.02366706585201,GSE136831
002C,control,Macrophage_Alveolar,SIGIRR,142,19,0.1338028169014084,23,1261884,0.1471582766857726,GSE136831
003C,control,B,CASP1,122,10,0.081967213114754,12,446313,0.1820454025849747,GSE136831
003C,control,B,GSDMD,122,13,0.1065573770491803,20,446313,0.5177670297560859,GSE136831
003C,control,B,IL1A,122,0,0.0,0,446313,0.0,GSE136831
003C,control,B,IL1B,122,0,0.0,0,446313,0.0,GSE136831
003C,control,B,IL1R1,122,1,0.0081967213114754,1,446313,0.0336206780618351,GSE136831
