donor,disease,label,cells,recovered_donor_cells,recovered_cell_fraction
001C,control,ATI,40,1862,0.021482277121374866
001C,control,ATII,10,1862,0.0053705692803437165
001C,control,B,32,1862,0.017185821697099892
001C,control,B_Plasma,8,1862,0.004296455424274973
001C,control,Basal,19,1862,0.01020408163265306
001C,control,Ciliated,14,1862,0.007518796992481203
001C,control,Club,14,1862,0.007518796992481203
001C,control,Fibroblast,9,1862,0.004833512352309345
001C,control,Goblet,1,1862,0.0005370569280343716
001C,control,ILC_A,4,1862,0.0021482277121374865
001C,control,ILC_B,3,1862,0.001611170784103115
001C,control,Lymphatic,50,1862,0.02685284640171858
001C,control,Macrophage,390,1862,0.20945220193340494
001C,control,Macrophage_Alveolar,480,1862,0.2577873254564984
001C,control,Mesothelial,1,1862,0.0005370569280343716
001C,control,Multiplet,13,1862,0.006981740064446832
001C,control,Myofibroblast,7,1862,0.0037593984962406013
001C,control,NK,61,1862,0.03276047261009667
001C,control,SMC,1,1862,0.0005370569280343716
001C,control,T,14,1862,0.007518796992481203
001C,control,T_Cytotoxic,25,1862,0.01342642320085929
001C,control,T_Regulatory,3,1862,0.001611170784103115
001C,control,VE_Arterial,4,1862,0.0021482277121374865
001C,control,VE_Capillary_A,4,1862,0.0021482277121374865
001C,control,VE_Capillary_B,6,1862,0.00322234156820623
001C,control,VE_Venous,6,1862,0.00322234156820623
001C,control,cDC2,25,1862,0.01342642320085929
001C,control,cMonocyte,601,1862,0.32277121374865736
001C,control,ncMonocyte,17,1862,0.009129967776584319
002C,control,ATII,4,700,0.005714285714285714
002C,control,B,17,700,0.024285714285714285
002C,control,Ciliated,15,700,0.02142857142857143
002C,control,DC_Langerhans,1,700,0.0014285714285714286
002C,control,ILC_A,1,700,0.0014285714285714286
002C,control,Macrophage,436,700,0.6228571428571429
002C,control,Macrophage_Alveolar,142,700,0.20285714285714285
002C,control,Mast,2,700,0.002857142857142857
002C,control,Multiplet,7,700,0.01
002C,control,NK,8,700,0.011428571428571429
002C,control,T,20,700,0.02857142857142857
002C,control,T_Cytotoxic,12,700,0.017142857142857144
002C,control,T_Regulatory,3,700,0.004285714285714286
002C,control,VE_Capillary_B,2,700,0.002857142857142857
002C,control,cDC1,1,700,0.0014285714285714286
002C,control,cDC2,6,700,0.008571428571428572
002C,control,cMonocyte,20,700,0.02857142857142857
002C,control,ncMonocyte,3,700,0.004285714285714286
003C,control,ATI,3,3460,0.0008670520231213873
003C,control,ATII,15,3460,0.004335260115606936
003C,control,B,122,3460,0.03526011560693642
003C,control,B_Plasma,21,3460,0.0060693641618497106
003C,control,Ciliated,26,3460,0.007514450867052023
003C,control,Club,17,3460,0.004913294797687861
003C,control,DC_Langerhans,2,3460,0.0005780346820809249
003C,control,DC_Mature,8,3460,0.0023121387283236996
003C,control,Fibroblast,24,3460,0.006936416184971098
003C,control,Goblet,4,3460,0.0011560693641618498
003C,control,ILC_A,13,3460,0.0037572254335260114
003C,control,ILC_B,6,3460,0.0017341040462427746
