cohort,resource,donor,config,primary_pair_eligible,primary_edges,alternative_edges,common_edges,union_edges,availability_jaccard,common_edge_rank_spearman
GSE136831,cellchatdb,010I,cap500_seed1,True,31.0,31,31.0,31.0,1.0,0.9977961432506888
GSE136831,cellchatdb,010I,cap500_seed2,True,31.0,32,31.0,32.0,0.96875,1.0
GSE136831,cellchatdb,010I,floor30,True,31.0,83,31.0,83.0,0.37349397590361444,1.0
GSE136831,cellchatdb,010I,expression005,True,31.0,48,31.0,48.0,0.6458333333333334,1.0
GSE136831,cellchatdb,010I,expression020,True,31.0,15,15.0,31.0,0.4838709677419355,1.0
GSE136831,cellchatdb,021I,cap500_seed1,True,70.0,70,70.0,70.0,1.0,1.0
GSE136831,cellchatdb,021I,cap500_seed2,True,70.0,70,70.0,70.0,1.0,0.9999511480214951
GSE136831,cellchatdb,021I,floor30,True,70.0,70,70.0,70.0,1.0,1.0
GSE136831,cellchatdb,021I,floor100,True,70.0,70,70.0,70.0,1.0,1.0
GSE136831,cellchatdb,021I,expression005,True,70.0,142,70.0,142.0,0.49295774647887325,1.0
GSE136831,cellchatdb,021I,expression020,True,70.0,36,36.0,70.0,0.5142857142857142,1.0
GSE136831,cellchatdb,022I,cap500_seed1,True,112.0,112,112.0,112.0,1.0,0.986630573323492
GSE136831,cellchatdb,022I,cap500_seed2,True,112.0,112,112.0,112.0,1.0,0.9865576327569505
GSE136831,cellchatdb,022I,floor30,True,112.0,112,112.0,112.0,1.0,0.9999999999999999
GSE136831,cellchatdb,022I,floor100,True,112.0,59,59.0,112.0,0.5267857142857143,1.0
GSE136831,cellchatdb,022I,expression005,True,112.0,248,112.0,248.0,0.45161290322580644,0.9999999999999999
GSE136831,cellchatdb,022I,expression020,True,112.0,50,50.0,112.0,0.44642857142857145,1.0
GSE136831,cellchatdb,034I,cap500_seed1,True,12.0,12,12.0,12.0,1.0,0.9999999999999999
GSE136831,cellchatdb,034I,cap500_seed2,True,12.0,12,12.0,12.0,1.0,0.9999999999999999
GSE136831,cellchatdb,034I,floor30,True,12.0,22,12.0,22.0,0.5454545454545454,0.9999999999999999
GSE136831,cellchatdb,034I,floor100,True,12.0,12,12.0,12.0,1.0,0.9999999999999999
GSE136831,cellchatdb,034I,expression005,True,12.0,38,12.0,38.0,0.3157894736842105,0.9999999999999999
GSE136831,cellchatdb,034I,expression020,True,12.0,6,6.0,12.0,0.5,1.0
GSE136831,cellchatdb,040I,cap500_seed1,True,74.0,72,72.0,74.0,0.972972972972973,0.9982180389289959
GSE136831,cellchatdb,040I,cap500_seed2,True,74.0,81,74.0,81.0,0.9135802469135802,0.9589759772962468
GSE136831,cellchatdb,040I,floor30,True,74.0,74,74.0,74.0,1.0,1.0
GSE136831,cellchatdb,040I,floor100,True,74.0,74,74.0,74.0,1.0,1.0
GSE136831,cellchatdb,040I,expression005,True,74.0,134,74.0,134.0,0.5522388059701493,1.0
GSE136831,cellchatdb,040I,expression020,True,74.0,29,29.0,74.0,0.3918918918918919,0.9999999999999998
GSE136831,cellchatdb,041I,cap500_seed1,True,36.0,36,36.0,36.0,1.0,0.9987577639751554
GSE136831,cellchatdb,041I,cap500_seed2,True,36.0,37,36.0,37.0,0.972972972972973,0.9797715267849765
GSE136831,cellchatdb,041I,floor30,True,36.0,72,36.0,72.0,0.5,1.0
GSE136831,cellchatdb,041I,expression005,True,36.0,72,36.0,72.0,0.5,1.0
GSE136831,cellchatdb,041I,expression020,True,36.0,21,21.0,36.0,0.5833333333333334,1.0
GSE136831,cellchatdb,051I,cap500_seed1,True,51.0,51,51.0,51.0,1.0,0.9998604326587578
GSE136831,cellchatdb,051I,cap500_seed2,True,51.0,51,51.0,51.0,1.0,0.9998604326587578
GSE136831,cellchatdb,051I,floor30,True,51.0,51,51.0,51.0,1.0,1.0
GSE136831,cellchatdb,051I,floor100,True,51.0,25,25.0,51.0,0.49019607843137253,1.0
GSE136831,cellchatdb,051I,expression005,True,51.0,100,51.0,100.0,0.51,1.0
GSE136831,cellchatdb,051I,expression020,True,51.0,30,30.0,51.0,0.5882352941176471,1.0
GSE136831,cellchatdb,063I,cap500_seed1,True,20.0,21,20.0,21.0,0.9523809523809523,1.0
GSE136831,cellchatdb,063I,cap500_seed2,True,20.0,20,20.0,20.0,1.0,1.0
GSE136831,cellchatdb,063I,floor30,True,20.0,20,20.0,20.0,1.0,1.0
GSE136831,cellchatdb,063I,floor100,True,20.0,20,20.0,20.0,1.0,1.0
GSE136831,cellchatdb,063I,expression005,True,20.0,41,20.0,41.0,0.4878048780487805,1.0
GSE136831,cellchatdb,063I,expression020,True,20.0,6,6.0,20.0,0.3,1.0
GSE136831,cellchatdb,098C,cap500_seed1,True,27.0,29,27.0,29.0,0.9310344827586207,1.0
GSE136831,cellchatdb,098C,cap500_seed2,True,27.0,27,26.0,28.0,0.9285714285714286,1.0
GSE136831,cellchatdb,098C,floor30,True,27.0,27,27.0,27.0,1.0,1.0
GSE136831,cellchatdb,098C,floor100,True,27.0,27,27.0,27.0,1.0,1.0
GSE136831,cellchatdb,098C,expression005,True,27.0,93,27.0,93.0,0.2903225806451613,1.0
GSE136831,cellchatdb,098C,expression020,True,27.0,14,14.0,27.0,0.5185185185185185,1.0
GSE136831,cellchatdb,123I,floor30,False,,29,,,,
GSE136831,cellchatdb,133C,cap500_seed1,True,17.0,17,17.0,17.0,1.0,1.0
GSE136831,cellchatdb,133C,cap500_seed2,True,17.0,17,17.0,17.0,1.0,1.0
GSE136831,cellchatdb,133C,floor30,True,17.0,17,17.0,17.0,1.0,1.0
GSE136831,cellchatdb,133C,floor100,True,17.0,17,17.0,17.0,1.0,1.0
GSE136831,cellchatdb,133C,expression005,True,17.0,36,17.0,36.0,0.4722222222222222,1.0
GSE136831,cellchatdb,133C,expression020,True,17.0,9,9.0,17.0,0.5294117647058824,1.0
GSE136831,cellchatdb,135I,cap500_seed1,True,27.0,27,27.0,27.0,1.0,1.0
GSE136831,cellchatdb,135I,cap500_seed2,True,27.0,28,27.0,28.0,0.9642857142857143,1.0
GSE136831,cellchatdb,135I,floor30,True,27.0,27,27.0,27.0,1.0,1.0
GSE136831,cellchatdb,135I,expression005,True,27.0,42,27.0,42.0,0.6428571428571429,1.0
GSE136831,cellchatdb,135I,expression020,True,27.0,12,12.0,27.0,0.4444444444444444,1.0
GSE136831,cellchatdb,1372C,cap500_seed1,True,53.0,57,53.0,57.0,0.9298245614035088,0.9171621976813567
GSE136831,cellchatdb,1372C,cap500_seed2,True,53.0,57,53.0,57.0,0.9298245614035088,0.8922036505231833
GSE136831,cellchatdb,1372C,floor30,True,53.0,53,53.0,53.0,1.0,1.0
GSE136831,cellchatdb,1372C,floor100,True,53.0,53,53.0,53.0,1.0,1.0
GSE136831,cellchatdb,1372C,expression005,True,53.0,155,53.0,155.0,0.3419354838709677,1.0
GSE136831,cellchatdb,1372C,expression020,True,53.0,29,29.0,53.0,0.5471698113207547,1.0
GSE136831,cellchatdb,138I,cap500_seed1,True,42.0,42,42.0,42.0,1.0,1.0
GSE136831,cellchatdb,138I,cap500_seed2,True,42.0,42,42.0,42.0,1.0,1.0
GSE136831,cellchatdb,138I,floor30,True,42.0,83,42.0,83.0,0.5060240963855421,1.0
GSE136831,cellchatdb,138I,floor100,True,42.0,22,22.0,42.0,0.5238095238095238,1.0
GSE136831,cellchatdb,138I,expression005,True,42.0,67,42.0,67.0,0.6268656716417911,1.0
GSE136831,cellchatdb,138I,expression020,True,42.0,19,19.0,42.0,0.4523809523809524,1.0
GSE136831,cellchatdb,157I,floor30,False,,27,,,,
GSE136831,cellchatdb,158I,cap500_seed1,True,8.0,8,8.0,8.0,1.0,0.9761904761904763
GSE136831,cellchatdb,158I,cap500_seed2,True,8.0,8,8.0,8.0,1.0,0.9761904761904763
GSE136831,cellchatdb,158I,floor30,True,8.0,8,8.0,8.0,1.0,1.0
GSE136831,cellchatdb,158I,floor100,True,8.0,8,8.0,8.0,1.0,1.0
GSE136831,cellchatdb,158I,expression005,True,8.0,27,8.0,27.0,0.2962962962962963,1.0
GSE136831,cellchatdb,158I,expression020,True,8.0,8,8.0,8.0,1.0,1.0
GSE136831,cellchatdb,160C,cap500_seed1,True,12.0,12,12.0,12.0,1.0,1.0
GSE136831,cellchatdb,160C,cap500_seed2,True,12.0,12,12.0,12.0,1.0,1.0
GSE136831,cellchatdb,160C,floor30,True,12.0,65,12.0,65.0,0.18461538461538463,1.0
GSE136831,cellchatdb,160C,expression005,True,12.0,33,12.0,33.0,0.36363636363636365,1.0
GSE136831,cellchatdb,160C,expression020,True,12.0,6,6.0,12.0,0.5,1.0
GSE136831,cellchatdb,166I,floor30,False,,51,,,,
GSE136831,cellchatdb,174I,cap500_seed1,True,28.0,28,28.0,28.0,1.0,0.9973100201748488
GSE136831,cellchatdb,174I,cap500_seed2,True,28.0,31,28.0,31.0,0.9032258064516129,0.9932750504371218
GSE136831,cellchatdb,174I,floor30,True,28.0,28,28.0,28.0,1.0,1.0
GSE136831,cellchatdb,174I,expression005,True,28.0,59,28.0,59.0,0.4745762711864407,1.0
GSE136831,cellchatdb,174I,expression020,True,28.0,14,14.0,28.0,0.5,1.0
GSE136831,cellchatdb,177I,floor30,False,,15,,,,
GSE136831,cellchatdb,192C,cap500_seed1,True,89.0,89,89.0,89.0,1.0,1.0
GSE136831,cellchatdb,192C,cap500_seed2,True,89.0,89,89.0,89.0,1.0,0.9999721137757949
GSE136831,cellchatdb,192C,floor30,True,89.0,89,89.0,89.0,1.0,1.0
GSE136831,cellchatdb,192C,floor100,True,89.0,31,31.0,89.0,0.34831460674157305,1.0
GSE136831,cellchatdb,192C,expression005,True,89.0,233,89.0,233.0,0.38197424892703863,1.0
GSE136831,cellchatdb,192C,expression020,True,89.0,36,36.0,89.0,0.4044943820224719,1.0
GSE136831,cellchatdb,218C,floor30,False,,86,,,,
GSE136831,cellchatdb,222C,cap500_seed1,True,90.0,89,89.0,90.0,0.9888888888888889,0.9997889627519256
GSE136831,cellchatdb,222C,cap500_seed2,True,90.0,90,90.0,90.0,1.0,0.9994858942227365
GSE136831,cellchatdb,222C,floor30,True,90.0,90,90.0,90.0,1.0,1.0
GSE136831,cellchatdb,222C,floor100,True,90.0,20,20.0,90.0,0.2222222222222222,1.0
GSE136831,cellchatdb,222C,expression005,True,90.0,201,90.0,201.0,0.44776119402985076,1.0
GSE136831,cellchatdb,222C,expression020,True,90.0,34,34.0,90.0,0.37777777777777777,1.0
GSE136831,cellchatdb,222I,floor30,False,,55,,,,
GSE136831,cellchatdb,225I,cap500_seed1,True,36.0,44,36.0,44.0,0.8181818181818182,0.9058112528513711
GSE136831,cellchatdb,225I,cap500_seed2,True,36.0,36,36.0,36.0,1.0,0.9710627589214201
GSE136831,cellchatdb,225I,floor30,True,36.0,60,36.0,60.0,0.6,1.0
GSE136831,cellchatdb,225I,floor100,True,36.0,28,28.0,36.0,0.7777777777777778,0.9999999999999999
GSE136831,cellchatdb,225I,expression005,True,36.0,93,36.0,93.0,0.3870967741935484,1.0
GSE136831,cellchatdb,225I,expression020,True,36.0,19,19.0,36.0,0.5277777777777778,1.0
GSE136831,cellchatdb,226C,cap500_seed1,True,20.0,20,20.0,20.0,1.0,0.9969230769230769
GSE136831,cellchatdb,226C,cap500_seed2,True,20.0,20,20.0,20.0,1.0,0.9907692307692308
GSE136831,cellchatdb,226C,floor30,True,20.0,20,20.0,20.0,1.0,1.0
GSE136831,cellchatdb,226C,floor100,True,20.0,20,20.0,20.0,1.0,1.0
GSE136831,cellchatdb,226C,expression005,True,20.0,52,20.0,52.0,0.38461538461538464,1.0
GSE136831,cellchatdb,226C,expression020,True,20.0,6,6.0,20.0,0.3,1.0
GSE136831,cellchatdb,228I,cap500_seed1,True,72.0,74,72.0,74.0,0.972972972972973,0.9999999999999999
GSE136831,cellchatdb,228I,cap500_seed2,True,72.0,72,72.0,72.0,1.0,0.9999999999999999
