cohort,resource,config,donors,median_edge_overlap,median_common_edge_rank_r
GSE135893,cellchatdb,cap500_seed1,17,1.0,1.0
GSE135893,cellchatdb,cap500_seed2,17,1.0,1.0
GSE135893,cellchatdb,expression005,17,0.5714285714285714,1.0
GSE135893,cellchatdb,expression020,17,0.425,1.0
GSE135893,cellchatdb,floor100,13,1.0,1.0
GSE135893,cellchatdb,floor30,20,1.0,1.0
GSE135893,consensus,cap500_seed1,17,1.0,0.999883304347639
GSE135893,consensus,cap500_seed2,17,1.0,0.9999880867286157
GSE135893,consensus,expression005,17,0.7407407407407407,1.0
GSE135893,consensus,expression020,17,0.5882352941176471,1.0
GSE135893,consensus,floor100,13,1.0,1.0
GSE135893,consensus,floor30,20,1.0,1.0
GSE136831,cellchatdb,cap500_seed1,25,1.0,0.9999999999999999
GSE136831,cellchatdb,cap500_seed2,25,1.0,0.9999999999999999
GSE136831,cellchatdb,expression005,25,0.4722222222222222,1.0
GSE136831,cellchatdb,expression020,25,0.4838709677419355,1.0
GSE136831,cellchatdb,floor100,17,1.0,1.0
GSE136831,cellchatdb,floor30,33,1.0,1.0
GSE136831,consensus,cap500_seed1,25,1.0,0.9989263459748168
GSE136831,consensus,cap500_seed2,25,1.0,0.999452896492225
GSE136831,consensus,expression005,25,0.6071428571428571,1.0
GSE136831,consensus,expression020,25,0.5877862595419847,1.0
GSE136831,consensus,floor100,17,1.0,1.0
GSE136831,consensus,floor30,33,1.0,1.0
