"compartment","label","omitted_donor","direction","n_control","n_IPF","tested_genes","mapped_background","targets","mapped_targets","eligible","reason"
"AT2","ATII","__none__","up",10,3,8246,7475,6,6,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"AT2","ATII","__none__","down",10,3,8246,7475,0,0,FALSE,"fewer_than_ten_mapped_targets_or_no_background_negatives"
"fibroblasts","__broad__","__none__","up",4,18,12501,11147,269,261,TRUE,"eligible"
"fibroblasts","__broad__","__none__","down",4,18,12501,11147,500,435,TRUE,"eligible"
"fibroblasts","__broad__","010I","up",4,17,12710,11315,278,269,TRUE,"eligible"
"fibroblasts","__broad__","010I","down",4,17,12710,11315,533,467,TRUE,"eligible"
"fibroblasts","__broad__","021I","up",4,17,12060,10804,276,268,TRUE,"eligible"
"fibroblasts","__broad__","021I","down",4,17,12060,10804,510,446,TRUE,"eligible"
"fibroblasts","__broad__","022I","up",4,17,12089,10823,243,236,TRUE,"eligible"
"fibroblasts","__broad__","022I","down",4,17,12089,10823,468,411,TRUE,"eligible"
"fibroblasts","__broad__","034I","up",4,17,12075,10810,249,242,TRUE,"eligible"
"fibroblasts","__broad__","034I","down",4,17,12075,10810,461,408,TRUE,"eligible"
"fibroblasts","__broad__","040I","up",4,17,12069,10806,242,234,TRUE,"eligible"
"fibroblasts","__broad__","040I","down",4,17,12069,10806,447,394,TRUE,"eligible"
"fibroblasts","__broad__","041I","up",4,17,12076,10808,278,269,TRUE,"eligible"
"fibroblasts","__broad__","041I","down",4,17,12076,10808,492,436,TRUE,"eligible"
"fibroblasts","__broad__","051I","up",4,17,12062,10796,265,257,TRUE,"eligible"
"fibroblasts","__broad__","051I","down",4,17,12062,10796,457,407,TRUE,"eligible"
"fibroblasts","__broad__","063I","up",4,17,12688,11286,245,239,TRUE,"eligible"
"fibroblasts","__broad__","063I","down",4,17,12688,11286,505,442,TRUE,"eligible"
"fibroblasts","__broad__","098C","up",3,18,13197,11682,152,147,TRUE,"eligible"
"fibroblasts","__broad__","098C","down",3,18,13197,11682,366,323,TRUE,"eligible"
"fibroblasts","__broad__","123I","up",4,17,12714,11316,260,254,TRUE,"eligible"
"fibroblasts","__broad__","123I","down",4,17,12714,11316,519,452,TRUE,"eligible"
"fibroblasts","__broad__","135I","up",4,17,12686,11293,285,276,TRUE,"eligible"
"fibroblasts","__broad__","135I","down",4,17,12686,11293,557,489,TRUE,"eligible"
"fibroblasts","__broad__","1372C","up",3,18,12623,11242,109,105,TRUE,"eligible"
"fibroblasts","__broad__","1372C","down",3,18,12623,11242,280,245,TRUE,"eligible"
"fibroblasts","__broad__","138I","up",4,17,12042,10793,300,289,TRUE,"eligible"
"fibroblasts","__broad__","138I","down",4,17,12042,10793,528,461,TRUE,"eligible"
"fibroblasts","__broad__","166I","up",4,17,12640,11263,239,232,TRUE,"eligible"
"fibroblasts","__broad__","166I","down",4,17,12640,11263,513,449,TRUE,"eligible"
"fibroblasts","__broad__","174I","up",4,17,12659,11270,262,253,TRUE,"eligible"
"fibroblasts","__broad__","174I","down",4,17,12659,11270,497,437,TRUE,"eligible"
"fibroblasts","__broad__","192C","up",3,18,12622,11246,145,141,TRUE,"eligible"
"fibroblasts","__broad__","192C","down",3,18,12622,11246,402,349,TRUE,"eligible"
"fibroblasts","__broad__","222C","up",3,18,13238,11712,166,162,TRUE,"eligible"
"fibroblasts","__broad__","222C","down",3,18,13238,11712,391,345,TRUE,"eligible"
"fibroblasts","__broad__","222I","up",4,17,12696,11304,244,237,TRUE,"eligible"
"fibroblasts","__broad__","222I","down",4,17,12696,11304,495,433,TRUE,"eligible"
"fibroblasts","__broad__","225I","up",4,17,12055,10793,252,245,TRUE,"eligible"
"fibroblasts","__broad__","225I","down",4,17,12055,10793,475,420,TRUE,"eligible"
"fibroblasts","__broad__","228I","up",4,17,12050,10786,296,286,TRUE,"eligible"
"fibroblasts","__broad__","228I","down",4,17,12050,10786,510,447,TRUE,"eligible"
