compartment,label,omitted_donor,direction,ligand,pearson,cohort,scope,rank,ranked_ligands
fibroblasts,Fibroblast,010I,up,AREG,-0.0048126617427917,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,010I,up,CCL2,0.0050152525401138,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,010I,up,HBEGF,0.0017807044846301,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,010I,up,IL1A,-0.0016741303531446,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,010I,up,IL1B,0.0070983119991485,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,010I,up,TGFB1,0.0198945752954204,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,010I,up,VEGFA,0.0029048573860595,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,010I,up,WNT2B,0.0047621877833923,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,010I,up,WNT5B,0.0060249307430579,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,021I,up,AREG,-0.0059728408781755,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,021I,up,CCL2,0.0032130874808821,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,021I,up,HBEGF,8.26521321721982e-05,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,021I,up,IL1A,-0.0027610988026984,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,021I,up,IL1B,0.0043994959331872,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,021I,up,TGFB1,0.0246568102441729,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,021I,up,VEGFA,0.0060978293242902,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,021I,up,WNT2B,0.0033173733161927,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,021I,up,WNT5B,0.0042945015123345,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,022I,up,AREG,-0.0058455116187126,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,022I,up,CCL2,0.0139892992448252,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,022I,up,HBEGF,-0.0007776958266971,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,022I,up,IL1A,-0.002757093658247,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,022I,up,IL1B,0.009040046087039,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,022I,up,TGFB1,0.0222686931033789,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,022I,up,VEGFA,0.0011411215231232,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,022I,up,WNT2B,0.0234705656424943,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,022I,up,WNT5B,0.023816595517925,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,040I,up,AREG,-0.0048422583245001,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,040I,up,CCL2,0.0065256606749724,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,040I,up,HBEGF,0.0003073732473618,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,040I,up,IL1A,-0.0019922845725415,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,040I,up,IL1B,0.008829935476244,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,040I,up,TGFB1,0.0267916380333472,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,040I,up,VEGFA,0.0039357088683683,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,040I,up,WNT2B,0.0047382022129435,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,040I,up,WNT5B,0.0051048785681599,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,051I,up,AREG,-0.006929933136362,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,051I,up,CCL2,0.0096922056875618,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,051I,up,HBEGF,-0.0002868346335857,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,051I,up,IL1A,-0.0029811806839549,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,051I,up,IL1B,0.0009707921858568,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,051I,up,TGFB1,0.0249428619041456,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,051I,up,VEGFA,0.0100253568946222,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,051I,up,WNT2B,0.0051810015732975,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,051I,up,WNT5B,0.0050710707796322,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,135I,up,AREG,-0.005714756676774,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,135I,up,CCL2,0.0122515009843222,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,135I,up,HBEGF,0.0011125409838288,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,135I,up,IL1A,0.0181225629582345,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,135I,up,IL1B,0.0178269730078521,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,135I,up,TGFB1,0.0226766860761006,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,135I,up,VEGFA,0.0156324166529837,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,135I,up,WNT2B,0.0067910250706674,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,135I,up,WNT5B,0.0061107874113695,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,138I,up,AREG,-0.0044812341423295,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,138I,up,CCL2,0.0077713976243465,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,138I,up,HBEGF,0.0009770896143683,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,138I,up,IL1A,-0.0013248841371949,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,138I,up,IL1B,0.0105400440651623,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,138I,up,TGFB1,0.0296933644542826,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,138I,up,VEGFA,0.0049611304743692,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,138I,up,WNT2B,0.0052324902896785,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,138I,up,WNT5B,0.0059039808101148,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,174I,up,AREG,-0.0073427479198109,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,174I,up,CCL2,0.01053578112619,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,174I,up,HBEGF,-0.0015197688696963,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,174I,up,IL1A,0.005677780907582,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,174I,up,IL1B,0.0013478624246233,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,174I,up,TGFB1,0.0218469711303674,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,174I,up,VEGFA,0.0164987044959056,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,174I,up,WNT2B,0.0003376573854104,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,174I,up,WNT5B,0.0021531730143687,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,192C,up,AREG,-0.0038195619826906,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,192C,up,CCL2,0.0181422587239029,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,192C,up,HBEGF,0.0035298125767212,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,192C,up,IL1A,-0.0004690514355335,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,192C,up,IL1B,0.0136763682511151,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,192C,up,TGFB1,0.0173697975491641,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,192C,up,VEGFA,0.0043995133008894,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,192C,up,WNT2B,0.0101385085770696,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,192C,up,WNT5B,0.0091678025886646,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,228I,up,AREG,0.0062263721939531,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,228I,up,CCL2,0.01459728437164,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,228I,up,HBEGF,-0.0018761291296411,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,228I,up,IL1A,0.0013566275362311,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,228I,up,IL1B,0.000836269486683,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,228I,up,TGFB1,0.035479538687568,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,228I,up,VEGFA,0.0320606590581146,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,228I,up,WNT2B,0.0165344584996816,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,228I,up,WNT5B,0.0180731818389006,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,__none__,up,AREG,-0.0066275370638059,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,__none__,up,CCL2,0.0210363980738992,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,__none__,up,HBEGF,-0.0006265951096858,GSE136831,focused_triad,7.0,9
fibroblasts,Fibroblast,__none__,up,IL1A,-0.0031622024080203,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,__none__,up,IL1B,0.0021463498628696,GSE136831,focused_triad,6.0,9
fibroblasts,Fibroblast,__none__,up,TGFB1,0.027839657408977,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,__none__,up,VEGFA,0.0097617459619216,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,__none__,up,WNT2B,0.0046013112510984,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,__none__,up,WNT5B,0.0043380334439576,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,010I,down,AREG,0.0040242348901984,GSE136831,focused_triad,8.0,9
fibroblasts,Fibroblast,010I,down,CCL2,0.0302209966926594,GSE136831,focused_triad,4.0,9
fibroblasts,Fibroblast,010I,down,HBEGF,-0.0014933619060364,GSE136831,focused_triad,9.0,9
fibroblasts,Fibroblast,010I,down,IL1A,0.0550790700411582,GSE136831,focused_triad,1.0,9
fibroblasts,Fibroblast,010I,down,IL1B,0.0388305951895328,GSE136831,focused_triad,2.0,9
fibroblasts,Fibroblast,010I,down,TGFB1,0.0316561195152823,GSE136831,focused_triad,3.0,9
fibroblasts,Fibroblast,010I,down,VEGFA,0.0255039562032346,GSE136831,focused_triad,5.0,9
fibroblasts,Fibroblast,010I,down,WNT2B,0.0169629012303498,GSE136831,focused_triad,7.0,9
