cohort,compartment,label,direction,target_eligible,mapped_targets,scope,eligible_ligands,reason
GSE136831,AT2,ATII,up,False,6,both,0,fewer_than_ten_mapped_targets_or_no_background_negatives
GSE136831,AT2,ATII,down,False,0,both,0,fewer_than_ten_mapped_targets_or_no_background_negatives
GSE136831,fibroblasts,Fibroblast,up,True,18,focused_triad,9,eligible
GSE136831,fibroblasts,Fibroblast,down,True,24,focused_triad,9,eligible
GSE136831,fibroblasts,Fibroblast,up,True,18,source_agnostic_planned_panel,15,eligible
GSE136831,fibroblasts,Fibroblast,down,True,24,source_agnostic_planned_panel,15,eligible
GSE136831,fibroblasts,__broad__,up,True,261,focused_triad,8,eligible
GSE136831,fibroblasts,__broad__,down,True,435,focused_triad,8,eligible
GSE136831,fibroblasts,__broad__,up,True,261,source_agnostic_planned_panel,16,eligible
GSE136831,fibroblasts,__broad__,down,True,435,source_agnostic_planned_panel,16,eligible
GSE136831,macrophages,Macrophage,up,True,3634,focused_triad,7,eligible
GSE136831,macrophages,Macrophage,down,True,2580,focused_triad,7,eligible
GSE136831,macrophages,Macrophage,up,True,3634,source_agnostic_planned_panel,10,eligible
GSE136831,macrophages,Macrophage,down,True,2580,source_agnostic_planned_panel,10,eligible
GSE136831,macrophages,Macrophage_Alveolar,up,True,2874,focused_triad,5,eligible
GSE136831,macrophages,Macrophage_Alveolar,down,True,2564,focused_triad,5,eligible
GSE136831,macrophages,Macrophage_Alveolar,up,True,2874,source_agnostic_planned_panel,8,eligible
GSE136831,macrophages,Macrophage_Alveolar,down,True,2564,source_agnostic_planned_panel,8,eligible
GSE136831,macrophages,__broad__,up,True,3402,focused_triad,7,eligible
GSE136831,macrophages,__broad__,down,True,2800,focused_triad,7,eligible
GSE136831,macrophages,__broad__,up,True,3402,source_agnostic_planned_panel,10,eligible
GSE136831,macrophages,__broad__,down,True,2800,source_agnostic_planned_panel,10,eligible
GSE135893,AT2,AT2,up,True,439,focused_triad,4,eligible
GSE135893,AT2,AT2,down,True,175,focused_triad,4,eligible
GSE135893,AT2,AT2,up,True,439,source_agnostic_planned_panel,12,eligible
GSE135893,AT2,AT2,down,True,175,source_agnostic_planned_panel,12,eligible
GSE135893,fibroblasts,__broad__,up,False,1,both,0,fewer_than_ten_mapped_targets_or_no_background_negatives
GSE135893,fibroblasts,__broad__,down,False,2,both,0,fewer_than_ten_mapped_targets_or_no_background_negatives
GSE135893,macrophages,Macrophages,up,True,422,focused_triad,5,eligible
GSE135893,macrophages,Macrophages,down,True,291,focused_triad,5,eligible
GSE135893,macrophages,Macrophages,up,True,422,source_agnostic_planned_panel,8,eligible
GSE135893,macrophages,Macrophages,down,True,291,source_agnostic_planned_panel,8,eligible
GSE135893,macrophages,__broad__,up,True,395,focused_triad,5,eligible
GSE135893,macrophages,__broad__,down,True,292,focused_triad,5,eligible
GSE135893,macrophages,__broad__,up,True,395,source_agnostic_planned_panel,8,eligible
GSE135893,macrophages,__broad__,down,True,292,source_agnostic_planned_panel,8,eligible
