case,reference,module,section_weighting,n_patients,eligible_primary_count,mean_paired_difference,loo_min,loo_max
LUAD,AAH,GENE_AGER,equal_sections,10,True,-0.006128054785354897,-0.15460376111427987,0.11836701278301913
LUAD,AAH,GENE_AQP5,equal_sections,10,True,0.03418305731658036,0.020528758554425323,0.03814127135805285
LUAD,AAH,GENE_AREG,equal_sections,10,True,0.02717874218790136,0.004169346124062868,0.05475111044348161
LUAD,AAH,GENE_C1QA,equal_sections,10,True,0.3069386577094356,0.16553670968170758,0.37427831990278737
LUAD,AAH,GENE_CCL2,equal_sections,10,True,0.05647479745532759,0.023552886145521066,0.09148772433285723
LUAD,AAH,GENE_CD3D,equal_sections,10,True,0.04343854877010435,0.022940330675008884,0.049125380986313985
LUAD,AAH,GENE_CD8A,equal_sections,10,True,-0.6110054336809682,-0.746070063657428,-0.1252038778385909
LUAD,AAH,GENE_CLDN4,equal_sections,10,True,0.21760646573432285,0.1109144102866397,0.2458898387515355
LUAD,AAH,GENE_COL1A1,equal_sections,10,True,0.6188269774632548,0.45821174468443043,0.6859061412267901
LUAD,AAH,GENE_CXCL12,equal_sections,10,True,0.09144189679722947,0.013716949423406918,0.10992635367155715
LUAD,AAH,GENE_FGF10,equal_sections,10,True,0.003423616491792273,-0.002569414803444196,0.0057004594257472375
LUAD,AAH,GENE_FGF7,equal_sections,10,True,0.04259051277698818,0.0007672803316927287,0.05540274564576074
LUAD,AAH,GENE_HBEGF,equal_sections,10,True,0.005301690509384154,-0.018278872563481336,0.03479921534198562
LUAD,AAH,GENE_IFNG,equal_sections,10,True,0.007223880397691293,0.0036342393283411148,0.009788171283268482
LUAD,AAH,GENE_IL1A,equal_sections,10,True,-0.0008623719560659244,-0.005229260822441783,0.00613055979231674
LUAD,AAH,GENE_IL1B,equal_sections,10,True,-0.004792669078907427,-0.018728272221410575,0.022204400638716912
LUAD,AAH,GENE_IL1R1,equal_sections,10,True,0.09864116150635557,-0.01257197670803171,0.14966414267459172
LUAD,AAH,GENE_IL1R2,equal_sections,10,True,0.004519228334079355,0.0013226535656341051,0.005255557407153661
LUAD,AAH,GENE_IL1RAP,equal_sections,10,True,0.033690260965993465,0.018187547928305133,0.04115770565462266
LUAD,AAH,GENE_IL1RN,equal_sections,10,True,0.02029921913475994,0.011513271451551359,0.02899486034182693
LUAD,AAH,GENE_KRT17,equal_sections,10,True,0.04747973064679273,0.028510544353022374,0.054395334838472725
LUAD,AAH,GENE_KRT5,equal_sections,10,True,-0.9347067445241274,-1.088870614561393,-0.4407645527774501
LUAD,AAH,GENE_KRT8,equal_sections,10,True,0.2760740225540146,0.15584587730441318,0.3236264842301985
LUAD,AAH,GENE_SFTPC,equal_sections,10,True,-0.04723950214737147,-0.31941523625069557,0.04161213170828215
LUAD,AAH,GENE_SIGIRR,equal_sections,10,True,0.09883831457212218,0.043886171139777747,0.12018393519221972
LUAD,AAH,GENE_TGFB1,equal_sections,10,True,0.053890253608006845,0.021966328100154895,0.061526014050416106
LUAD,AAH,GENE_TNF,equal_sections,10,True,0.013846168338013765,0.004437592153258694,0.02214347152636328
LUAD,AAH,HALLMARK_E2F_TARGETS,equal_sections,10,True,0.04366447662182897,0.025477605593547212,0.049505793773492686
LUAD,AAH,HALLMARK_G2M_CHECKPOINT,equal_sections,10,True,0.049469987100096834,0.023986939383861403,0.05634842639646823
