module	gene	source_genes
HPCS_author_top100	SLC4A11	100
HPCS_author_top100	IL23A	100
HPCS_author_top100	RRAD	100
HPCS_author_top100	TNF	100
HPCS_author_top100	ABTB2	100
HPCS_author_top100	LIF	100
HPCS_author_top100	TNFRSF11B	100
HPCS_author_top100	TIGIT	100
HPCS_author_top100	DUSP10	100
HPCS_author_top100	NTM	100
HPCS_author_top100	TRIM15	100
HPCS_author_top100	TM4SF1	100
HPCS_author_top100	CHAC1	100
HPCS_author_top100	CREB5	100
HPCS_author_top100	TP53INP1	100
HPCS_author_top100	ABCG1	100
HPCS_author_top100	MAPK11	100
HPCS_author_top100	KLHL2	100
HPCS_author_top100	IL24	100
HPCS_author_top100	ZFAND2A	100
HPCS_author_top100	TSPAN5	100
HPCS_author_top100	DDIT3	100
HPCS_author_top100	ASCC3	100
HPCS_author_top100	SGMS2	100
HPCS_author_top100	GRPEL2	100
HPCS_author_top100	GDF15	100
HPCS_author_top100	DENND2C	100
HPCS_author_top100	SLC9A4	100
HPCS_author_top100	ASNS	100
HPCS_author_top100	ETS1	100
HPCS_author_top100	UGCG	100
HPCS_author_top100	GCNT2	100
HPCS_author_top100	RNF19B	100
HPCS_author_top100	CLN8	100
HPCS_author_top100	HMCES	100
HPCS_author_top100	MAFF	100
HPCS_author_top100	TNFAIP3	100
HPCS_author_top100	PRKX	100
HPCS_author_top100	TGFA	100
HPCS_author_top100	PXDC1	100
HPCS_author_top100	CDK17	100
HPCS_author_top100	SLC1A4	100
HPCS_author_top100	ARID5A	100
HPCS_author_top100	PTGS2	100
HPCS_author_top100	RELB	100
HPCS_author_top100	MXD1	100
HPCS_author_top100	PPP1R13L	100
HPCS_author_top100	SLC38A2	100
HPCS_author_top100	SEMA7A	100
HPCS_author_top100	SMCR8	100
HPCS_author_top100	CWH43	100
HPCS_author_top100	PVR	100
HPCS_author_top100	FBXO30	100
HPCS_author_top100	ZDHHC5	100
HPCS_author_top100	CHRNB1	100
HPCS_author_top100	RHBDF2	100
HPCS_author_top100	FAM50A	100
HPCS_author_top100	CXCL16	100
HPCS_author_top100	ITGA2	100
HPCS_author_top100	HS3ST1	100
HPCS_author_top100	TRIB1	100
HPCS_author_top100	TGIF1	100
HPCS_author_top100	B3GNT2	100
HPCS_author_top100	RDH10	100
HPCS_author_top100	RHOB	100
HPCS_author_top100	CHMP4C	100
HPCS_author_top100	CHIC2	100
HPCS_author_top100	KLF6	100
HPCS_author_top100	BCL10	100
HPCS_author_top100	BAX	100
HPCS_author_top100	OTUD4	100
HPCS_author_top100	PRKCA	100
HPCS_author_top100	PROCR	100
HPCS_author_top100	FAM83G	100
HPCS_author_top100	OCLN	100
HPCS_author_top100	OTUD7B	100
HPCS_author_top100	ACTN1	100
HPCS_author_top100	GTPBP4	100
HPCS_author_top100	PIK3C2A	100
HPCS_excluding_operational_markers	IL23A	98
HPCS_excluding_operational_markers	RRAD	98
HPCS_excluding_operational_markers	TNF	98
HPCS_excluding_operational_markers	ABTB2	98
HPCS_excluding_operational_markers	LIF	98
HPCS_excluding_operational_markers	TNFRSF11B	98
HPCS_excluding_operational_markers	TIGIT	98
HPCS_excluding_operational_markers	DUSP10	98
HPCS_excluding_operational_markers	NTM	98
HPCS_excluding_operational_markers	TRIM15	98
HPCS_excluding_operational_markers	TM4SF1	98
HPCS_excluding_operational_markers	CHAC1	98
HPCS_excluding_operational_markers	CREB5	98
HPCS_excluding_operational_markers	TP53INP1	98
HPCS_excluding_operational_markers	ABCG1	98
HPCS_excluding_operational_markers	MAPK11	98
HPCS_excluding_operational_markers	KLHL2	98
HPCS_excluding_operational_markers	IL24	98
HPCS_excluding_operational_markers	ZFAND2A	98
HPCS_excluding_operational_markers	TSPAN5	98
HPCS_excluding_operational_markers	DDIT3	98
HPCS_excluding_operational_markers	ASCC3	98
HPCS_excluding_operational_markers	SGMS2	98
HPCS_excluding_operational_markers	GRPEL2	98
HPCS_excluding_operational_markers	GDF15	98
HPCS_excluding_operational_markers	DENND2C	98
HPCS_excluding_operational_markers	SLC9A4	98
HPCS_excluding_operational_markers	ASNS	98
HPCS_excluding_operational_markers	ETS1	98
HPCS_excluding_operational_markers	UGCG	98
HPCS_excluding_operational_markers	GCNT2	98
HPCS_excluding_operational_markers	RNF19B	98
HPCS_excluding_operational_markers	CLN8	98
HPCS_excluding_operational_markers	HMCES	98
HPCS_excluding_operational_markers	MAFF	98
HPCS_excluding_operational_markers	TNFAIP3	98
HPCS_excluding_operational_markers	PRKX	98
HPCS_excluding_operational_markers	TGFA	98
HPCS_excluding_operational_markers	PXDC1	98
HPCS_excluding_operational_markers	CDK17	98
HPCS_excluding_operational_markers	SLC1A4	98
HPCS_excluding_operational_markers	ARID5A	98
HPCS_excluding_operational_markers	PTGS2	98
HPCS_excluding_operational_markers	RELB	98
HPCS_excluding_operational_markers	MXD1	98
HPCS_excluding_operational_markers	PPP1R13L	98
HPCS_excluding_operational_markers	SLC38A2	98
HPCS_excluding_operational_markers	SEMA7A	98
HPCS_excluding_operational_markers	SMCR8	98
HPCS_excluding_operational_markers	CWH43	98
HPCS_excluding_operational_markers	PVR	98
HPCS_excluding_operational_markers	FBXO30	98
HPCS_excluding_operational_markers	ZDHHC5	98
HPCS_excluding_operational_markers	CHRNB1	98
HPCS_excluding_operational_markers	RHBDF2	98
HPCS_excluding_operational_markers	FAM50A	98
HPCS_excluding_operational_markers	CXCL16	98
HPCS_excluding_operational_markers	ITGA2	98
HPCS_excluding_operational_markers	HS3ST1	98
HPCS_excluding_operational_markers	TRIB1	98
HPCS_excluding_operational_markers	TGIF1	98
HPCS_excluding_operational_markers	B3GNT2	98
HPCS_excluding_operational_markers	RDH10	98
HPCS_excluding_operational_markers	RHOB	98
HPCS_excluding_operational_markers	CHMP4C	98
HPCS_excluding_operational_markers	CHIC2	98
HPCS_excluding_operational_markers	KLF6	98
HPCS_excluding_operational_markers	BCL10	98
HPCS_excluding_operational_markers	BAX	98
HPCS_excluding_operational_markers	OTUD4	98
HPCS_excluding_operational_markers	PRKCA	98
HPCS_excluding_operational_markers	PROCR	98
HPCS_excluding_operational_markers	FAM83G	98
HPCS_excluding_operational_markers	OCLN	98
HPCS_excluding_operational_markers	OTUD7B	98
HPCS_excluding_operational_markers	ACTN1	98
HPCS_excluding_operational_markers	GTPBP4	98
HPCS_excluding_operational_markers	PIK3C2A	98
HPCS_without_ADI_or_operational_markers	IL23A	91
HPCS_without_ADI_or_operational_markers	RRAD	91
HPCS_without_ADI_or_operational_markers	TNF	91
HPCS_without_ADI_or_operational_markers	ABTB2	91
HPCS_without_ADI_or_operational_markers	LIF	91
HPCS_without_ADI_or_operational_markers	TNFRSF11B	91
HPCS_without_ADI_or_operational_markers	TIGIT	91
HPCS_without_ADI_or_operational_markers	DUSP10	91
HPCS_without_ADI_or_operational_markers	NTM	91
HPCS_without_ADI_or_operational_markers	TRIM15	91
HPCS_without_ADI_or_operational_markers	TM4SF1	91
HPCS_without_ADI_or_operational_markers	CHAC1	91
HPCS_without_ADI_or_operational_markers	CREB5	91
HPCS_without_ADI_or_operational_markers	TP53INP1	91
HPCS_without_ADI_or_operational_markers	ABCG1	91
HPCS_without_ADI_or_operational_markers	MAPK11	91
HPCS_without_ADI_or_operational_markers	KLHL2	91
HPCS_without_ADI_or_operational_markers	IL24	91
HPCS_without_ADI_or_operational_markers	ZFAND2A	91
HPCS_without_ADI_or_operational_markers	TSPAN5	91
HPCS_without_ADI_or_operational_markers	DDIT3	91
HPCS_without_ADI_or_operational_markers	ASCC3	91
HPCS_without_ADI_or_operational_markers	SGMS2	91
HPCS_without_ADI_or_operational_markers	GRPEL2	91
HPCS_without_ADI_or_operational_markers	DENND2C	91
HPCS_without_ADI_or_operational_markers	SLC9A4	91
HPCS_without_ADI_or_operational_markers	ASNS	91
HPCS_without_ADI_or_operational_markers	ETS1	91
HPCS_without_ADI_or_operational_markers	UGCG	91
HPCS_without_ADI_or_operational_markers	GCNT2	91
HPCS_without_ADI_or_operational_markers	RNF19B	91
HPCS_without_ADI_or_operational_markers	CLN8	91
HPCS_without_ADI_or_operational_markers	HMCES	91
HPCS_without_ADI_or_operational_markers	MAFF	91
HPCS_without_ADI_or_operational_markers	TNFAIP3	91
HPCS_without_ADI_or_operational_markers	PRKX	91
HPCS_without_ADI_or_operational_markers	TGFA	91
HPCS_without_ADI_or_operational_markers	PXDC1	91
HPCS_without_ADI_or_operational_markers	CDK17	91
HPCS_without_ADI_or_operational_markers	SLC1A4	91
HPCS_without_ADI_or_operational_markers	ARID5A	91
HPCS_without_ADI_or_operational_markers	PTGS2	91
HPCS_without_ADI_or_operational_markers	RELB	91
HPCS_without_ADI_or_operational_markers	MXD1	91
HPCS_without_ADI_or_operational_markers	PPP1R13L	91
HPCS_without_ADI_or_operational_markers	SLC38A2	91
HPCS_without_ADI_or_operational_markers	SEMA7A	91
HPCS_without_ADI_or_operational_markers	SMCR8	91
HPCS_without_ADI_or_operational_markers	CWH43	91
HPCS_without_ADI_or_operational_markers	PVR	91
HPCS_without_ADI_or_operational_markers	FBXO30	91
HPCS_without_ADI_or_operational_markers	ZDHHC5	91
HPCS_without_ADI_or_operational_markers	CHRNB1	91
HPCS_without_ADI_or_operational_markers	RHBDF2	91
HPCS_without_ADI_or_operational_markers	FAM50A	91
HPCS_without_ADI_or_operational_markers	ITGA2	91
