donor,disease,label,cells,unit_id,full_library_sum
THD0001,control,AT1,11,GSE135893_0,75468
THD0001,control,AT2,1219,GSE135893_1,16705137
THD0001,control,Basal,2,GSE135893_2,18384
THD0001,control,Proliferating Epithelial Cells,47,GSE135893_3,817822
THD0001,control,SCGB3A2+,2,GSE135893_4,29852
THD0001,control,SCGB3A2+ SCGB1A1+,1,GSE135893_5,20859
THD0001,control,Transitional AT2,38,GSE135893_6,402042
THD0002,control,AT1,104,GSE135893_7,453301
THD0002,control,AT2,1044,GSE135893_8,10935829
THD0002,control,Basal,12,GSE135893_9,133933
THD0002,control,SCGB3A2+,20,GSE135893_10,70261
THD0002,control,SCGB3A2+ SCGB1A1+,12,GSE135893_11,218336
THD0002,control,Transitional AT2,29,GSE135893_12,242047
THD0005,control,AT1,56,GSE135893_13,248312
THD0005,control,AT2,30,GSE135893_14,220563
THD0005,control,Basal,1,GSE135893_15,13523
THD0005,control,SCGB3A2+,7,GSE135893_16,34326
THD0005,control,Transitional AT2,4,GSE135893_17,24064
TILD001,IPF,AT2,2,GSE135893_18,31738
TILD001,IPF,Basal,27,GSE135893_19,241266
TILD001,IPF,SCGB3A2+,46,GSE135893_20,358343
TILD001,IPF,SCGB3A2+ SCGB1A1+,30,GSE135893_21,341957
TILD006,IPF,AT2,36,GSE135893_22,177804
TILD006,IPF,Basal,29,GSE135893_23,122731
TILD006,IPF,KRT5-/KRT17+,15,GSE135893_24,51167
TILD006,IPF,Proliferating Epithelial Cells,6,GSE135893_25,43693
TILD006,IPF,SCGB3A2+,61,GSE135893_26,298820
TILD006,IPF,SCGB3A2+ SCGB1A1+,18,GSE135893_27,123097
TILD006,IPF,Transitional AT2,5,GSE135893_28,21398
TILD010,IPF,AT1,3,GSE135893_29,11268
TILD010,IPF,AT2,29,GSE135893_30,207988
TILD010,IPF,Basal,153,GSE135893_31,849229
TILD010,IPF,Proliferating Epithelial Cells,8,GSE135893_32,48056
TILD010,IPF,SCGB3A2+,154,GSE135893_33,903271
TILD010,IPF,SCGB3A2+ SCGB1A1+,34,GSE135893_34,295851
TILD010,IPF,Transitional AT2,7,GSE135893_35,64704
TILD015,IPF,AT1,4,GSE135893_36,15902
TILD015,IPF,AT2,19,GSE135893_37,160096
TILD015,IPF,Basal,48,GSE135893_38,414707
TILD015,IPF,KRT5-/KRT17+,14,GSE135893_39,139518
TILD015,IPF,Proliferating Epithelial Cells,3,GSE135893_40,58124
TILD015,IPF,SCGB3A2+,207,GSE135893_41,1749922
TILD015,IPF,SCGB3A2+ SCGB1A1+,31,GSE135893_42,486709
TILD015,IPF,Transitional AT2,6,GSE135893_43,69588
TILD028,IPF,AT1,7,GSE135893_44,33883
TILD028,IPF,AT2,61,GSE135893_45,317620
TILD028,IPF,Basal,101,GSE135893_46,495931
TILD028,IPF,KRT5-/KRT17+,7,GSE135893_47,56357
TILD028,IPF,Proliferating Epithelial Cells,3,GSE135893_48,34564
TILD028,IPF,SCGB3A2+,180,GSE135893_49,874991
TILD028,IPF,SCGB3A2+ SCGB1A1+,51,GSE135893_50,316522
TILD028,IPF,Transitional AT2,1,GSE135893_51,5713
VUHD071,control,AT2,98,GSE135893_52,410461
VUHD071,control,Basal,3,GSE135893_53,9462
VUHD071,control,Proliferating Epithelial Cells,2,GSE135893_54,16354
VUHD071,control,SCGB3A2+,1,GSE135893_55,2719
VUHD071,control,SCGB3A2+ SCGB1A1+,3,GSE135893_56,13692
VUHD071,control,Transitional AT2,1,GSE135893_57,2181
VUHD65,control,AT1,14,GSE135893_58,79492
VUHD65,control,AT2,328,GSE135893_59,4592587
VUHD65,control,Basal,7,GSE135893_60,60682
VUHD65,control,KRT5-/KRT17+,1,GSE135893_61,22181
VUHD65,control,Proliferating Epithelial Cells,6,GSE135893_62,140587
VUHD65,control,SCGB3A2+,8,GSE135893_63,20670
VUHD65,control,SCGB3A2+ SCGB1A1+,34,GSE135893_64,309164
VUHD65,control,Transitional AT2,55,GSE135893_65,516104
VUHD66,control,AT1,40,GSE135893_66,139446
VUHD66,control,AT2,504,GSE135893_67,5838787
VUHD66,control,Basal,1,GSE135893_68,6403
VUHD66,control,KRT5-/KRT17+,12,GSE135893_69,143805
VUHD66,control,Proliferating Epithelial Cells,6,GSE135893_70,80556
VUHD66,control,SCGB3A2+,40,GSE135893_71,292112
VUHD66,control,SCGB3A2+ SCGB1A1+,114,GSE135893_72,1132718
VUHD66,control,Transitional AT2,110,GSE135893_73,2169582
VUHD67,control,AT1,200,GSE135893_74,1076196
VUHD67,control,AT2,1120,GSE135893_75,17080238
VUHD67,control,Basal,37,GSE135893_76,300350
VUHD67,control,Proliferating Epithelial Cells,16,GSE135893_77,271085
VUHD67,control,SCGB3A2+,9,GSE135893_78,48102
VUHD67,control,SCGB3A2+ SCGB1A1+,32,GSE135893_79,360906
VUHD67,control,Transitional AT2,188,GSE135893_80,2287536
VUHD68,control,AT1,8,GSE135893_81,35214
VUHD68,control,AT2,42,GSE135893_82,384679
VUHD68,control,Basal,1,GSE135893_83,4710
VUHD68,control,SCGB3A2+,4,GSE135893_84,24212
VUHD68,control,SCGB3A2+ SCGB1A1+,11,GSE135893_85,75079
VUHD68,control,Transitional AT2,2,GSE135893_86,11258
VUHD69,control,AT1,3,GSE135893_87,12364
VUHD69,control,AT2,4,GSE135893_88,42581
VUHD69,control,Proliferating Epithelial Cells,2,GSE135893_89,9129
VUHD69,control,SCGB3A2+,2,GSE135893_90,7651
VUHD69,control,SCGB3A2+ SCGB1A1+,3,GSE135893_91,36357
VUHD69,control,Transitional AT2,2,GSE135893_92,12043
VUHD70,control,AT1,36,GSE135893_93,108400
VUHD70,control,AT2,4,GSE135893_94,50092
VUHD70,control,Basal,1,GSE135893_95,5868
VUHD70,control,SCGB3A2+,4,GSE135893_96,25195
VUHD70,control,SCGB3A2+ SCGB1A1+,12,GSE135893_97,126609
VUHD70,control,Transitional AT2,14,GSE135893_98,146383
VUILD53,IPF,AT1,2,GSE135893_99,4256
VUILD53,IPF,AT2,109,GSE135893_100,587813
VUILD53,IPF,Basal,32,GSE135893_101,270782
VUILD53,IPF,KRT5-/KRT17+,2,GSE135893_102,8712
VUILD53,IPF,Proliferating Epithelial Cells,1,GSE135893_103,13439
VUILD53,IPF,SCGB3A2+,19,GSE135893_104,117975
VUILD53,IPF,SCGB3A2+ SCGB1A1+,43,GSE135893_105,275416
VUILD53,IPF,Transitional AT2,1,GSE135893_106,11464
VUILD59,IPF,AT1,23,GSE135893_107,108229
VUILD59,IPF,AT2,1838,GSE135893_108,12300163
VUILD59,IPF,Basal,551,GSE135893_109,5151790
VUILD59,IPF,KRT5-/KRT17+,77,GSE135893_110,907360
VUILD59,IPF,Proliferating Epithelial Cells,102,GSE135893_111,989094
VUILD59,IPF,SCGB3A2+,641,GSE135893_112,4345080
VUILD59,IPF,SCGB3A2+ SCGB1A1+,58,GSE135893_113,463064
VUILD59,IPF,Transitional AT2,500,GSE135893_114,3581333
VUILD60,IPF,AT1,36,GSE135893_115,144502
VUILD60,IPF,AT2,137,GSE135893_116,1029209
VUILD60,IPF,Basal,444,GSE135893_117,4840312
VUILD60,IPF,KRT5-/KRT17+,110,GSE135893_118,2003585
VUILD60,IPF,Proliferating Epithelial Cells,19,GSE135893_119,174945
VUILD60,IPF,SCGB3A2+,439,GSE135893_120,2866265
VUILD60,IPF,SCGB3A2+ SCGB1A1+,161,GSE135893_121,1136148
VUILD60,IPF,Transitional AT2,18,GSE135893_122,122915
VUILD61,IPF,AT1,20,GSE135893_123,81730
VUILD61,IPF,AT2,395,GSE135893_124,3653653
VUILD61,IPF,Basal,84,GSE135893_125,1035721
VUILD61,IPF,KRT5-/KRT17+,11,GSE135893_126,182657
VUILD61,IPF,Proliferating Epithelial Cells,35,GSE135893_127,596822
VUILD61,IPF,SCGB3A2+,663,GSE135893_128,6142698
VUILD61,IPF,SCGB3A2+ SCGB1A1+,150,GSE135893_129,1017737
VUILD61,IPF,Transitional AT2,12,GSE135893_130,168188
VUILD63,IPF,AT2,99,GSE135893_131,454961
VUILD63,IPF,Basal,15,GSE135893_132,131452
VUILD63,IPF,KRT5-/KRT17+,7,GSE135893_133,63820
VUILD63,IPF,Proliferating Epithelial Cells,3,GSE135893_134,10103
VUILD63,IPF,SCGB3A2+,17,GSE135893_135,146704
VUILD63,IPF,SCGB3A2+ SCGB1A1+,33,GSE135893_136,233214
VUILD63,IPF,Transitional AT2,8,GSE135893_137,105299
VUILD64,IPF,AT1,1,GSE135893_138,1594
VUILD64,IPF,AT2,428,GSE135893_139,1980747
VUILD64,IPF,Basal,14,GSE135893_140,60978
VUILD64,IPF,KRT5-/KRT17+,127,GSE135893_141,844054
VUILD64,IPF,Proliferating Epithelial Cells,3,GSE135893_142,20169
VUILD64,IPF,SCGB3A2+,26,GSE135893_143,90586
VUILD64,IPF,SCGB3A2+ SCGB1A1+,197,GSE135893_144,1289898
VUILD64,IPF,Transitional AT2,3,GSE135893_145,15544
VUILD65,IPF,AT2,72,GSE135893_146,442811
VUILD65,IPF,Basal,288,GSE135893_147,2078661
VUILD65,IPF,KRT5-/KRT17+,4,GSE135893_148,30344
VUILD65,IPF,Proliferating Epithelial Cells,39,GSE135893_149,327214
VUILD65,IPF,SCGB3A2+,371,GSE135893_150,2311233
VUILD65,IPF,SCGB3A2+ SCGB1A1+,48,GSE135893_151,255388
VUILD65,IPF,Transitional AT2,20,GSE135893_152,171446
