cohort,unit,seed_17,module,case_17,reference_17,n_case_17,n_reference_17,difference_17,eligible_17,seed_29,case_29,reference_29,n_case_29,n_reference_29,difference_29,eligible_29,same_direction
GSE247130,P9_control,17,Han_ISR_source_symbols,two_marker,reference,205,10857,0.00046527962918069266,True,29,two_marker,reference,202,10860,0.003884803230419398,True,True
GSE247130,P9_control,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,205,10857,-0.005028149172266599,True,29,two_marker,reference,202,10860,-0.0016538725695773998,True,True
GSE247130,P9_Cebpa_mutant,17,Han_ISR_source_symbols,two_marker,reference,447,10223,0.006616237112230708,True,29,two_marker,reference,414,10256,0.006275463915983909,True,True
GSE247130,P9_Cebpa_mutant,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,447,10223,0.0019376469761080983,True,29,two_marker,reference,414,10256,0.0004835224464879023,True,True
GSE247130,7wk_Cebpa_mutant,17,Han_ISR_source_symbols,two_marker,reference,60,9744,0.01274757831494,True,29,two_marker,reference,74,9730,0.011634151419997102,True,True
GSE247130,7wk_Cebpa_mutant,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,60,9744,0.004118969426851207,True,29,two_marker,reference,74,9730,0.0018454513829642971,True,True
GSE247130,SeV_Cebpa_mutant,17,Han_ISR_source_symbols,two_marker,reference,215,8533,0.01122111081652881,True,29,two_marker,reference,219,8525,0.010680320557515895,True,True
GSE247130,SeV_Cebpa_mutant,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,215,8533,0.0029440051580088,True,29,two_marker,reference,219,8525,0.002808133095362403,True,True
GSE277777,AV1975,17,Han_ISR_source_symbols,HPCS,AT2-like,449,202,0.03975289215307941,True,29,HPCS,AT2-like,449,202,0.03771694593596331,True,True
GSE277777,AV1975,17,Han_ISR_without_HPCS_ADI_or_operational_markers,HPCS,AT2-like,449,202,0.0222634457209641,True,29,HPCS,AT2-like,449,202,0.019098249982613502,True,True
GSE277777,AV1980,17,Han_ISR_source_symbols,HPCS,AT2-like,679,594,0.006748766816421392,True,29,HPCS,AT2-like,679,594,0.007380234909229788,True,True
GSE277777,AV1980,17,Han_ISR_without_HPCS_ADI_or_operational_markers,HPCS,AT2-like,679,594,-0.0013557700413371065,True,29,HPCS,AT2-like,679,594,-0.0025269213413543073,True,True
GSE300288,GSM9057709,17,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.0152845860566449,True,29,mixed_AT2_AT1_alveolar,AT1_like,135,153,0.011281318082788691,True,True
GSE300288,GSM9057709,17,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.0018434724317077933,True,29,mixed_AT2_AT1_alveolar,AT1_like,135,153,-0.008685268979386596,True,True
GSE300288,GSM9057716,17,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,59,121,0.008134236237568301,True,29,mixed_AT2_AT1_alveolar,AT1_like,59,121,0.009804200518279904,True,True
GSE300288,GSM9057716,17,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.006636083485081892,True,29,mixed_AT2_AT1_alveolar,AT1_like,59,121,-0.0048070188671113095,True,True
GSE300288,GSM9057720,17,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,95,200,0.001426809210526403,True,29,mixed_AT2_AT1_alveolar,AT1_like,95,200,0.008554687500000005,True,True
GSE300288,GSM9057720,17,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.0183274291497975,True,29,mixed_AT2_AT1_alveolar,AT1_like,95,200,-0.012133097165991896,True,True
GSE300288,GSM9057721,17,Han_ISR_source_symbols,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.026871565934066005,True,29,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.022192651098901103,True,True
GSE300288,GSM9057721,17,Han_ISR_without_HPCS_ADI_or_operational_markers,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.004208932093547488,True,29,mixed_AT2_AT1_alveolar,AT1_like,39,182,0.004050436742744495,True,True
GSE310539,wildtype_SeV,17,Han_ISR_source_symbols,two_marker,reference,59,4661,0.015748358887619412,True,29,two_marker,reference,66,4652,0.014680640313026502,True,True
GSE310539,wildtype_SeV,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,59,4661,0.002486693025204101,True,29,two_marker,reference,66,4652,0.006518073500016805,True,True
GSE310539,AP1mut_SeV,17,Han_ISR_source_symbols,two_marker,reference,50,7835,0.009968883414216603,True,29,two_marker,reference,49,7836,0.009202090086126491,True,True
GSE310539,AP1mut_SeV,17,Han_ISR_without_HPCS_ADI_or_operational_markers,two_marker,reference,50,7835,0.0025595769896982062,True,29,two_marker,reference,49,7836,0.003183061308823107,True,True
